iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
502,2020-05-31 03:12:44.600801,2.192816819827115,59.0,37.90846725254059,27.460562257593374,35.701742267013756,27.94261015850895,35.874168969569766,35.87976435947155,2.976150688253405,2.9719479146533843,0.09458974248647319,0.09460815607573972,1,1,0,0
503,2020-05-31 03:12:45.248617,2.2290308029396755,59.0,37.9423099568439,27.495626117581374,35.72218585593012,27.978229064872785,35.894603227131114,35.90019441565575,2.9761685971598126,2.9719689792463484,0.0945513839670341,0.09456978639425515,1,1,0,0
504,2020-05-31 03:12:45.826974,2.265155039253031,59.0,37.86488464154938,28.563495387291773,34.77634883528157,27.996969742569853,34.94919987693338,34.95498632230763,2.9753362888605466,2.9709900120423853,0.096320300400904,0.09633921989387964,1,1,0,0
505,2020-05-31 03:12:46.419737,2.2985677607598376,59.0,37.896195196490865,28.595990561507087,34.79550602381299,28.029865172900323,34.9683482424857,34.9741307153848,2.975353222085701,2.971009929023637,0.09628458817947742,0.09630349718668567,1,1,0,0
506,2020-05-31 03:12:47.010394,2.331896926857837,59.0,37.92742905235802,28.62840531233116,34.8146178728752,28.062679303721218,34.9874512910621,34.99322980161324,2.9753701121412774,2.971029795228695,0.09624895575581706,0.09626785430260659,1,1,0,0
507,2020-05-31 03:12:47.595707,2.3651427242510437,59.0,37.95858637384434,28.660739816163932,34.833684472513795,28.09541231278167,35.00650911265575,35.01228367096259,2.97538695912786,2.971049610775836,0.09621340299259468,0.09623229110426139,1,1,0,0
508,2020-05-31 03:12:48.204591,2.398305339322164,59.0,37.67241630070673,29.75059667670194,34.36659694267543,28.120603076432197,34.53963708481858,34.54550867111834,2.9749733636743514,2.9705631368661543,0.09708301763227245,0.09710216153203559,1,1,0,0
509,2020-05-31 03:12:48.820949,2.4301510932171198,59.0,37.70249161237493,29.781847890418014,34.3850771254792,28.151971184550156,34.55810872315875,34.56397646238662,2.9749897623687076,2.9705824251250803,0.09704866464193583,0.09706779841552521,1,1,0,0
510,2020-05-31 03:12:49.424283,2.461916471831941,59.0,37.732492585043204,29.81302101920229,34.40351312080854,28.183261024300286,34.57653619594461,34.58240009796975,2.975006118993491,2.9706016639016397,0.09701438945669419,0.0970335131288125,1,1,0,0
511,2020-05-31 03:12:50.032635,2.4936016572083446,59.0,37.76241938043407,29.844116236734585,34.42190501784343,28.21447276923403,34.59491959230466,34.6007796669731,2.9750224336474815,2.970620853311999,0.09698019193924028,0.09699930553453798,1,1,0,0
512,2020-05-31 03:12:50.634714,2.5252068310667823,59.0,37.76379951645572,25.741778396027918,34.015854827295286,28.12913173877177,34.189057420775214,34.19500214937108,2.9746615840195503,2.9701964194852764,0.09773419407649579,0.09775353025759638,1,1,0,0
513,2020-05-31 03:12:51.300317,2.513482881724002,59.0,37.75266028718303,25.73035400467547,34.008986518383054,28.117483373234855,34.18219229837425,34.18813846166836,2.9746554684071214,2.970189226260281,0.09774693003976842,0.09776626998792301,1,1,0,0
514,2020-05-31 03:12:51.909369,2.5017887305770756,59.0,37.741549304249915,25.718958474102116,34.00213583466366,28.105864445156435,34.17534479319346,34.18129238759617,2.974649368095953,2.970182051032758,0.09775963272911606,0.09777897643472487,1,1,0,0
515,2020-05-31 03:12:52.559261,2.490124299775644,59.0,37.73046649413979,25.70759172976188,33.99530272917485,28.09427487844794,34.16851485829079,34.174463880221566,2.9746432830472926,2.9701748937571253,0.0977723022363007,0.09779164968978922,1,1,0,0
516,2020-05-31 03:12:53.155491,2.4784895116840318,59.0,37.791556899220396,22.51230344465285,34.02836317212032,27.987899755740663,34.20155996295502,34.20750207896161,2.9746727205655787,2.970209518366616,0.09771099822145192,0.0977303275422872,1,1,0,0
517,2020-05-31 03:12:53.752608,2.4452749396164535,59.0,37.76040755992952,22.480354876951047,34.0091759932573,27.955197960742105,34.18238168533999,34.1883278090541,2.9746556371227655,2.9701894247047775,0.09774657870287086,0.09776591854710347,1,1,0,0
518,2020-05-31 03:12:54.341565,2.412143614816614,59.0,37.729335859425845,22.448485150539263,33.99003827071574,27.922576932689914,34.16325284269833,34.169202964507946,2.9746385946516014,2.9701693792342354,0.09778206285791749,0.0978014131989463,1,1,0,0
519,2020-05-31 03:12:54.931112,2.3790953119129625,59.0,37.698341589390694,22.416694058166335,33.97094986297809,27.890036459004726,34.144173293565274,34.15012740388221,2.974621593050692,2.970149381835718,0.09781745098752484,0.09783681179882212,1,1,0,0
520,2020-05-31 03:12:55.538809,2.3461298062379967,59.0,37.488041444831396,19.553845978888525,33.97028543222537,27.807740197462117,34.143509171168176,34.149463420319464,2.974621001248792,2.970148685754296,0.09781868276683796,0.09783804394261765,1,1,0,0
521,2020-05-31 03:12:56.129250,2.305805286950772,59.0,37.45068020249043,19.528671310148653,33.94764522025058,27.768551248330517,34.120879468249925,34.126838449009455,2.974600832069342,2.9701249626285957,0.09786064948171824,0.09788002307667787,1,1,0,0
522,2020-05-31 03:12:56.731727,2.2656371321423165,59.0,37.41346161891765,19.50359205013949,33.925093870705254,27.72951068688061,34.09833858872794,34.10430228352112,2.974580737803045,2.9701013276164687,0.09790244507812518,0.09792183104424633,1,1,0,0
523,2020-05-31 03:12:57.314088,2.2256247582704987,59.0,37.37638517557093,19.47860785738763,33.90263103984552,27.69061798460414,34.07588618899108,34.081854580303045,2.974560718195214,2.9700777804183716,0.09794407027314345,0.09796346856258731,1,1,0,0
524,2020-05-31 03:12:57.898879,2.1857675839078183,59.0,37.29952025162844,19.097260006500377,33.98472511776524,27.62518676522435,34.15794215530491,34.16389338720953,2.974633862707975,2.970163813489961,0.09779191348805245,0.09781126674339334,1,1,0,0
525,2020-05-31 03:12:58.492765,2.1424845921105913,59.0,37.25948734389736,19.070755900265283,33.960533584931994,27.583203699089246,34.13376185017809,34.13971813725678,2.97461231428219,2.970138468085217,0.0978367599410125,0.09785612646603147,1,1,0,0
526,2020-05-31 03:12:59.101819,2.09937011918484,59.0,37.21960777639538,19.044352530916676,33.93643745897272,27.541380004938183,34.10967691017429,34.11563823362876,2.974590845985496,2.970113216929107,0.09788142221816495,0.09790080196135871,1,1,0,0
527,2020-05-31 03:12:59.723412,2.056423536471428,59.0,37.179880992823215,19.01804953881463,33.91243636992283,27.499715117221236,34.08568696546975,34.091653306565135,2.9745694575476236,2.9700880597037482,0.09792590109740033,0.09794529400745829,1,1,0,0
528,2020-05-31 03:13:00.533168,2.013644217584215,59.0,37.080798000746285,19.015262862040792,33.78023649485739,27.452089385433162,33.95354851915056,33.95954251797916,2.974451562337201,2.969949390563933,0.09817076486932229,0.09819023031819528,1,1,0,0
529,2020-05-31 03:13:01.132515,1.9702353250686997,59.0,37.04060584731437,18.98863986875623,33.755939183496906,27.409988131485356,33.92926250616259,33.9352615919795,2.9744298782868768,2.9699238856388632,0.09821574515342317,0.09823522393707075,1,1,0,0
530,2020-05-31 03:13:01.735942,1.9269955324171661,59.0,37.00056774274198,18.962118111601008,33.73173776546564,27.368046774213575,33.90507234445563,33.9110764983287,2.974408274936188,2.9698984756334994,0.0982605405903142,0.09828003265694163,1,1,0,0
531,2020-05-31 03:13:02.322525,1.883924208842771,59.0,36.96068312802656,18.93569722921199,33.707631868739554,27.326264746324135,33.880977662147586,33.88698686520861,2.9743867520127054,2.969873160227408,0.09830515196100102,0.09832465725900746,1,1,0,0
532,2020-05-31 03:13:02.925237,1.8410207258380638,59.0,36.91096356097336,19.115072793008387,33.994160333345334,27.297115349362166,34.16737299254498,34.17332225314121,2.974642265700645,2.970173697147075,0.09777442037090807,0.09779376845101329,1,1,0,0
533,2020-05-31 03:13:03.521038,1.7999439347411652,59.0,36.87285212491311,19.08959266025078,33.971226937664,27.25721585619545,34.144450239642865,34.15040429205506,2.9746218398782247,2.9701496721559337,0.09781693738245714,0.09783629804179027,1,1,0,0
534,2020-05-31 03:13:04.142796,1.7590267214269062,59.0,36.8348864748008,19.06420923192413,33.9483836920526,27.21746767040316,34.12161759724768,34.12757642366266,2.9746014899857514,2.970125736474337,0.09785928069000978,0.09787865387986844,1,1,0,0
535,2020-05-31 03:13:04.743978,1.7182684912792041,59.0,36.79706608150525,19.03892216269903,33.925630248422735,27.17787025431428,34.098874717404954,34.1048383000699,2.9745812157662144,2.9701018897999916,0.09790145102113584,0.09792083669299943,1,1,0,0
536,2020-05-31 03:13:05.364992,1.6776686518240922,59.0,36.693056641180874,18.34780152936122,34.1022435120979,27.10372176857502,34.275406043580276,34.28133273461741,2.9747384717591316,2.9702868553699844,0.09757395209790963,0.09759324090327681,1,1,0,0
537,2020-05-31 03:13:06.002767,1.6326842370945798,59.0,36.651402890886004,18.32090345471056,34.077297542672014,27.06014270546934,34.25047163928936,34.25640353742622,2.9747162757346075,2.9702607482539207,0.09762023393421683,0.09763953641891462,1,1,0,0
538,2020-05-31 03:13:06.595273,1.5878761226846194,59.0,36.609909685044386,18.294108224267262,34.05245057518532,27.01673001761427,34.22563619373389,34.23157327951809,2.974694162627408,2.970234738666065,0.09766632429174774,0.09768564040237233,1,1,0,0
539,2020-05-31 03:13:07.222738,1.5432436502029532,59.0,36.56857644082588,18.267415470870482,34.02770222521271,26.973483115132616,34.20089932263386,34.206841576678286,2.9746721321590712,2.9702088262788706,0.0977122239827556,0.09773155366610303,1,1,0,0
540,2020-05-31 03:13:07.841896,1.49878616362642,59.0,36.672505460745214,21.591656593233814,33.95848030766811,27.010300407284255,34.13170952601884,34.13766624222433,2.9746104850657957,2.9701363165484977,0.09784056590813113,0.09785993355944107,1,1,0,0
541,2020-05-31 03:13:08.445343,1.4659143097809277,59.0,36.64155494806727,21.560019937955836,33.93963473197772,26.977927538510293,34.11287269881444,34.118833353947025,2.9745936948064937,2.9701165677316723,0.09787549640480109,0.09789487439402776,1,1,0,0
542,2020-05-31 03:13:09.036211,1.4331241824488075,59.0,36.61068100530083,21.528460749939306,33.920837293939414,26.945634004013364,34.09408398845318,34.10004857314361,2.9745769444840846,2.9700968658890545,0.09791033323538506,0.09792972153662652,1,1,0,0
543,2020-05-31 03:13:09.623411,1.4004155624826211,59.0,36.579883428694274,21.4969788273715,33.90208785737701,26.913419596859676,34.07534325880984,34.08131176371185,2.974560234000741,2.970077210905565,0.09794507668898782,0.09796447527641274,1,1,0,0
544,2020-05-31 03:13:10.214805,1.3677882314113532,59.0,36.690694516370414,25.67453816586464,33.899278092088636,26.97920329641969,34.07253479846014,34.078503890899015,2.97455772953775,2.9700742651392744,0.09795028291619925,0.09796968304514093,1,1,0,0
545,2020-05-31 03:13:10.823521,1.3594326551189937,59.0,36.68275191429346,25.666366088281002,33.89442873854304,26.970887678221438,34.06768769717945,34.07365780368018,2.974553406948445,2.970069180880536,0.09795926807313612,0.09797867086259682,1,1,0,0
546,2020-05-31 03:13:11.434373,1.3510981013047427,59.0,36.67482925853605,25.658214479542956,33.8895916637525,26.96259289457432,34.06285286905273,34.06882398709348,2.9745490951088485,2.9700641092656994,0.09796823018557434,0.09798763562885085,1,1,0,0
547,2020-05-31 03:13:12.019661,1.3427845160517649,59.0,36.66692649809973,25.650083287592487,33.884766835808236,26.95431889245966,34.058030282185214,34.06400240925045,2.974544793992031,2.9700590502630675,0.09797716931491135,0.09799657740531781,1,1,0,0
548,2020-05-31 03:13:12.639023,1.3344918455868822,59.0,36.59876373259152,25.007079737007025,33.918779758436926,26.946861045252113,34.092027408360536,34.09799242321563,2.9745751108434675,2.9700947091485475,0.09791414614615579,0.09793353557616337,1,1,0,0
