timestamp,T2,T3,T4
41:27.8,0.76716859,3.186906338,3.910349607
41:28.5,0.696909133,3.224286556,3.910349607
41:29.3,0.696909133,3.224286556,3.910349607
41:30.2,0.696909133,3.224286556,3.910349607
41:31.1,0.626712357,3.261587143,3.924026012
41:31.9,0.626712357,3.261587143,3.924026012
41:32.7,0.626712357,3.261587143,3.924026012
41:33.5,0.556578242,3.298808098,3.937613487
41:34.3,0.556578242,3.298808098,3.937613487
41:35.2,0.556578242,3.298808098,3.937613487
41:35.9,0.486506772,3.335949421,3.951112032
41:36.8,0.486506772,3.335949421,3.951112032
41:37.5,0.416497927,3.373011112,3.964521885
41:38.2,0.416497927,3.373011112,3.964521885
41:39.1,0.416497927,3.373011112,3.964521885
41:39.9,0.416497927,3.373011112,3.964521885
41:40.7,0.346551689,3.409993172,3.977842808
41:41.6,0.346551689,3.409993172,3.977842808
41:42.5,0.346551689,3.409993172,3.977842808
41:43.4,0.3596312,3.450288296,3.99604249
41:44.2,0.3596312,3.450288296,3.99604249
41:45.0,0.3596312,3.450288296,4.014231682
41:45.8,0.372528971,3.490559578,4.014231682
41:46.6,0.372528971,3.490559578,4.014231682
41:47.4,0.372528971,3.490559578,4.014231682
41:48.3,0.385245536,3.530806541,4.032409668
41:49.0,0.385245536,3.530806541,4.032409668
41:49.8,0.385245536,3.530806541,4.032409668
41:50.6,0.397781428,3.571029425,4.05057621
41:51.4,0.397781428,3.571029425,4.05057621
41:52.3,0.397781428,3.571029425,4.05057621
41:53.0,0.410137183,3.611227751,4.068732262
41:53.9,0.410137183,3.611227751,4.068732262
41:54.7,0.410137183,3.611227751,4.068732262
41:55.5,0.422313338,3.651401997,4.086876392
41:56.2,0.422313338,3.651401997,4.086876392
41:57.0,0.422313338,3.651401997,4.086876392
41:57.8,0.422313338,3.651401997,4.118000507
41:58.7,0.432952336,3.694160461,4.118000507
41:59.5,0.432952336,3.694160461,4.118000507
42:00.4,0.432952336,3.694160461,4.149097919
42:01.2,0.4434152,3.736891985,4.149097919
42:02.0,0.4434152,3.736891985,4.149097919
42:02.9,0.4434152,3.736891985,4.180168629
42:03.7,0.453702454,3.779596329,4.180168629
42:04.5,0.453702454,3.779596329,4.180168629
42:05.3,0.453702454,3.779596329,4.180168629
42:06.0,0.463814622,3.822273493,4.211212635
42:06.9,0.463814622,3.822273493,4.211212635
42:07.7,0.463814622,3.822273493,4.211212635
42:08.6,0.473752227,3.864923477,4.242229462
42:09.5,0.473752227,3.864923477,4.242229462
42:10.3,0.473752227,3.864923477,4.242229462
42:11.1,0.483515795,3.907546043,4.273219585
42:11.9,0.483515795,3.907546043,4.273219585
42:12.7,0.483515795,3.907546043,4.273219585
42:13.5,0.483515795,3.907546043,4.304182529
42:14.4,0.493105853,3.950141191,4.304182529
42:15.1,0.493105853,3.950141191,4.304182529
42:15.9,0.493105853,3.950141191,4.304182529
42:16.7,0.502522941,3.992708921,4.335117817
42:17.5,0.502522941,3.992708921,4.335117817
42:18.4,0.502522941,3.992708921,4.335117817
42:19.2,0.511767609,4.035249233,4.366026402
42:20.0,0.511767609,4.035249233,4.366026402
42:20.9,0.511767609,4.035249233,4.366026402
42:21.7,0.520840403,4.07776165,4.39690733
42:22.5,0.520840403,4.07776165,4.39690733
42:23.4,0.520840403,4.07776165,4.39690733
42:24.2,0.529741867,4.07776165,4.427760601
42:25.0,0.529741867,4.12024641,4.427760601
42:25.8,0.529741867,4.12024641,4.427760601
42:26.6,0.538472547,4.162703037,4.458586216
42:27.5,0.538472547,4.162703037,4.458586216
