iteration,timestamp,T2,T3,T4
1,2020-09-01 07:48:21.099711,0.5,3.0,2.5
2,2020-09-01 07:48:21.798609,0.5,3.0,2.5
3,2020-09-01 07:48:22.529363,0.5,3.0,2.5
4,2020-09-01 07:48:23.301040,0.5,3.0,2.5
5,2020-09-01 07:48:24.144658,0.5,3.0,2.5
6,2020-09-01 07:48:24.946223,2.86120334873206,6.026821613311768,2.4305591583251953
7,2020-09-01 07:48:25.723429,2.86120334873206,6.026821613311768,2.4305591583251953
8,2020-09-01 07:48:26.527830,2.86120334873206,6.026821613311768,2.4707844257354736
9,2020-09-01 07:48:27.281665,2.81813337819565,5.994369983673096,2.4707844257354736
10,2020-09-01 07:48:28.209859,2.81813337819565,5.994369983673096,2.4707844257354736
11,2020-09-01 07:48:29.054745,2.81813337819565,5.994369983673096,2.4707844257354736
12,2020-09-01 07:48:29.927738,2.77509055351211,5.961918354034424,2.510923147201538
13,2020-09-01 07:48:30.791771,2.77509055351211,5.961918354034424,2.510923147201538
14,2020-09-01 07:48:31.692523,2.77509055351211,5.961918354034424,2.5509755611419678
15,2020-09-01 07:48:32.498851,2.73207486293256,5.929466724395752,2.5509755611419678
16,2020-09-01 07:48:33.308774,2.73207486293256,5.929466724395752,2.5509755611419678
17,2020-09-01 07:48:34.224781,2.73207486293256,5.929466724395752,2.5909414291381836
18,2020-09-01 07:48:35.154593,2.68908629468528,5.89701509475708,2.5909414291381836
19,2020-09-01 07:48:35.995521,2.68908629468528,5.89701509475708,2.5909414291381836
20,2020-09-01 07:48:36.885666,2.6461248369757,5.89701509475708,2.6308207511901855
21,2020-09-01 07:48:37.783236,2.6461248369757,5.864563465118408,2.6308207511901855
22,2020-09-01 07:48:38.703782,2.6461248369757,5.864563465118408,2.6308207511901855
23,2020-09-01 07:48:39.655388,2.60319047798637,5.832111835479736,2.6706137657165527
24,2020-09-01 07:48:40.404728,2.60319047798637,5.832111835479736,2.6706137657165527
25,2020-09-01 07:48:41.211875,2.60319047798637,5.832111835479736,2.6706137657165527
26,2020-09-01 07:48:42.142746,2.56028320587696,5.7996602058410645,2.7103207111358643
27,2020-09-01 07:48:43.000279,2.56028320587696,5.7996602058410645,2.7103207111358643
28,2020-09-01 07:48:43.845495,2.56028320587696,5.7996602058410645,2.7103207111358643
29,2020-09-01 07:48:44.767421,2.51740300878417,5.767208576202393,2.749941110610962
30,2020-09-01 07:48:45.551236,2.51740300878417,5.767208576202393,2.749941110610962
31,2020-09-01 07:48:46.306820,2.51740300878417,5.767208576202393,2.749941110610962
32,2020-09-01 07:48:47.244774,2.4745498748218,5.734756946563721,2.789475202560425
33,2020-09-01 07:48:48.084477,2.4745498748218,5.734756946563721,2.789475202560425
34,2020-09-01 07:48:48.983818,2.4745498748218,5.734756946563721,2.789475202560425
35,2020-09-01 07:48:49.834302,2.43172379208065,5.702305316925049,2.828923225402832
36,2020-09-01 07:48:50.748162,2.43172379208065,5.702305316925049,2.828923225402832
37,2020-09-01 07:48:51.585565,2.43172379208065,5.702305316925049,2.828923225402832
38,2020-09-01 07:48:52.476147,2.43172379208065,5.702305316925049,2.8682851791381836
39,2020-09-01 07:48:53.324008,2.38892474862853,5.669853687286377,2.8682851791381836
40,2020-09-01 07:48:54.162302,2.38892474862853,5.669853687286377,2.8682851791381836
41,2020-09-01 07:48:55.007452,2.38892474862853,5.669853687286377,2.8682851791381836
42,2020-09-01 07:48:55.802698,2.34615273251022,5.637402057647705,2.9075608253479004
43,2020-09-01 07:48:56.673281,2.34615273251022,5.637402057647705,2.9075608253479004
44,2020-09-01 07:48:57.526443,2.34615273251022,5.637402057647705,2.9075608253479004
45,2020-09-01 07:48:58.334995,2.30318194274149,5.6089630126953125,2.938861846923828
46,2020-09-01 07:48:59.238721,2.30318194274149,5.6089630126953125,2.938861846923828
47,2020-09-01 07:49:00.088541,2.30318194274149,5.6089630126953125,2.938861846923828
48,2020-09-01 07:49:01.046361,2.26023569714648,5.6089630126953125,2.9700844287872314
49,2020-09-01 07:49:01.902749,2.26023569714648,5.580523490905762,2.9700844287872314
50,2020-09-01 07:49:02.813621,2.26023569714648,5.580523490905762,2.9700844287872314
51,2020-09-01 07:49:03.737082,2.2173139827665,5.580523490905762,3.0012290477752686
52,2020-09-01 07:49:04.599905,2.2173139827665,5.552084445953369,3.0012290477752686
53,2020-09-01 07:49:05.512372,2.2173139827665,5.552084445953369,3.0012290477752686
54,2020-09-01 07:49:06.443899,2.17441678662307,5.523644924163818,3.0322954654693604
55,2020-09-01 07:49:07.242966,2.17441678662307,5.523644924163818,3.0322954654693604
56,2020-09-01 07:49:08.091711,2.17441678662307,5.523644924163818,3.0322954654693604
57,2020-09-01 07:49:08.937980,2.13154409571797,5.495205879211426,3.063283681869507
58,2020-09-01 07:49:09.823946,2.13154409571797,5.495205879211426,3.063283681869507
59,2020-09-01 07:49:10.662093,2.13154409571797,5.495205879211426,3.063283681869507
60,2020-09-01 07:49:11.499625,2.13154409571797,5.495205879211426,3.094193935394287
61,2020-09-01 07:49:12.334859,2.08869589703319,5.466766357421875,3.094193935394287
62,2020-09-01 07:49:13.199394,2.08869589703319,5.466766357421875,3.094193935394287
63,2020-09-01 07:49:14.001602,2.08869589703319,5.466766357421875,3.094193935394287
64,2020-09-01 07:49:14.914359,2.04587217753094,5.438327312469482,3.125026226043701
65,2020-09-01 07:49:15.748297,2.04587217753094,5.438327312469482,3.125026226043701
66,2020-09-01 07:49:16.677545,2.04587217753094,5.438327312469482,3.155780553817749
