timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
2020-03-16 16:56:26.551826,3.7825088259634754,59.0,40.65988292831926,29.491188836177123,37.05533837508925,29.818006715831125,37.22715130721572,37.23247035081522,2.9773286474723335,2.973333439718772,0.09203777295823991,0.09205544885029136,1,1,0,0
2020-03-16 16:56:27.179510,3.850386578205402,59.0,40.721597584394374,29.55613542453583,37.09307241915742,29.883989961914914,37.26486836065574,37.270179754317226,2.977361256185894,2.973371794360638,0.09196627128098632,0.09198392664826481,1,1,0,0
2020-03-16 16:56:27.836950,3.918097039474631,59.0,40.783164928596776,29.620924360710724,37.13072266995212,29.949813570946894,37.302501665060106,37.30780542870065,2.9773937799972003,2.973410049140412,0.09189490855587246,0.0919125434461393,1,1,0,0
2020-03-16 16:56:28.511451,3.985640534883771,59.0,41.81654373413055,29.66705676632906,37.35344423335641,30.180925607994602,37.525123114637225,37.530381802551105,2.977585920215276,2.9736360460904834,0.09147235293251406,0.0914898667349754,1,1,0,0
2020-03-16 16:56:29.152146,4.066555985106589,59.0,41.888960093544185,29.74407060874885,37.39813376366243,30.259229197623306,37.56979258439918,37.57504224015493,2.9776244207631635,2.9736813307633767,0.09138748222917648,0.09140497174435533,1,1,0,0
2020-03-16 16:56:29.834130,4.147272865214987,59.0,41.961204490804406,29.820898458190307,37.44272628802025,30.337344475166226,37.61436510093657,37.61960574827165,2.9776628201226174,2.973726496418479,0.09130276763753735,0.09132023292123977,1,1,0,0
2020-03-16 16:56:30.460538,4.227791540473092,59.0,42.03327722240569,29.897540647787416,37.4872219380096,30.41527177433229,37.65884079571754,37.66407245831927,2.977701118507632,2.9737715433074925,0.09121820904624142,0.0912356501541854,1,1,0,0
2020-03-16 16:56:31.110852,4.30811237588442,59.0,41.69635578565395,26.726342866764405,37.01526730186622,30.177410982114687,37.18709828405679,37.19242545459878,2.977294005470263,2.973292693506643,0.09211368131681902,0.09213137900722242,1,1,0,0
2020-03-16 16:56:31.742424,4.359627866544741,59.0,41.74298935537547,26.775605376777527,37.044108711529034,30.227782083675983,37.21592670132247,37.22124802210891,2.9773189407085,2.973322022542007,0.09205904807210741,0.09207673007275716,1,1,0,0
2020-03-16 16:56:32.375256,4.411015532941406,59.0,41.78950996904254,26.824747288898315,37.07288409052535,30.27803015403098,37.24468912146526,37.25000460759854,2.9773438115691206,2.973351275856274,0.09200452834535297,0.09202219469344372,1,1,0,0
2020-03-16 16:56:33.012765,4.462275640675401,59.0,41.835917850658035,26.873768847940006,37.101593553288396,30.328155441488185,37.27338565884267,37.278695325391084,2.977368618197403,2.973380453620301,0.09195012198747976,0.09196777272013604,1,1,0,0
2020-03-16 16:56:33.675462,4.513408454998867,59.0,41.98193448235362,23.43646270052688,37.447809429038415,30.362114326821832,37.61944596189936,37.624685582650926,2.977667196044756,2.97373164341559,0.091293108943378,0.09131057146542688,1,1,0,0
2020-03-16 16:56:34.325805,4.562580726839229,59.0,42.02642235848231,23.48335178426165,37.475208715193816,30.41023835967605,37.646832959707595,37.652067047691986,2.977690780055653,2.973759383131487,0.09124104126617684,0.09125848890126048,1,1,0,0
2020-03-16 16:56:34.977773,4.611631177097948,59.0,42.07080252443106,23.53012626134447,37.50254510448332,30.45824497277747,37.674157092313095,37.679385661786085,2.9777143032979225,2.97378705137114,0.09118908251869397,0.09120651530214868,1,1,0,0
2020-03-16 16:56:35.634272,4.660560060640364,59.0,39.835913584132186,22.489525634552727,25.907654770495782,30.172012742910177,26.0723963033182,26.080104506534,2.990900168196987,2.9851104454298465,0.11245219935345788,0.0,1,0,0,0
2020-03-16 16:56:36.313625,4.627678135927468,59.0,39.708064845123246,22.362891669978985,25.67194003936396,30.08842608699984,25.83671409599023,25.844475173071444,2.990837748333419,2.9850083116523223,0.11286806279561078,0.0,1,0,0,0
