timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
2020-03-25 14:15:18.395862,1.3987804578133307,59.0,37.11526838414002,28.8414803187301,34.72031705688259,27.21936794647909,34.893193913647224,34.89899198206673,2.975286744016728,2.9709317370415604,0.09642472588468574,0.09644367604995191,1,1,0,0
2020-03-25 14:15:19.204048,1.4445900913757868,59.0,37.15799974041509,28.886198032857813,34.74629095404883,27.26426020139943,34.91915584232997,34.92494852203703,2.97530971415253,2.9709587546799483,0.09637632380217151,0.09639525974852972,1,1,0,0
2020-03-25 14:15:20.422427,1.4902864792221067,59.0,37.18213924326753,26.873181602320905,34.96568368954277,27.210231612560584,35.138447602752535,35.144194819240184,2.975503507380182,2.9711866956753923,0.09596713999056584,0.09598595587377821,1,1,0,0
2020-03-25 14:15:21.161424,1.521734661494179,59.0,37.211585577454215,26.903702464264335,34.983511131267676,27.241222027825224,35.15626684876888,35.16201037520311,2.975519236735529,2.971205196657806,0.09593386308162087,0.09595266921181081,1,1,0,0
2020-03-25 14:15:21.922368,1.5531049862463107,59.0,37.240960398360286,26.934148506385036,35.00129660846372,27.272136570229016,35.17404415094876,35.179783996645995,2.975534926377563,2.971223650929275,0.09590066038863998,0.09591945678922814,1,1,0,0
2020-03-25 14:15:22.675594,1.584397627122513,59.0,37.27026385967686,26.964519892622327,35.019040205205116,27.302975405529544,35.1917795933183,35.19751576757332,2.9755505763986463,2.9712420585984276,0.09586753178130628,0.09588631847566426,1,1,0,0
2020-03-25 14:15:23.421532,1.615612757461875,59.0,38.353880619019904,26.98887476123364,35.25232529953233,27.50625310976225,35.42495760721076,35.43064556932144,2.9757560871416047,2.9714837818490096,0.095431589383413,0.09545024850736966,1,1,0,0
2020-03-25 14:15:24.204767,1.6694644839837594,59.0,38.40314128822402,27.040656977504504,35.282420983369164,27.558880270729794,35.45503949437989,35.460721244644716,2.9757825659597046,2.9715149264317873,0.09537529739953819,0.09539394007168918,1,1,0,0
2020-03-25 14:15:24.950218,1.7231845049903143,59.0,38.452284664278395,27.092314249659303,35.312448931298206,27.611380772021924,35.48505368070471,35.490729234910276,2.97580897748319,2.9715459918625413,0.09531912026253796,0.09533774652123958,1,1,0,0
2020-03-25 14:15:25.715862,1.776773089192659,59.0,38.501310974377986,27.14384682667194,35.34240925779993,27.66375486450041,35.515000280588154,35.520669654486156,2.9758353218608704,2.9715769783162926,0.09526305782634426,0.09528166770988214,1,1,0,0
2020-03-25 14:15:26.450133,1.8302305049601273,59.0,39.460395976046044,24.35980659543278,35.636762438462426,27.757766470896904,35.80921881309516,35.814827562639906,2.976093741063181,2.9718809329330753,0.09471162788637136,0.09473007695825891,1,1,0,0
2020-03-25 14:15:27.251628,1.8879296336719307,59.0,39.51247989485162,24.414895855508284,35.66877396492984,27.814080439485274,35.84121571961245,35.8468178866282,2.9761217999379,2.971913935995701,0.09465158953596271,0.09467002112698249,1,1,0,0
2020-03-25 14:15:28.015792,1.9454882916274983,59.0,39.56444023622389,24.46985288105747,35.70071410303116,27.870259581545135,35.873141274935946,35.878736876158726,2.9761497874706606,2.9719468551458306,0.09459167149425013,0.09461008564490289,1,1,0,0
2020-03-25 14:15:28.788599,2.0029067603175292,59.0,39.616277235728944,24.524677930717964,35.732582969796184,27.92630415904643,35.904995596013976,35.91058464814313,2.9761777038179034,2.9719796905674585,0.09453187361789774,0.09455027036861147,1,1,0,0
