,pat1,pat2,pat3,pat4
0,1118.80298,1607.3058,1570.0798,875.4331999999999
1,906.8787,997.5318000000001,695.3131999999999,923.5309
2,743.481,1494.89676,838.0086200000001,639.96549
3,1050.879,1285.91685,1013.3774,558.748
4,1557.0299999999997,2594.4085999999998,1378.363,1918.067
5,2871.238,3329.573,2082.575,1981.7459000000001
6,4365.8813,4263.062,3858.8062,3843.1281
7,4570.1408,5513.6828000000005,3685.691,4375.4238
8,4599.8883,6434.688,4574.157700000001,3451.5048
9,3857.2160000000003,5323.8502,4296.568,3428.6310999999996
10,3286.2360000000003,4779.2408,2630.1958999999997,3998.8291000000004
11,4228.150000000001,4948.4082,2733.7397,2689.1459
12,3396.9307,3292.2003999999997,2976.857,2673.7792999999997
13,3527.5674,2770.2526,3320.49,3008.7003
14,2751.6924999999997,3955.6614000000004,2910.5420000000004,2194.9123999999997
15,4558.106400000001,4771.2798,3433.32835,2917.8683000000005
16,3704.3857199999998,4915.4504,3657.36585,3292.0976
17,3719.5299999999997,4805.077,3997.524,2495.5214
18,2493.9673,4901.3769999999995,3285.2144,3098.45016
19,3778.21652,4573.773,3029.7692,2947.4816
20,3411.2509,4572.698410000001,2800.2101000000002,3008.9551999999994
21,2721.8788,3127.1162999999997,2089.683,1827.015
22,2182.1843,2173.952,1725.338,1780.3488000000002
23,2074.7097000000003,2217.8412999999996,1244.2015999999999,2033.1896499999998
24,1238.1889999999999,2442.9139999999998,1445.2894000000001,2196.4846
25,830.2559,999.95716,1058.4308,953.8115
26,807.9738,1097.213,877.7371999999999,767.426
27,726.3521999999999,789.569,763.8241,1060.8004999999998
28,1456.6860000000001,1977.4225,1108.8374,1212.0654
29,3009.3669,4597.4416,2210.9620000000004,2181.6897000000004
30,3732.8495,4785.2008,3990.3156,4793.087
31,6292.0705,6501.159,4177.2482,4562.3369999999995
32,5470.6374000000005,5799.022,3283.441,3919.375
33,4276.7768,4347.5857,3959.275,3858.9174000000003
34,4669.597,4194.7382,4290.6567000000005,4019.3463
35,2906.0444,4495.7917,2862.87927,4098.2026
36,3278.0946999999996,4605.417,2902.1866999999997,2923.0552
37,3437.0623,3628.09,2737.5494000000003,2530.7758999999996
38,3508.505,3623.5141999999996,3541.3166,3104.0627
39,3382.8695,3520.9556000000002,2900.3827,2696.0640000000003
40,3473.8959999999997,4636.0398,4149.1630000000005,2929.7442
41,3747.8140000000003,3696.4189,4119.2557,2700.874
42,4060.907,3286.2090000000003,3994.8879,3810.5600000000004
43,3634.1267,3892.2410000000004,4008.7195,3253.4210999999996
44,3015.0717,5022.7345000000005,3037.0480000000002,2720.7742
45,2489.3439,2760.4357,2483.3535,2550.077
46,1361.0545000000002,3202.6580000000004,1992.1298000000002,1838.8687
47,1580.8524000000002,2009.36425,2240.0238,1549.81815
48,1655.913,1608.9187,1634.496,1940.7432000000001
49,592.1855,1415.7659,1244.6876000000002,631.0933
50,938.2674,853.3803,912.5755999999999,604.6184
51,1073.2817,1727.9732,1255.2677,812.2443000000001
52,1118.218,1399.6109999999999,1518.8551,1835.0474
53,2662.0593,4081.2065,2328.9637000000002,2428.6288
54,4476.191,4948.8361,5145.56,3375.7668
55,4718.5375,6030.8604,5734.451,4348.004499999999
56,4003.5504,7224.7247,5180.487000000001,4149.5684
57,3677.8026,5346.3366,4462.8189999999995,3675.9449999999997
58,2548.5538,5208.4710000000005,3824.7736,3814.6608
59,2960.6578,4441.034,2829.7821000000004,3322.6654
60,2557.8584,4007.4333,3254.5445,2885.6554
61,3105.9423,5498.3809,2517.4918,2249.6375
62,3677.2515000000003,4016.3538000000003,3675.267,1990.8393
63,3082.0806000000002,5419.909,3379.8360000000002,2691.1657
64,4583.028,5544.6079500000005,3315.1218000000003,2600.9675
65,4352.8657,4397.880399999999,4134.513,3094.2967999999996
66,3421.8403,4040.3703,3704.3309999999997,2502.4354000000003
67,3909.2532000000006,5046.776,3143.1201999999994,3041.866
68,3074.5504,3765.8190999999997,2933.6742,2626.0493
69,2151.0957,4204.3580999999995,2920.882,1743.0194999999999
70,1782.0143999999998,2128.7099,2362.256,1755.0741999999998
71,1466.1439,1888.8887,2227.8414000000007,2038.5049999999999
72,1351.3145,2029.13021,2326.6256000000003,2054.7216
73,1145.8035,1235.0787,835.3907,1004.6305
74,601.216,955.4356,1038.0276999999999,756.5831999999999
75,523.209,849.1324099999999,635.888,799.6774
76,1591.7684,1839.6978,1280.8395,1519.5725
77,2954.7461999999996,3202.3336999999997,3209.8559999999998,2366.2826000000005
78,4285.1539999999995,5408.1152,4507.931,3727.0659
79,5573.185,6190.80523,5975.0887,3348.2067
80,5123.830099999999,5486.002,4581.905000000001,3556.131
81,4128.91795,4867.1256,3775.9246,3808.6976000000004
82,3404.9448,4994.898,4094.2072000000007,3583.2415
83,3650.85557,4234.058099999999,4104.949500000001,2494.6639999999998
84,3886.7479,4226.888499999999,3191.9649999999997,2336.208
85,3948.8408000000004,3439.3289999999997,2653.9438000000005,2533.2934999999998
86,3005.761,3913.6633,2080.9405,3389.8131
87,3380.7960000000003,3404.9039,2540.6306000000004,2874.6725
88,2724.2380000000003,4262.6442,2876.9409,2768.1502
89,3260.7072,4131.2161,2968.2079999999996,2691.4701
90,3738.2545899999996,4328.741000000001,3474.5597,3501.8976000000002
91,3037.9026000000003,4030.8160000000003,3463.4797000000003,2813.3467
92,2902.0524899999996,3586.471,3550.0633000000007,2610.9589
93,2092.2228,3167.5816999999997,2038.9901,1955.27
94,2041.037,2799.9826999999996,1472.7923999999998,1881.1416
95,1482.038,3272.4053999999996,1525.3865,1818.4883300000001
96,1393.1644000000001,1867.3007499999999,1453.6367,1214.7202
97,1224.0046000000002,959.489,973.6028,1004.175
98,797.4058,711.3393,757.48309,909.1949
99,819.6219,1700.5416,728.3296,551.7825
100,1249.8255,1690.8118399999998,1550.059,1201.0810000000001
101,3277.446,3485.3699,3575.6009999999997,2457.8828000000003
102,4205.4884999999995,4726.636100000001,3217.901,4401.8102
103,5032.932349999999,5626.083199999999,4393.303000000001,4221.199
104,4679.89188,6078.107,4137.585,4201.1137
105,4790.5145,5031.869000000001,3217.0330000000004,3245.3072
106,3985.0139999999997,4691.3342999999995,3635.2742,3558.6551
107,3459.6263,4007.9449000000004,3113.01,3473.8875
108,3098.7247999999995,3886.34232,3586.25,2843.775
109,3265.3603000000003,3826.69248,2718.2677000000003,2224.2709999999997
110,2759.9271,4380.821,3445.0327000000007,2457.85231
111,3071.28834,4118.0975,2884.16,2325.6467000000002
112,3731.4471,5042.77,3352.748,2690.656
113,3502.2572,4990.459199999999,3077.7766,2892.7218999999996
114,2742.845,5286.2328,3540.1270999999997,3563.94913
115,2820.9175,4548.339,3017.6405999999997,3207.1053
116,3172.5884,4584.5247,3305.1639999999998,3495.451
117,2583.1373,3301.593,2245.4842,2199.0008000000003
118,1953.3087,3054.1322999999998,1489.4421000000002,1498.0320499999998
119,1686.814,2103.0666,1143.8316,1557.1229
120,1171.2245,1717.946,1518.97235,1353.4230000000002
121,841.98622,1225.7181999999998,1438.5169999999998,940.0806
122,761.338,749.0101999999999,858.511,729.5912000000001
123,600.9917,1394.835,1373.66259,1699.317
124,1793.8979,1629.732,1796.8244,1149.3502700000001
125,3192.4813000000004,3044.7408000000005,2889.3370000000004,2941.0196000000005
126,4588.0689999999995,4287.1787,3937.4978,3631.9503000000004
127,5261.916,5381.7169,5278.4298,3328.5290000000005
128,5028.8809,6162.3418,6324.454,3767.4983
129,4435.2401,5854.197499999999,3748.43412,3052.6177799999996
130,3352.9084,4772.657999999999,4211.8057,2786.8438
131,3459.7498000000005,4506.317000000001,3275.1272000000004,3288.7976999999996
132,2828.965,4008.3914999999997,2698.9208999999996,2870.3777
133,2663.8320000000003,4912.6715,3079.408,2582.1188
