iteration,timestamp,TANK_LEVEL
1,2020-05-29 03:35:32.680898,3.0
2,2020-05-29 03:35:33.055823,3.8164560794830322
3,2020-05-29 03:35:33.406446,3.8164560794830322
4,2020-05-29 03:35:33.721536,3.676513910293579
5,2020-05-29 03:35:34.101303,3.6226699352264404
6,2020-05-29 03:35:34.459925,3.6226699352264404
7,2020-05-29 03:35:34.786451,3.5689620971679688
8,2020-05-29 03:35:35.186741,3.5689620971679688
9,2020-05-29 03:35:35.602689,3.5261640548706055
10,2020-05-29 03:35:35.912299,3.5261640548706055
11,2020-05-29 03:35:36.331125,3.483473062515259
12,2020-05-29 03:35:36.679411,3.440890073776245
13,2020-05-29 03:35:37.439805,3.440890073776245
14,2020-05-29 03:35:37.786768,3.362597942352295
15,2020-05-29 03:35:38.185589,3.362597942352295
16,2020-05-29 03:35:38.535057,3.3268721103668213
17,2020-05-29 03:35:38.857478,3.2912371158599854
18,2020-05-29 03:35:39.265006,3.2912371158599854
19,2020-05-29 03:35:39.590148,3.2556910514831543
20,2020-05-29 03:35:39.974850,3.2556910514831543
21,2020-05-29 03:35:40.344336,3.2663679122924805
22,2020-05-29 03:35:40.684136,3.2770180702209473
23,2020-05-29 03:35:41.051917,3.2770180702209473
24,2020-05-29 03:35:41.379779,3.2876410484313965
25,2020-05-29 03:35:41.716708,3.2876410484313965
26,2020-05-29 03:35:42.220538,3.2982358932495117
27,2020-05-29 03:35:42.653649,3.328223943710327
28,2020-05-29 03:35:43.006457,3.328223943710327
29,2020-05-29 03:35:43.426512,3.3581368923187256
30,2020-05-29 03:35:43.825902,3.387974977493286
31,2020-05-29 03:35:44.206036,3.387974977493286
32,2020-05-29 03:35:44.645413,3.4177379608154297
33,2020-05-29 03:35:45.053787,3.4177379608154297
34,2020-05-29 03:35:45.517983,3.442234992980957
35,2020-05-29 03:35:45.886030,3.4666709899902344
36,2020-05-29 03:35:46.359470,3.4910449981689453
37,2020-05-29 03:35:46.761738,3.51535701751709
38,2020-05-29 03:35:47.173941,3.51535701751709
39,2020-05-29 03:35:47.533243,3.510132074356079
