iteration,timestamp,T5,T7
2836,2020-09-17 20:30:36.462674,5.0,2.905639171600342
2837,2020-09-17 20:30:37.364619,5.0,2.905639171600342
2838,2020-09-17 20:30:38.431468,5.0,2.952054977416992
2839,2020-09-17 20:30:39.333682,5.0,2.952054977416992
2840,2020-09-17 20:30:40.210711,5.0,2.952054977416992
2841,2020-09-17 20:30:41.136464,5.0,2.9983632564544678
2842,2020-09-17 20:30:42.130464,5.0,2.9983632564544678
2843,2020-09-17 20:30:43.012784,5.0,2.9983632564544678
2844,2020-09-17 20:30:43.997926,5.0,2.9983632564544678
2845,2020-09-17 20:30:44.970670,5.0,3.0445640087127686
2846,2020-09-17 20:30:45.852379,5.0,3.0445640087127686
2847,2020-09-17 20:30:46.918658,5.0,3.090657949447632
2848,2020-09-17 20:30:47.914348,5.0,3.090657949447632
2849,2020-09-17 20:30:48.842853,5.0,3.1366448402404785
2850,2020-09-17 20:30:49.682703,5.0,3.1366448402404785
2851,2020-09-17 20:30:50.495734,5.0,3.1366448402404785
2852,2020-09-17 20:30:51.466924,5.0,3.1366448402404785
2853,2020-09-17 20:30:52.336522,5.0,3.182525157928467
2854,2020-09-17 20:30:53.255804,5.0,3.182525157928467
2855,2020-09-17 20:30:54.150955,5.0,3.228299140930176
2856,2020-09-17 20:30:55.075802,5.0,3.228299140930176
2857,2020-09-17 20:30:56.113150,5.0,3.228299140930176
2858,2020-09-17 20:30:57.066635,5.0,3.2739672660827637
2859,2020-09-17 20:30:58.039090,5.0,3.2739672660827637
2860,2020-09-17 20:30:58.929903,5.0,3.2739672660827637
2861,2020-09-17 20:30:59.838438,5.0,3.3195292949676514
2862,2020-09-17 20:31:00.791028,5.0,3.3195292949676514
2863,2020-09-17 20:31:01.765429,5.0,3.364985704421997
2864,2020-09-17 20:31:02.648568,5.0,3.364985704421997
2865,2020-09-17 20:31:03.530874,5.0,3.364985704421997
2866,2020-09-17 20:31:04.392174,5.0,3.410336971282959
2867,2020-09-17 20:31:05.326221,5.0,3.410336971282959
2868,2020-09-17 20:31:06.262444,5.0,3.4530162811279297
2869,2020-09-17 20:31:07.147821,5.0,3.4530162811279297
2870,2020-09-17 20:31:08.071960,5.0,3.4530162811279297
2871,2020-09-17 20:31:08.973328,5.0,3.4955947399139404
2872,2020-09-17 20:31:09.884450,5.0,3.4955947399139404
2873,2020-09-17 20:31:10.986329,5.0,3.4955947399139404
2874,2020-09-17 20:31:11.889044,5.0,3.5380725860595703
2875,2020-09-17 20:31:12.830339,5.0,3.5380725860595703
2876,2020-09-17 20:31:13.700227,5.0,3.5804495811462402
2877,2020-09-17 20:31:14.618034,5.0,3.5804495811462402
2878,2020-09-17 20:31:15.526116,5.0,3.5804495811462402
2879,2020-09-17 20:31:16.358623,5.0,3.5804495811462402
2880,2020-09-17 20:31:17.260155,5.0,3.6227264404296875
2881,2020-09-17 20:31:18.213271,5.0,3.6227264404296875
2882,2020-09-17 20:31:19.020756,5.0,3.664903163909912
2883,2020-09-17 20:31:19.967381,5.0,3.664903163909912
2884,2020-09-17 20:31:20.841766,5.0,3.664903163909912
2885,2020-09-17 20:31:21.738593,5.0,3.7069802284240723
2886,2020-09-17 20:31:22.659074,5.0,3.7069802284240723
2887,2020-09-17 20:31:23.601809,5.0,3.748957633972168
2888,2020-09-17 20:31:24.507931,5.0,3.748957633972168
2889,2020-09-17 20:31:25.454235,5.0,3.748957633972168
2890,2020-09-17 20:31:26.418780,5.0,3.748957633972168
2891,2020-09-17 20:31:27.175957,5.0,3.7908356189727783
2892,2020-09-17 20:31:28.094164,5.0,3.7908356189727783
2893,2020-09-17 20:31:28.961779,5.0,3.7908356189727783
2894,2020-09-17 20:31:29.730681,5.0,3.8326144218444824
2895,2020-09-17 20:31:30.596098,5.0,3.8326144218444824
2896,2020-09-17 20:31:31.598412,5.0,3.8742945194244385
2897,2020-09-17 20:31:32.558804,5.0,3.8742945194244385
2898,2020-09-17 20:31:33.403122,5.0,3.8742945194244385
2899,2020-09-17 20:31:34.318494,5.0,3.9158756732940674
2900,2020-09-17 20:31:35.204359,5.0,3.9158756732940674
2901,2020-09-17 20:31:36.204358,5.0,3.9158756732940674
2902,2020-09-17 20:31:37.085916,5.0,3.9550325870513916
2903,2020-09-17 20:31:37.910153,5.0,3.9550325870513916
2904,2020-09-17 20:31:38.802737,5.0,3.9550325870513916
2905,2020-09-17 20:31:39.713372,5.0,3.99409818649292
2906,2020-09-17 20:31:40.622552,5.0,3.99409818649292
2907,2020-09-17 20:31:41.476840,5.0,3.99409818649292
2908,2020-09-17 20:31:42.426545,5.0,4.033072471618652
2909,2020-09-17 20:31:43.352157,5.0,4.033072471618652
2910,2020-09-17 20:31:44.301430,5.0,4.033072471618652
2911,2020-09-17 20:31:45.170612,5.0,4.071956157684326
2912,2020-09-17 20:31:46.094551,5.0,4.071956157684326
2913,2020-09-17 20:31:47.046475,5.0,4.071956157684326
2914,2020-09-17 20:31:47.961728,5.0,4.110749244689941
2915,2020-09-17 20:31:48.923368,5.0,4.110749244689941
2916,2020-09-17 20:31:49.820163,5.0,4.149451732635498
2917,2020-09-17 20:31:50.714208,5.0,4.149451732635498
2918,2020-09-17 20:31:51.660145,5.0,4.149451732635498
2919,2020-09-17 20:31:52.610119,5.0,4.188064098358154
2920,2020-09-17 20:31:53.543604,5.0,4.188064098358154
2921,2020-09-17 20:31:54.503123,5.0,4.226586818695068
2922,2020-09-17 20:31:55.411744,5.0,4.226586818695068
2923,2020-09-17 20:31:56.285376,5.0,4.226586818695068
2924,2020-09-17 20:31:57.222805,5.0,4.265019416809082
2925,2020-09-17 20:31:58.120838,5.0,4.265019416809082
2926,2020-09-17 20:31:59.067708,5.0,4.265019416809082
2927,2020-09-17 20:31:59.959333,5.0,4.3033623695373535
2928,2020-09-17 20:32:00.882717,5.0,4.3033623695373535
2929,2020-09-17 20:32:01.734840,5.0,4.3033623695373535
2930,2020-09-17 20:32:02.682957,5.0,4.341616153717041
2931,2020-09-17 20:32:03.547879,5.0,4.341616153717041
2932,2020-09-17 20:32:04.415180,5.0,4.341616153717041
2933,2020-09-17 20:32:05.336367,5.0,4.3797807693481445
2934,2020-09-17 20:32:06.312793,5.0,4.3797807693481445
2935,2020-09-17 20:32:07.207183,5.0,4.443863868713379
2936,2020-09-17 20:32:08.147135,5.0,4.443863868713379
2937,2020-09-17 20:32:08.986379,5.0,4.443863868713379
2938,2020-09-17 20:32:09.898462,5.0,4.443863868713379
2939,2020-09-17 20:32:10.714484,5.0,4.507810592651367
2940,2020-09-17 20:32:11.630142,5.0,4.507810592651367
2941,2020-09-17 20:32:12.562108,5.0,4.507810592651367
2942,2020-09-17 20:32:13.467935,5.0,4.571476936340332
2943,2020-09-17 20:32:14.281969,5.0,4.571476936340332
2944,2020-09-17 20:32:15.232987,5.0,4.571476936340332
2945,2020-09-17 20:32:16.173901,5.0,4.6349992752075195
2946,2020-09-17 20:32:17.043371,5.0,4.6349992752075195
2947,2020-09-17 20:32:17.897551,5.0,4.6349992752075195
2948,2020-09-17 20:32:18.855689,5.0,4.69837760925293
2949,2020-09-17 20:32:19.628889,5.0,4.69837760925293
