iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
149,2020-08-18 11:43:17.519022,2.682795307424115,59.0,36.136231008668545,20.081925136133457,22.867441212072393,27.328957809785855,23.03260672997162,23.041004204831182,2.990086453427338,2.9837790141939706,0.11777492207006754,0.0,1,0,0,0
150,2020-08-18 11:43:18.159873,2.5752805851749656,59.0,36.03233742152797,19.98030224091074,22.780106296418936,27.224543049478775,22.945284136240616,22.95370164282906,2.990062805109389,2.9837403199150287,0.11792654402513363,0.0,1,0,0,0
151,2020-08-18 11:43:18.787339,2.4679507968175045,59.0,35.930624265566195,19.906626898195604,22.695281170385,27.12227726301783,22.860470985530156,22.8689079603824,2.99003982198613,2.983702714053152,0.11807374208371235,0.0,1,0,0,0
152,2020-08-18 11:43:19.393020,2.3609236965896514,59.0,35.88153297504738,20.021244759034367,22.723080975064462,27.072018302572324,22.888266864713557,22.896697457893268,2.9900473558252116,2.9837150412076454,0.11802550797626196,0.0,1,0,0,0
153,2020-08-18 11:43:20.009354,2.2573411583550893,59.0,35.78233854919691,19.93691069411026,22.640127149168137,26.97228068095456,22.805324754733235,22.813774394458633,2.9900248705582797,2.9836782499574,0.11816941634825659,0.0,1,0,0,0
154,2020-08-18 11:43:20.666791,2.153995451263498,59.0,35.684775909693016,19.872644829086504,22.559035346770685,26.8741498933284,22.724244412092347,22.73271268192576,2.99000287691387,2.983642263118803,0.11831003397743256,0.0,1,0,0,0
155,2020-08-18 11:43:21.283411,2.0509717026272654,59.0,35.58759313298734,19.8096971798523,22.47829891730352,26.776392609603384,22.643519398854494,22.652006228033912,2.9899809668069253,2.9836064129675464,0.11844997606810241,0.0,1,0,0,0
156,2020-08-18 11:43:21.894893,1.9482739674345169,59.0,35.534739139411485,19.781659279481403,22.372548501109378,26.70768983474141,22.53778394598949,22.546295101029955,2.9899522490806305,2.983559423930558,0.11863318609829059,0.0,1,0,0,0
157,2020-08-18 11:43:22.515081,1.8477022574326867,59.0,35.43959167959872,19.715102655284205,22.293326153278343,26.611816950026274,22.458572815345292,22.46710220614932,2.9899307209764885,2.9835241988272045,0.11877037067707943,0.0,1,0,0,0
158,2020-08-18 11:43:23.141288,1.7474274262132923,59.0,35.34472180819243,19.648739999050335,22.214345845119183,26.516217686779534,22.37960369648198,22.388151277707507,2.9899092464005506,2.9834890613088874,0.11890707979399509,0.0,1,0,0,0
