timestamp,T1,T2,T3,T4,T5,T7
2020-09-16 20:47:14.201074,1.3647361993789673,0.0,4.961715221405029,3.197387456893921,3.160923957824707,2.442296028137207
2020-09-16 20:47:16.537401,1.3610209226608276,0.0,5.013024806976318,3.197387456893921,3.1299896240234375,2.527289867401123
2020-09-16 20:47:18.844745,1.357383131980896,0.0,5.0643086433410645,3.129873514175415,3.1299896240234375,2.527289867401123
2020-09-16 20:47:21.103196,1.3538223505020142,0.0,5.115566730499268,3.062359571456909,3.099055051803589,2.6120762825012207
2020-09-16 20:47:23.361673,1.3538223505020142,0.0,5.166799068450928,2.994845390319824,3.0681204795837402,2.6966562271118164
2020-09-16 20:47:25.733782,1.3503382205963135,0.0,5.218006134033203,2.9273314476013184,3.0371859073638916,2.7810304164886475
2020-09-16 20:47:27.925939,1.3469303846359253,0.0,5.269186973571777,2.8598175048828125,3.006251335144043,2.865199565887451
2020-09-16 20:47:30.079892,1.343598484992981,0.0,5.269186973571777,2.8598175048828125,2.9753170013427734,2.9491002559661865
2020-09-16 20:47:32.420428,1.3378318548202515,0.0,5.319549083709717,2.9293668270111084,2.9753170013427734,3.032792806625366
2020-09-16 20:47:34.631301,1.332051157951355,0.0,5.369865417480469,2.9988317489624023,2.944382429122925,3.032792806625366
2020-09-16 20:47:36.859151,1.3262566328048706,0.0,5.420135974884033,3.0682125091552734,2.913447856903076,3.1162774562835693
2020-09-16 20:47:40.190752,1.3262566328048706,0.0,5.404077529907227,3.138185977935791,2.8825132846832275,3.199591875076294
2020-09-16 20:47:42.327370,1.321731448173523,0.0,5.404077529907227,3.2080962657928467,2.851578712463379,3.282702922821045
2020-09-16 20:47:44.430080,1.3172593116760254,0.0,5.38801908493042,3.2080962657928467,2.851578712463379,3.354280471801758
2020-09-16 20:47:46.595983,1.311049222946167,0.0,5.3673858642578125,3.2641825675964355,2.814497947692871,3.354280471801758
2020-09-16 20:47:48.853287,1.311049222946167,0.0,5.346753120422363,3.320218563079834,2.777416944503784,3.425679922103882
2020-09-16 20:47:50.973111,1.3048932552337646,0.0,5.346753120422363,3.376204252243042,2.7403361797332764,3.4969024658203125
2020-09-16 20:47:53.222939,1.2987912893295288,0.0,5.326119899749756,3.376204252243042,2.7032554149627686,3.567948341369629
2020-09-16 20:47:55.353672,1.2927427291870117,0.0,5.305486679077148,3.4321396350860596,2.7032554149627686,3.567948341369629
2020-09-16 20:47:57.723999,1.2867473363876343,0.0,5.284853935241699,3.4880247116088867,2.6661744117736816,3.6388182640075684
2020-09-16 20:47:59.985752,1.2808047533035278,0.0,5.264220714569092,3.5438594818115234,2.629093647003174,3.709512948989868
2020-09-16 20:48:02.329030,1.2808047533035278,0.0,5.243587493896484,3.5996437072753906,2.592012643814087,3.7800328731536865
2020-09-16 20:48:04.526824,1.2749146223068237,0.0,5.243587493896484,3.6553776264190674,2.554931879043579,3.85037899017334
2020-09-16 20:48:06.748910,1.2690767049789429,0.0,5.222954750061035,3.6553776264190674,2.554931879043579,3.9205515384674072
2020-09-16 20:48:08.973816,1.263290524482727,0.0,5.202321529388428,3.7110612392425537,2.4807701110839844,3.990551471710205
2020-09-16 20:48:11.067621,1.2575558423995972,0.0,5.18168830871582,3.7666940689086914,2.4807701110839844,3.990551471710205
2020-09-16 20:48:13.143462,1.2523778676986694,0.0,5.161055564880371,3.8222782611846924,2.4436893463134766,4.091541290283203
2020-09-16 20:48:15.438359,1.2523778676986694,0.0,5.140422344207764,3.877811908721924,2.4066083431243896,4.19234561920166
2020-09-16 20:48:17.663630,1.247252345085144,0.0,5.140422344207764,3.877811908721924,2.359877586364746,4.252292633056641
2020-09-16 20:48:20.035138,1.2376360893249512,0.0,5.115081787109375,3.921884775161743,2.3131468296051025,4.3121161460876465
2020-09-16 20:48:22.367939,1.2280772924423218,0.0,5.089741230010986,3.965916633605957,2.3131468296051025,4.371816158294678
2020-09-16 20:48:24.548812,1.2185755968093872,0.0,5.0644001960754395,4.009907245635986,2.26641583442688,4.371816158294678
2020-09-16 20:48:26.732470,1.2091304063796997,0.0,5.039059638977051,4.053856372833252,2.2196850776672363,4.431393146514893
2020-09-16 20:48:28.976739,1.2091304063796997,0.0,5.013719081878662,4.097764492034912,2.1729543209075928,4.490848064422607
2020-09-16 20:48:31.101509,1.1997416019439697,0.0,5.013719081878662,4.141631126403809,2.126223564147949,4.550179958343506
2020-09-16 20:48:33.292653,1.1904088258743286,0.0,4.988378524780273,4.141631126403809,2.126223564147949,4.550179958343506
2020-09-16 20:48:35.531403,1.1811314821243286,0.0,4.963037967681885,4.185456275939941,2.0794925689697266,4.6093902587890625
2020-09-16 20:48:37.860377,1.171909213066101,0.0,4.937696933746338,4.229240417480469,2.032761812210083,4.668478012084961
2020-09-16 20:48:40.102463,1.171909213066101,0.0,4.912356376647949,4.272982597351074,1.9860310554504395,4.727444648742676
2020-09-16 20:48:42.259016,1.1627418994903564,0.0,4.912356376647949,4.272982597351074,1.9393001794815063,4.786289691925049
2020-09-16 20:48:44.445244,1.153628945350647,0.0,4.8870158195495605,4.316683769226074,1.8925694227218628,4.845013618469238
2020-09-16 20:48:46.615240,1.144569993019104,0.0,4.861675262451172,4.360342979431152,1.8925694227218628,4.845013618469238
2020-09-16 20:48:48.796279,1.1355648040771484,0.0,4.836334705352783,4.403960704803467,1.8458385467529297,4.903616428375244
2020-09-16 20:48:51.075073,1.1233934164047241,0.0,4.8031840324401855,4.425601482391357,1.7902559041976929,4.946621894836426
2020-09-16 20:48:53.429228,1.1233934164047241,0.0,4.770033836364746,4.447243690490723,1.7346733808517456,4.799780368804932
