iteration,timestamp,T5,T7
1,2020-09-17 19:30:08.755939,1.0,2.5
2,2020-09-17 19:30:09.607351,1.0,2.5
3,2020-09-17 19:30:10.426761,1.0,2.5
4,2020-09-17 19:30:11.189613,1.0,2.5
5,2020-09-17 19:30:12.038974,1.0,2.5
6,2020-09-17 19:30:12.799324,1.6589596271514893,1.31642484664917
7,2020-09-17 19:30:13.615313,1.6589596271514893,1.31642484664917
8,2020-09-17 19:30:14.377775,1.6589596271514893,1.1458247900009155
9,2020-09-17 19:30:15.091401,1.6930609941482544,1.1458247900009155
10,2020-09-17 19:30:15.853122,1.6930609941482544,1.1458247900009155
11,2020-09-17 19:30:16.595901,1.6930609941482544,0.9756340980529785
12,2020-09-17 19:30:17.403225,1.7271546125411987,0.9756340980529785
13,2020-09-17 19:30:18.217409,1.7271546125411987,0.9756340980529785
14,2020-09-17 19:30:18.919871,1.7549790143966675,0.9721524119377136
15,2020-09-17 19:30:19.638392,1.7549790143966675,0.9721524119377136
16,2020-09-17 19:30:20.433870,1.7549790143966675,0.9721524119377136
17,2020-09-17 19:30:21.158825,1.7827918529510498,0.9687487483024597
18,2020-09-17 19:30:21.933676,1.7827918529510498,0.9687487483024597
19,2020-09-17 19:30:22.721725,1.7827918529510498,0.9687487483024597
20,2020-09-17 19:30:23.492786,1.8058682680130005,1.060032844543457
21,2020-09-17 19:30:24.301363,1.8058682680130005,1.060032844543457
22,2020-09-17 19:30:25.094371,1.8058682680130005,1.060032844543457
23,2020-09-17 19:30:25.912414,1.8289395570755005,1.151082158088684
24,2020-09-17 19:30:26.704435,1.8289395570755005,1.151082158088684
25,2020-09-17 19:30:27.479972,1.8289395570755005,1.151082158088684
26,2020-09-17 19:30:28.340495,1.8520058393478394,1.241897463798523
27,2020-09-17 19:30:29.081591,1.8520058393478394,1.241897463798523
28,2020-09-17 19:30:29.862111,1.8520058393478394,1.3324798345565796
29,2020-09-17 19:30:30.590463,1.8750669956207275,1.3324798345565796
30,2020-09-17 19:30:31.333785,1.8750669956207275,1.3324798345565796
31,2020-09-17 19:30:32.129442,1.8750669956207275,1.3324798345565796
32,2020-09-17 19:30:32.899600,1.8981232643127441,1.4228299856185913
33,2020-09-17 19:30:33.691094,1.8981232643127441,1.4228299856185913
34,2020-09-17 19:30:34.425537,1.8981232643127441,1.4228299856185913
35,2020-09-17 19:30:35.285627,1.92117440700531,1.5129488706588745
36,2020-09-17 19:30:36.116146,1.92117440700531,1.5129488706588745
37,2020-09-17 19:30:36.953892,1.92117440700531,1.6028374433517456
38,2020-09-17 19:30:37.733981,1.9442205429077148,1.6028374433517456
39,2020-09-17 19:30:38.577157,1.9442205429077148,1.6028374433517456
40,2020-09-17 19:30:39.365367,1.9442205429077148,1.6028374433517456
41,2020-09-17 19:30:40.211262,1.9751663208007812,1.6945372819900513
42,2020-09-17 19:30:41.048692,1.9751663208007812,1.6945372819900513
43,2020-09-17 19:30:41.890679,1.9751663208007812,1.6945372819900513
44,2020-09-17 19:30:42.758519,2.006101369857788,1.7860076427459717
45,2020-09-17 19:30:43.618113,2.006101369857788,1.7860076427459717
46,2020-09-17 19:30:44.410736,2.006101369857788,1.7860076427459717
47,2020-09-17 19:30:45.151000,2.0370256900787354,1.8772494792938232
48,2020-09-17 19:30:46.015256,2.0370256900787354,1.8772494792938232
49,2020-09-17 19:30:46.811556,2.0370256900787354,1.8772494792938232
50,2020-09-17 19:30:47.571989,2.0370256900787354,1.9682635068893433
51,2020-09-17 19:30:48.442050,2.067939519882202,1.9682635068893433
52,2020-09-17 19:30:49.286794,2.067939519882202,1.9682635068893433
53,2020-09-17 19:30:50.166397,2.067939519882202,2.0590505599975586
54,2020-09-17 19:30:51.064494,2.0988423824310303,2.0590505599975586
55,2020-09-17 19:30:51.886383,2.0988423824310303,2.0590505599975586
56,2020-09-17 19:30:52.666208,2.0988423824310303,2.149611473083496
57,2020-09-17 19:30:53.467011,2.129734516143799,2.149611473083496
58,2020-09-17 19:30:54.306485,2.129734516143799,2.149611473083496
59,2020-09-17 19:30:55.047202,2.129734516143799,2.2399473190307617
60,2020-09-17 19:30:55.934311,2.160615921020508,2.2399473190307617
61,2020-09-17 19:30:56.817246,2.160615921020508,2.2399473190307617
62,2020-09-17 19:30:57.671951,2.160615921020508,2.2399473190307617
63,2020-09-17 19:30:58.482491,2.1914865970611572,2.3300585746765137
64,2020-09-17 19:30:59.324441,2.1914865970611572,2.3300585746765137
65,2020-09-17 19:31:00.166010,2.1914865970611572,2.3300585746765137
66,2020-09-17 19:31:00.974295,2.1914865970611572,2.4199459552764893
67,2020-09-17 19:31:01.769006,2.222346544265747,2.4199459552764893
68,2020-09-17 19:31:02.601726,2.222346544265747,2.4199459552764893
69,2020-09-17 19:31:03.509625,2.2531957626342773,2.509610652923584
70,2020-09-17 19:31:04.328552,2.2531957626342773,2.509610652923584
71,2020-09-17 19:31:05.156933,2.2531957626342773,2.509610652923584
72,2020-09-17 19:31:05.959544,2.2531957626342773,2.599053144454956
73,2020-09-17 19:31:06.807925,2.284034013748169,2.599053144454956
74,2020-09-17 19:31:07.536448,2.284034013748169,2.599053144454956
75,2020-09-17 19:31:08.358186,2.284034013748169,2.599053144454956
76,2020-09-17 19:31:09.130720,2.31486177444458,2.688274383544922
77,2020-09-17 19:31:09.878669,2.31486177444458,2.688274383544922
78,2020-09-17 19:31:10.585032,2.31486177444458,2.688274383544922
79,2020-09-17 19:31:11.398105,2.31486177444458,2.774035692214966
80,2020-09-17 19:31:12.272367,2.3435287475585938,2.774035692214966
