Timestamps,T1_LEVEL,T2_LEVEL,T3_LEVEL,T4_LEVEL,T5_LEVEL,T6_LEVEL,T7_LEVEL,J511_LEVEL,J411_LEVEL,J414_LEVEL,J415_LEVEL,J416_LEVEL,J417_LEVEL,J418_LEVEL,J419_LEVEL,J310_LEVEL,J311_LEVEL,J312_LEVEL,J313_LEVEL,J314_LEVEL,J315_LEVEL,J316_LEVEL,J318_LEVEL,J319_LEVEL,J210_LEVEL,J211_LEVEL,J212_LEVEL,J214_LEVEL,J217_LEVEL,J218_LEVEL,J219_LEVEL,J110_LEVEL,J420_LEVEL,J421_LEVEL,J422_LEVEL,J1153_LEVEL,J1154_LEVEL,J1155_LEVEL,J425_LEVEL,J426_LEVEL,J1157_LEVEL,J427_LEVEL,J1158_LEVEL,J428_LEVEL,J429_LEVEL,J320_LEVEL,J321_LEVEL,J322_LEVEL,J324_LEVEL,J1056_LEVEL,J327_LEVEL,J1058_LEVEL,J328_LEVEL,J329_LEVEL,J220_LEVEL,J221_LEVEL,J225_LEVEL,J226_LEVEL,J50_LEVEL,J51_LEVEL,J53_LEVEL,J54_LEVEL,J128_LEVEL,J55_LEVEL,J129_LEVEL,J56_LEVEL,J57_LEVEL,J58_LEVEL,J59_LEVEL,J1160_LEVEL,J1161_LEVEL,J431_LEVEL,J432_LEVEL,J433_LEVEL,J434_LEVEL,J435_LEVEL,J436_LEVEL,J438_LEVEL,J1169_LEVEL,J439_LEVEL,J330_LEVEL,J331_LEVEL,J332_LEVEL,J333_LEVEL,J334_LEVEL,J335_LEVEL,J336_LEVEL,J337_LEVEL,J231_LEVEL,J232_LEVEL,J233_LEVEL,J234_LEVEL,J236_LEVEL,J237_LEVEL,J130_LEVEL,J131_LEVEL,J132_LEVEL,J133_LEVEL,J60_LEVEL,J134_LEVEL,J135_LEVEL,J62_LEVEL,J64_LEVEL,J65_LEVEL,J66_LEVEL,J67_LEVEL,J68_LEVEL,J69_LEVEL,J1170_LEVEL,J441_LEVEL,J444_LEVEL,J341_LEVEL,J344_LEVEL,J345_LEVEL,J347_LEVEL,J348_LEVEL,J349_LEVEL,J241_LEVEL,J242_LEVEL,J243_LEVEL,J244_LEVEL,J245_LEVEL,J246_LEVEL,J247_LEVEL,J248_LEVEL,J249_LEVEL,J142_LEVEL,J143_LEVEL,J70_LEVEL,J144_LEVEL,J71_LEVEL,J72_LEVEL,J73_LEVEL,J74_LEVEL,J76_LEVEL,J77_LEVEL,J78_LEVEL,J350_LEVEL,J351_LEVEL,J352_LEVEL,J353_LEVEL,J354_LEVEL,J355_LEVEL,J358_LEVEL,J359_LEVEL,J250_LEVEL,J251_LEVEL,J252_LEVEL,J253_LEVEL,J254_LEVEL,J257_LEVEL,J154_LEVEL,J155_LEVEL,J82_LEVEL,J156_LEVEL,J83_LEVEL,J84_LEVEL,J85_LEVEL,J159_LEVEL,J86_LEVEL,J87_LEVEL,J89_LEVEL,J360_LEVEL,J361_LEVEL,J362_LEVEL,J363_LEVEL,J364_LEVEL,J365_LEVEL,J366_LEVEL,J1208_LEVEL,J367_LEVEL,J369_LEVEL,J160_LEVEL,J161_LEVEL,J162_LEVEL,J163_LEVEL,J164_LEVEL,J91_LEVEL,J165_LEVEL,J166_LEVEL,J167_LEVEL,J94_LEVEL,J95_LEVEL,J96_LEVEL,J97_LEVEL,J976_LEVEL,J571_LEVEL,J572_LEVEL,J573_LEVEL,J574_LEVEL,J575_LEVEL,J576_LEVEL,J370_LEVEL,J371_LEVEL,J372_LEVEL,J373_LEVEL,J374_LEVEL,J375_LEVEL,J376_LEVEL,J377_LEVEL,J1219_LEVEL,J379_LEVEL,J171_LEVEL,J172_LEVEL,J173_LEVEL,J174_LEVEL,J175_LEVEL,J177_LEVEL,J179_LEVEL,J580_LEVEL,J486_LEVEL,J487_LEVEL,J488_LEVEL,J489_LEVEL,J381_LEVEL,J1223_LEVEL,J382_LEVEL,J384_LEVEL,J385_LEVEL,J180_LEVEL,J181_LEVEL,J1024_LEVEL,J183_LEVEL,J1025_LEVEL,J186_LEVEL,J187_LEVEL,J188_LEVEL,J189_LEVEL,J490_LEVEL,J491_LEVEL,J492_LEVEL,J493_LEVEL,J494_LEVEL,J495_LEVEL,J496_LEVEL,J497_LEVEL,J498_LEVEL,J500_LEVEL,J499_LEVEL,J501_LEVEL,J502_LEVEL,J503_LEVEL,J504_LEVEL,J394_LEVEL,J509_LEVEL,J399_LEVEL,J401_LEVEL,J406_LEVEL,J295_LEVEL,J407_LEVEL,J296_LEVEL,J408_LEVEL,J297_LEVEL,J298_LEVEL,J191_LEVEL,J303_LEVEL,J192_LEVEL,J193_LEVEL,J305_LEVEL,J194_LEVEL,J195_LEVEL,J196_LEVEL,J308_LEVEL,J198_LEVEL,J200_LEVEL,J199_LEVEL,J201_LEVEL,J202_LEVEL,J203_LEVEL,J204_LEVEL,J205_LEVEL,J206_LEVEL,J207_LEVEL,J208_LEVEL,J101_LEVEL,J102_LEVEL,J109_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J6_LEVEL,J7_LEVEL,J8_LEVEL,J9_LEVEL,J10_LEVEL,J11_LEVEL,J12_LEVEL,J13_LEVEL,J14_LEVEL,J15_LEVEL,J16_LEVEL,J17_LEVEL,J18_LEVEL,J19_LEVEL,J20_LEVEL,J21_LEVEL,J22_LEVEL,J23_LEVEL,J25_LEVEL,J26_LEVEL,J27_LEVEL,J28_LEVEL,J29_LEVEL,J30_LEVEL,J31_LEVEL,J32_LEVEL,J33_LEVEL,J34_LEVEL,J35_LEVEL,J36_LEVEL,J37_LEVEL,J38_LEVEL,J24_LEVEL,J39_LEVEL,J40_LEVEL,J123_LEVEL,J140_LEVEL,J141_LEVEL,J157_LEVEL,J158_LEVEL,J168_LEVEL,J170_LEVEL,J176_LEVEL,J178_LEVEL,J184_LEVEL,J185_LEVEL,J190_LEVEL,J197_LEVEL,J213_LEVEL,J215_LEVEL,J216_LEVEL,J227_LEVEL,J238_LEVEL,J239_LEVEL,J255_LEVEL,J256_LEVEL,J258_LEVEL,J260_LEVEL,J265_LEVEL,J266_LEVEL,J267_LEVEL,J61_LEVEL,J92_LEVEL,J268_LEVEL,J278_LEVEL,J281_LEVEL,J283_LEVEL,J284_LEVEL,J136_LEVEL,J137_LEVEL,J145_LEVEL,J118_LEVEL,J52_LEVEL,J81_LEVEL,J88_LEVEL,J90_LEVEL,J93_LEVEL,J147_LEVEL,J148_LEVEL,J149_LEVEL,J150_LEVEL,J151_LEVEL,J152_LEVEL,J153_LEVEL,J169_LEVEL,J182_LEVEL,J222_LEVEL,J224_LEVEL,J230_LEVEL,J235_LEVEL,J240_LEVEL,J269_LEVEL,J273_LEVEL,J274_LEVEL,J276_LEVEL,J280_LEVEL,J285_LEVEL,J287_LEVEL,J288_LEVEL,J289_LEVEL,J290_LEVEL,J291_LEVEL,J292_LEVEL,J299_LEVEL,J300_LEVEL,J301_LEVEL,J302_LEVEL,J304_LEVEL,J306_LEVEL,J307_LEVEL,J309_LEVEL,J317_LEVEL,J323_LEVEL,PU1_FLOW,PU1_STATUS,PU2_FLOW,PU2_STATUS,PU3_FLOW,PU3_STATUS,PU4_FLOW,PU4_STATUS,PU5_FLOW,PU5_STATUS,PU6_FLOW,PU6_STATUS,PU7_FLOW,PU7_STATUS,PU8_FLOW,PU8_STATUS,PU9_FLOW,PU9_STATUS,PU10_FLOW,PU10_STATUS,PU11_FLOW,PU11_STATUS,v1_FLOW,v1_STATUS,V45_FLOW,V45_STATUS,V47_FLOW,V47_STATUS,V2_FLOW,V2_STATUS,Attack#01,Attack#02
2020-09-17 19:30:11.630373,2.844791931793708,4.0576235447764475,4.336458278101077,1.3929956987048513,1.6589596445515724,2.3509394710914364,1.3164248248046277,28.814682122585836,69.47610167691056,44.048821010650926,83.14154019888909,97.2724547196886,41.0279978787561,29.82505890693656,27.186901307472667,46.11888798596702,42.04072504487698,31.029130784659515,31.838992072920448,61.269231920960124,60.063778298615304,62.35808341575215,44.36233044646593,58.7403507195367,68.72325230938513,64.43131891190858,67.90682616328354,67.75576556691858,64.57359995701603,68.06586399779829,60.23218793979386,66.7849074473096,27.22505890693656,41.31797012658207,28.40505890693656,53.773816884262715,61.49804571908527,60.504552506184076,75.01600748060771,66.40631045351121,53.700905191662535,72.18354783753253,47.84870808562869,52.2571151020685,56.07207894589423,51.12639285676368,53.17600774589488,49.744719248969155,55.37737272194115,69.63031488989795,48.28824725176519,60.447980481269994,52.11021579337337,52.8951538115212,32.15300873805582,3.7897758974900597,61.83212441489101,63.69904550988969,27.488755295565937,21.92059840443217,22.638108713910754,27.78032441603706,45.49384762430266,37.07635798433574,67.09120018259296,36.37557015419736,50.37213936336249,32.04963988596424,52.85614544019286,49.975927909921694,49.59254459413255,58.619906018328074,55.518951017686305,51.061193141491195,61.941887060420285,64.3517274252214,51.18168109156313,67.99437240257748,55.63283353411849,50.431337386236905,40.44965934158495,39.5200161486431,28.392623708193874,47.913946694614765,44.27360155063988,48.724430163079006,50.41401404242687,53.248544796695185,24.800797860402184,26.89152020714421,61.93113757076496,71.24035744931172,53.43037679332295,38.288142773216805,76.13407268198463,42.882279743034516,58.70100677675113,63.61932016476088,56.42487766220947,54.178055640194245,65.06460306167986,49.82124223786673,25.558259889872886,25.558187676665625,38.31939366597561,27.044845031649146,34.399972256262515,36.376823723037674,56.511720242051304,70.9040979813469,46.791861155707316,60.29114363728327,56.35138245063334,61.07477436341871,56.651714956663675,34.18041321884025,59.60193698476334,42.35118616687046,47.3528768322781,52.35027616244395,41.888856483909606,41.29046482255819,56.52952333453237,54.857705961359414,57.88253067612811,63.16625196999807,73.35594149431006,72.57635129679788,37.376276411178395,74.66070813771499,30.716445396113457,32.602209828603804,27.743035525965198,32.5983781626915,37.312009847817976,31.60795691804374,38.67469967979193,77.41446643552905,70.48994611387707,49.160388511531664,73.45804924668487,77.40917470515984,65.21079091793028,68.99624197910045,73.31915133549833,45.39101149279999,61.26957576140657,52.63747519050935,55.964072681984646,56.06376102322176,30.73399511675963,49.074553744074606,48.32363702835306,28.37923217437492,36.934559204371794,37.16856050699135,81.97838191140355,73.12115047655703,53.99433902188029,62.34879601888797,83.77717867840659,62.353661163942704,69.86381284485634,68.24350740949446,53.2668564835527,65.73099725985189,72.43069495238859,46.348831478981,61.87675568411456,54.15543093039758,62.567963109679674,55.9393524104578,49.01782179706004,61.21186121371808,47.14033214255124,67.82811468389262,66.67908241155634,66.54383372873346,67.33684326389819,60.07089540052044,60.11081252809849,79.99359415232027,60.1351963023906,52.681116998179206,48.46432949884746,72.57977218878571,57.56787265692084,58.27677438156084,49.06801025844101,63.253219942552974,58.80888115711706,54.01151600421797,55.677932922322434,68.4546378178008,52.156184514880906,48.136080220732154,61.68121351074464,52.66481507509552,62.93927597922217,62.239121199483556,68.53508714424979,64.40523895021411,74.48853840841335,77.18108902765037,70.99268502616133,77.4372849849062,76.7091324611939,70.70099743680359,68.00195878371048,20.82246789247877,46.0615045876949,52.79402175966027,43.6447953571145,47.151553154268825,59.99844648485281,72.2532538397392,26.35926914331894,54.38543093039758,60.09629626846916,74.5341100901873,72.98827594757653,73.05946906937895,70.006105265909,70.28111022684718,73.80894054688683,73.47658525688456,74.50192512429108,75.43190812731096,28.973634215207028,57.70703135726117,37.27474340441724,55.075624393670836,21.81685434234241,43.584768598765635,28.302210592850912,21.307398075068818,44.645523120167866,58.12916024481642,61.41548804484164,52.87449544406752,52.643350310498434,34.2434212905566,66.93933324062031,69.3740979813467,33.95316574211907,64.9040979813469,69.9040979813469,68.1640979813467,42.80748277679953,71.9040979813469,67.94806105986603,71.05097515801435,3.101542282526964,22.696807795443874,77.25101797250883,47.60347966134647,72.87252289669786,72.28191728090607,50.88613763534228,70.5519685393453,67.62356503019694,70.67896763047005,40.31030519196661,57.58401900883455,60.37404592803311,59.84507156646217,27.886697663438923,65.95363230312523,64.45419188636315,52.713675299368745,59.57605548027168,62.038526574674044,57.26659708177493,64.24962532243113,53.1502273115732,35.63316937326437,64.32327610221748,67.20802857388898,71.05353227088595,45.82768055141486,53.89398379385267,52.39618056370362,58.77967623830013,49.31225218224462,43.264337174820284,42.82193179341013,54.93159963716516,59.98973009362803,49.14048826663742,46.37017616969295,40.497970126582075,37.06409798134604,51.014097981345984,57.154097981347064,54.944097981346616,48.96409798134425,59.90409798134684,59.904097981346894,53.73851864550703,60.85262679840214,41.831021070264086,59.613114239548224,53.88012040823621,90.91088756399546,86.93510580837165,63.950097367496184,66.18445743582154,90.91914049705053,87.91368949411682,85.9229773889148,68.185214829368,84.86200592933123,69.94407093441782,88.91367156521301,40.718510903449015,29.030522249951893,62.64099549218429,72.32654737024879,70.79655893633148,69.28661230211021,79.24871575125826,84.85803804670013,70.53784363371022,63.8776014562039,60.12274713063718,51.89247535158959,54.66626437246312,67.07207654914228,52.62940584181849,69.64252611942064,59.044872127086485,35.305844017598616,58.54793500013584,58.54374562009646,67.19141064926815,67.85361896293387,76.00723115280191,71.35141064926815,60.18838914196842,78.70460989192287,60.31724615677506,71.38933527221444,73.78074354578669,35.38548932904308,35.31790273806806,29.553250153910938,27.647457493767362,48.11070257963257,37.77453635778477,54.43697762895954,48.87047886124465,74.195924372057,63.27654770683528,33.05407546165199,41.66025360462265,85.87234561196166,90.965214829368,52.45755022135921,71.12365584322922,66.6738114595837,80.59255174052802,90.600411231294,70.55848930667489,70.19263503792564,96.37461008516377,70.18916982762238,87.94120018259295,89.92566832073913,96.41812731874148,91.40185830087671,67.92797682053394,44.984011565292946,46.88998451524796,37.10642656508101,37.11177011433921,37.10642656508101,2.9772241869778924,2.9772241869778924,2.9732105730910874,27.025713163211066,27.025713163211066,26.984289361871888,26.943733322436316,83.15247801908234,71.35141064926815,27.025713163211066,27.025713163211066,28.37211492007954,28.37211492007954,84.227714384568,83.95709941131801,28.37211492007954,28.37211492007954,52.89543093039758,52.89543093039758,0.09226650186919322,1,0.09228424347141821,1,0.0,0,0.0,0,0.0,0,0.0,0,0.05059992805459768,1,0.03847066732667324,1,0.0,0,0.0,0,0.0,0,0.005152491774038405,1,0.002932714039423851,1,0.002759029789413203,1,0.0,0,0,0
2020-09-17 19:30:13.809251,2.8715209318835946,4.012863533604914,4.3027678331375085,1.3942265119939066,1.6930610505812922,2.3148371167199997,1.1458248335431733,28.815887312075674,69.49886211129173,44.07158098110486,83.13167373168571,97.26770103258602,41.05075784921002,29.78143815180661,27.142988813096764,45.97110895878673,41.8929460176966,30.87408238386938,31.68394367213034,61.29343101842481,60.08797739607995,62.38292613288034,44.21262511848421,58.59064539155498,68.74809502651351,64.45621742307867,67.93163323831112,67.78000204565089,64.59842446474558,68.09070671492665,60.265116788616396,66.80496227410404,27.18143815180661,41.34073009703599,28.36143815180661,53.798014979909425,61.52221267161313,60.5287223477245,75.0115236475523,66.40202428828282,53.725104645108,72.17881820615946,47.872822380644976,52.27956019186962,56.09452403569543,50.97992777892305,53.02954266805449,49.598254171128765,55.23090764410079,69.65391011860294,48.14153459274298,60.47048916073531,51.964558234458366,52.76031774933307,32.18593758687831,3.629330572561642,61.85696713201912,63.723888227017646,27.33250654122959,21.764134697510613,22.67213464108596,27.814196150369554,45.49294200182722,37.11021913289028,67.09029456011751,36.40934352635409,50.405637815535925,32.083509766609055,52.88953782566264,49.99844130622871,49.61505799043955,58.64240452594799,55.54146594219529,51.08395308562795,61.96464737833577,64.37417251502588,51.20412618136442,68.01713279310181,55.5991430891588,50.453782476037915,40.29840966778136,39.36838081377112,28.4176614578679,47.93888440231815,44.29853925834324,48.74936787078249,50.43895175013054,53.27388029548963,24.676456021955786,26.767178368697813,61.92881626061886,71.23878980730763,53.463258582367686,38.321024823077295,76.13316705950919,42.88137412055907,58.699938800461794,63.618252188471544,56.45795506176135,54.176860327076994,65.0632419668647,49.85464223517583,25.59231890385999,25.59224669065273,38.35274788081644,27.07871676598181,34.433843990594795,36.41069545736994,56.478029797091615,70.89932472957727,46.81590383807367,60.315999175902306,56.31769200567365,61.04108391845904,56.618024511703986,34.0543068004392,59.47257349118087,42.38410015694009,47.38579082234773,52.38318905612226,41.921754915248954,41.32339971084623,56.56240185410316,54.89059014972513,57.915403361580275,63.199045796786606,73.37838656888401,72.59879637137182,37.41014814551066,74.6831532122889,30.75031713044592,32.6360815629362,27.776907260297676,32.6322498970239,37.345881582150184,31.641828652376148,38.518235972870684,77.38077599056925,70.36053361632142,49.03049380162847,73.32756705402517,77.27869251250019,65.08137842037925,68.86682948155608,73.18973883795493,45.42392870770057,61.26678588696211,52.63468531606489,55.9631670595092,56.062855400746315,30.73120524231517,49.08903318720817,48.338133323481046,28.223172615990734,36.94885915159669,37.018855179009044,82.00934396127607,73.1532167210096,54.009561932629964,62.381707718739406,83.8080532784277,62.35275554146729,69.73440034731371,68.11409491194142,53.13225667301704,65.72742542392662,72.42745100145683,46.37290661840255,61.900764933656994,54.02124418125444,62.59206162630171,55.96341828565231,49.03233217219862,61.23112816908963,47.159599097922786,67.84738163926417,66.69834936692787,66.54292810625805,67.35611021926974,60.09016235589199,60.13007948347004,79.95990370736075,60.15525387572713,52.70117864389195,48.484400575974334,72.60221726335966,57.56671436329408,58.27561608793408,49.06710463596556,63.25231432007756,58.807760005337215,54.010350267111974,55.70203702857264,68.45149653929698,52.181027232009114,48.16092293786036,61.706056227872864,52.68965779222374,62.96411869635026,62.263963916611765,68.55494981859029,64.430081667342,74.50816428017548,77.20062924835096,71.01196951512878,77.45675997716052,76.72860745344822,70.72037466996355,68.02182557217147,20.82362758533445,46.06055499347603,52.7930721654414,43.643896750243755,47.1506033445023,59.86918011157295,72.27809655686758,26.235173508955356,54.25124418125444,60.09350639402467,74.5537318173275,73.00758826679659,73.0819141439529,70.02573937401334,70.30355530142113,73.82865469325978,73.4962193649889,74.52178779863158,75.45177080165146,28.972741957858034,57.70587600352823,37.27383778194179,55.07460952044366,21.816015702859332,43.583698405467004,28.301288345878106,21.30844664954671,44.644455154153036,58.13037425184187,61.41670205186709,52.87570945109297,52.64456431752389,34.24463529758205,66.94054724764577,69.3693247295191,33.95438457182328,64.89932472957727,69.89932472957727,68.1593247295191,42.651019069878316,71.89932472957727,67.7915973529459,71.07336062660463,2.9361120939036596,22.539145925946784,77.27088064684933,47.45377433336476,72.89110369388099,72.3004980780892,50.736432307360644,70.57124518660643,67.64342770453744,70.6982345858416,40.33527651644561,57.60816417354963,60.39819109274819,59.86924877214925,27.911711619529314,65.97785872984541,64.47902200368658,52.73861214387182,59.600113940709576,62.062632784746704,57.29070329184758,64.27478035044341,53.170844319680704,35.65326550146779,64.34389942521973,67.22729552926052,71.07338729842195,45.85019377609025,53.916487666749745,52.41868167810719,58.802184917765445,49.33476086171002,43.286847998437864,42.84444437624576,54.954044726966735,60.012490339433064,49.16324822734565,46.39293614014688,40.520730097035994,37.05932472925261,51.009324729328526,57.149324729592934,54.93932472948366,48.959324728955494,59.899324729549704,59.89932472957727,53.73591944859338,60.849764997407036,41.828231195819654,59.61032436510379,53.87733053379178,90.90809768955103,86.93231593392721,63.94730749305175,66.18166756137711,90.9163506226061,87.91089961967239,85.92018751447037,68.18242495492356,84.8592160548868,69.94128105997339,88.91088169076858,40.74399482635698,29.05646841698833,62.66583820931254,72.29285692528929,70.76286849137196,69.2529218571507,79.21502530629874,84.82434760174061,70.5041531887507,63.84391101124438,60.08905668567765,51.858784906630056,54.632573927503586,67.03838610418276,52.59571539685874,69.60883567446065,59.01118168212674,35.27215357263891,58.51424455517579,58.51005517513653,67.15772020430828,67.819928517974,75.97354070784206,71.31772020430827,60.15469869700849,78.67091944696307,60.28355571181529,71.35564482725464,73.65026135312702,35.41936106337535,35.35177447240028,29.396786446989694,27.648617186622957,48.11186227248817,37.77569605064036,54.438137321815134,48.869573238769206,74.21554539189665,63.24285726187578,33.08794369852585,41.5341471862216,85.86955573751723,90.96242495492356,52.45476034691475,71.12086596878478,66.67265316595694,80.59164611805261,90.59950560881859,70.55758368419947,70.19172941545025,96.37370446268835,70.188264205147,87.94029456011751,89.92476269826369,96.41722169626607,91.4009526784013,67.7782714925525,44.83430623731135,46.891203344952174,37.12072006474645,37.12606071102731,37.12072006474645,2.9772365612483185,2.9772365612483185,2.9732251278103234,26.982209479825457,26.982209479825457,26.940811290416107,26.900280326376873,83.14260478924803,71.31772020430827,26.982209479825457,26.982209479825457,28.397180754601465,28.397180754601465,84.25833398478369,83.98775691605137,28.397180754601465,28.397180754601465,52.76124418125444,52.76124418125444,0.09223943150521025,1,0.09225716532631899,1,0.0,0,0.0,0,0.0,0,0.0,0,0.050583032559562396,1,0.03846775764887173,1,0.0,0,0.0,0,0.0,0,0.005152491774038262,1,0.0029327140394238243,1,0.0027590297894131786,1,0.0,0,0,0
2020-09-17 19:30:16.007878,2.898229954437852,3.9681184679595134,4.2690773881739545,1.395409693555365,1.7271545949816414,2.2784928905475965,0.9756340796937906,29.150235426354485,68.62407812014351,43.19681486909994,103.11976988695855,109.14757064337587,40.175991737205116,27.929976998795823,25.7541890893784,51.46603350471989,47.387870563633,34.514016478392406,35.323877766652686,60.12170761926605,58.916253996923686,61.58592744036986,49.1643513066235,63.542371579694084,67.9510963339972,63.68279388639091,67.11936292785394,66.88306442146127,63.457904534361816,67.29370802241016,59.40836756187956,66.03441057808097,25.32997699879582,40.46596398503108,26.50997699879582,52.17704376674361,60.18232442847902,59.16746587505286,86.46343910584163,77.54046371895514,52.100900258342726,84.02053857578548,46.43872448406994,51.41692783878413,55.23189168260714,56.946722071263956,58.996336960385406,55.56504846345954,61.197701936430754,68.74694145853545,54.24667359203479,59.60540398903818,58.389182915645875,64.66227881412657,31.329188360142723,5.901373687039111,61.05996843951124,62.926889534515134,30.935441698048066,25.315440133153672,22.650742614381087,27.678481272382612,51.04034524542861,36.96657767041478,72.63769780363543,36.19936600294898,49.98719018679651,31.946420134850314,52.38976625042352,49.13317411327306,48.74979079748459,57.77771193540506,54.67613977402348,50.20918798833376,61.089867875930906,63.51154016181187,50.34149382827247,67.14235049227639,55.5654526441991,49.591150122956364,45.04315156448169,44.011775566518644,21.867825343024045,44.66283567997027,41.022490535999026,45.473319148423045,47.16290302774564,52.68452854561022,33.39465209160744,35.48537443834958,69.90385498990345,77.94238108785314,52.56959463367926,37.42755970505645,81.68057030310032,48.4287773641788,64.55067603969785,69.468989427702,55.71585858266101,60.2514346697143,71.41834145191365,49.360706255386276,25.595284264441815,25.595212051234554,37.821913658994134,26.9430018879942,34.29812911260879,36.27498057938399,56.44433935213191,82.81022133207864,45.48991370105896,58.583273530476546,56.284001560713946,61.007393473499334,56.58433406674428,43.13826964733432,69.4240980075623,41.51600203921819,46.5176927046258,51.5141727666561,41.041127116620615,40.471499218225475,55.66620707734867,53.998034114103845,57.01467910521947,62.2378438306048,72.51575624004563,71.7361660425336,37.274433267524714,73.82052288345142,30.61460225245912,32.50036668494968,27.64119238231082,32.496535019037395,37.21016670416441,31.50611377438962,42.06954140850678,77.34708554560945,80.32303029497245,59.67149778767805,83.92136769723471,87.87249315570799,75.04387509867618,78.82932615933925,83.152235515663,44.55838086852181,70.032297778687,61.40019720778943,61.51057030310034,61.61025864433742,39.496717134016436,48.5331284053355,47.78157981114366,31.866751902312416,36.39986413425471,41.97058136716725,79.62636655508959,71.62747999576527,53.42503642597778,61.51162893350498,81.3571864352239,67.90015878505734,79.69689702496359,78.076591590392,65.1567089251036,75.73302880645612,81.91307035592155,45.00442368543557,60.618024126426086,66.26448987647242,61.25353541656754,54.62427587017787,48.475236637479156,60.490919743482934,46.41939067231612,67.10717321365739,65.95814094132122,72.09033134984708,66.61590179366297,59.34995393028531,59.38987105786336,79.92621326240125,59.3845967001604,51.93036506220261,47.713224570938806,71.73958693452138,63.58308153359924,64.29198325823913,54.61450787956019,68.79971756366449,64.75606397610541,60.040259021484914,54.32487377281907,77.7742905602637,51.384028539498374,47.36392424534962,60.909057535361754,51.892659099712574,62.16712000384302,61.46696522410098,67.79180031722427,63.633082974841614,73.75414966762075,76.44991317353745,70.27108651700655,76.70855393278605,75.98040140907372,69.97591940891074,67.2585167174318,21.316388150501567,51.68925109656071,58.421768268486744,49.176205451805885,52.7804722864589,69.77732639648099,71.48109786435127,34.88112798927628,66.60519640774044,68.85901828578801,73.79987701566391,72.26563538057184,72.21928381511447,69.27140754882728,69.44092497258266,73.07123570865326,72.74188753980285,73.7586382972656,74.68862130028549,34.497126556556964,63.716860130681084,42.821241025665515,60.82669731777224,27.246210330476273,49.445774687236735,33.88475074970606,22.08448467436716,50.49130872308311,58.430592800759754,61.716920600785,53.175928000011936,52.944782866441685,34.5448538465013,67.24076579656365,81.28022133202276,34.21789059651249,76.81022133207864,81.81022133207864,80.07022133202277,46.20232450551393,83.81022133207864,71.34290278855721,70.21302716294736,3.924770854853662,25.521159922053982,76.50773114548338,52.40550052150324,72.1773109649092,71.58670534911741,55.68815849549662,69.83066358442,66.88027820317146,69.95802616023481,35.73458088883449,56.26870991946577,59.05873683866433,58.53024304552173,21.677325239191987,65.00790582955489,63.23213128577734,49.44794543271968,58.280964759036834,60.723953690048084,55.952024197149754,63.60945503355603,52.37863703406904,34.88112637877625,63.551448321032765,66.48708710365375,70.3105329546183,44.98493320652598,53.051588005257145,51.5538884798781,57.937099746068284,48.46967569000978,42.421680086337815,41.979208575702444,54.09141237386377,59.13771361613987,48.28848249112124,45.51817002814193,39.64596398503109,48.97022133176736,62.920221331839215,69.06022133209296,66.85022133198855,60.87022133147906,71.81022133205192,71.81022133207864,62.179756294791545,69.72934315818112,50.59374308746362,68.3758362567481,62.6428424254356,99.67360958118684,95.69782782556697,72.71281938469558,74.94717945302165,99.68186251424325,96.67641151130866,94.68569940610814,76.94793684656821,93.62472794652767,78.70679295164544,97.67639358240484,40.22052549310733,28.737581044914982,61.868839516800534,72.25916648032977,70.72917804641246,69.21923141219119,79.18133486133924,84.79065715678111,70.47046274379122,63.810220566284876,60.05536624071814,51.82509446167055,54.598883482544096,67.00469565922324,52.56202495189901,69.57514522950068,58.97749123716701,35.23846312767921,58.48055411021575,58.476364730176584,67.12402975934837,67.78623807301412,75.93985026288219,71.28402975934837,60.12100825204855,78.63722900200325,60.2498652668555,71.32195438229483,84.24406199633513,35.28364618538939,35.21605959441449,32.94809188262569,28.14137775177214,48.604622837636384,38.26845661578861,54.93089788696321,54.416976482362045,73.46171778046694,63.20916681691626,32.94963117567637,50.61811003311669,94.63506762914679,99.72793684656821,61.220272238639296,79.88637786045516,72.68902033626165,86.1390493616374,96.14690885240421,76.1049869277808,75.73913265899395,101.92110770604532,75.73566744869032,93.48769780363543,95.47216594178002,101.9646249396275,96.94835592176108,72.72999768068223,49.78603242544622,47.15470936964135,36.571973247391554,36.577425644241174,36.571973247391554,2.976760211405775,2.976760211405775,2.9726648412520547,24.945087500276315,24.945087500276315,24.863072135201918,24.840842021414346,103.1257653403132,71.28402975934837,24.945087500276315,24.945087500276315,21.4728893132571,21.40585708414251,81.60937025662504,81.36823935813942,21.287232389693585,21.287232389693585,65.26873770038534,65.26873770038534,0.09327667392469659,1,0.09329470669771879,1,0.0,0,0.0,0,0.0,0,0.036596477534980826,1,0.036572674762009455,1,0.036147498918185715,1,0.0,0,0.03179695926200163,1,0.0,0,0.005152491774489904,1,0.002932714039586514,1,0.002759029789566233,1,0.0,0,0,0
