iteration,timestamp,T2,T3,T4
1,2020-08-31 21:23:19.500135,0.5,3.0,2.5
2,2020-08-31 21:23:20.177933,0.5,3.0,2.5
3,2020-08-31 21:23:20.850456,0.5,3.0,2.5
4,2020-08-31 21:23:21.587208,0.5,3.0,2.5
5,2020-08-31 21:23:22.242373,0.5,3.0,2.5
6,2020-08-31 21:23:23.006579,0.5,3.0,2.5
7,2020-08-31 21:23:23.705857,5.46018807742567,3.0,2.6218454837799072
8,2020-08-31 21:23:24.391796,5.46018807742567,4.838881015777588,2.6218454837799072
9,2020-08-31 21:23:25.170830,5.46018807742567,4.838881015777588,2.6218454837799072
10,2020-08-31 21:23:25.948264,5.46018807742567,4.838881015777588,2.6308600902557373
11,2020-08-31 21:23:26.751289,5.41550828392921,4.803554058074951,2.6308600902557373
12,2020-08-31 21:23:27.447598,5.41550828392921,4.803554058074951,2.6308600902557373
13,2020-08-31 21:23:28.204650,5.41550828392921,4.803554058074951,2.6308600902557373
14,2020-08-31 21:23:28.929782,5.37084580255123,4.7682271003723145,2.639819383621216
15,2020-08-31 21:23:29.702153,5.37084580255123,4.7682271003723145,2.639819383621216
16,2020-08-31 21:23:30.466472,5.37084580255123,4.7682271003723145,2.648723602294922
17,2020-08-31 21:23:31.289671,5.32620062037908,4.732900142669678,2.648723602294922
18,2020-08-31 21:23:31.938041,5.32620062037908,4.732900142669678,2.648723602294922
19,2020-08-31 21:23:32.741067,5.32620062037908,4.732900142669678,2.648723602294922
20,2020-08-31 21:23:33.533634,5.28157272449292,4.697573184967041,2.6575727462768555
21,2020-08-31 21:23:34.362657,5.28157272449292,4.697573184967041,2.6575727462768555
22,2020-08-31 21:23:35.190772,5.2369621019656,4.697573184967041,2.6663668155670166
23,2020-08-31 21:23:35.907130,5.2369621019656,4.662246227264404,2.6663668155670166
24,2020-08-31 21:23:36.611683,5.2369621019656,4.662246227264404,2.6663668155670166
25,2020-08-31 21:23:37.395183,5.19236873986281,4.662246227264404,2.6751058101654053
26,2020-08-31 21:23:38.220164,5.19236873986281,4.626918792724609,2.6751058101654053
27,2020-08-31 21:23:38.980253,5.19236873986281,4.626918792724609,2.6751058101654053
28,2020-08-31 21:23:39.731178,5.147792625243,4.591591835021973,2.6837899684906006
29,2020-08-31 21:23:40.502700,5.147792625243,4.591591835021973,2.6837899684906006
30,2020-08-31 21:23:41.358245,5.147792625243,4.591591835021973,2.6837899684906006
31,2020-08-31 21:23:42.151594,5.10323374515745,4.556264877319336,2.6924190521240234
32,2020-08-31 21:23:42.934356,5.10323374515745,4.556264877319336,2.6924190521240234
33,2020-08-31 21:23:43.704249,5.10323374515745,4.556264877319336,2.6924190521240234
34,2020-08-31 21:23:44.417404,5.10323374515745,4.556264877319336,2.700993299484253
35,2020-08-31 21:23:45.097790,5.05869208665027,4.520937919616699,2.700993299484253
36,2020-08-31 21:23:45.915119,5.05869208665027,4.520937919616699,2.700993299484253
37,2020-08-31 21:23:46.565832,5.05869208665027,4.520937919616699,2.709512710571289
38,2020-08-31 21:23:47.366378,5.01416763675839,4.4856109619140625,2.709512710571289
39,2020-08-31 21:23:48.183018,5.01416763675839,4.4856109619140625,2.709512710571289
