timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
40:56.5,1.350467831,59,36.8892408,20.31031684,34.37863845,26.94733253,34.55167303,34.55754211,2.97498405,2.970575706,0.097060635,0.097079772,1,1,0,0
40:57.1,1.33619673,59,36.87577898,20.29649342,34.37047076,26.93316797,34.54350911,34.54937989,2.974976802,2.970567181,0.097075818,0.09709496,1,1,0,0
40:57.7,1.321961153,59,36.86235057,20.28270416,34.36232362,26.91903843,34.53536574,34.54123822,2.974969572,2.970558677,0.097090962,0.097110108,1,1,0,0
40:58.3,1.307761007,59,37.08153982,27.80756944,34.97879127,27.1073262,35.15154916,35.15729366,2.975515073,2.971200299,0.095942674,0.095961482,1,1,0,0
40:58.8,1.350912376,59,37.12176883,27.84941485,35.00313159,27.14965911,35.17587828,35.18161775,2.975536545,2.971225555,0.095897235,0.09591603,1,1,0,0
40:59.4,1.393957431,59,37.16190117,27.89115841,35.02741589,27.19188917,35.20015142,35.20588587,2.975557963,2.971250747,0.095851892,0.095870674,1,1,0,0
41:00.0,1.4368964,59,37.20193703,27.93280032,35.05164427,27.23401659,35.22436868,35.23009811,2.975579327,2.971275875,0.095806647,0.095825416,1,1,0,0
41:00.6,1.479729508,59,37.22508377,28.93078837,34.78637576,27.30861073,34.95922219,34.96500655,2.975345152,2.971000437,0.096301609,0.096320523,1,1,0,0
41:01.1,1.526552347,59,37.26872409,28.97647753,34.81291028,27.35447832,34.98574448,34.99152335,2.975368603,2.97102802,0.09625214,0.096271039,1,1,0,0
41:01.7,1.573259442,59,37.3122594,29.02205517,34.83938393,27.40023419,35.01220595,35.01797932,2.975391994,2.971055533,0.096202775,0.09622166,1,1,0,0
41:02.3,1.619851039,59,37.35568992,29.06752153,34.86579682,27.44587857,35.03860668,35.04437459,2.975415326,2.971082976,0.096153514,0.096172384,1,1,0,0
41:02.8,1.666327381,59,38.73820774,27.46757718,35.88348361,27.76235994,36.05582742,36.06138549,2.976309771,2.972135029,0.094248544,0.094266858,1,1,0,0
41:03.4,1.739377632,59,38.80446876,27.53739446,35.92379108,27.83327398,36.09611653,36.10166633,2.976345014,2.972176482,0.094172812,0.094191104,1,1,0,0
41:04.0,1.812250694,59,38.8705743,27.60704501,35.96401094,27.90401927,36.13631808,36.14185963,2.976380167,2.972217829,0.094097222,0.094115492,1,1,0,0
41:04.5,1.884946899,59,38.93652464,27.67652913,36.00414332,27.97459612,36.17643219,36.18196552,2.97641523,2.97225907,0.094021775,0.094040023,1,1,0,0
41:05.1,1.957466583,59,40.00325342,27.73764048,36.2373708,28.21945585,36.40955364,36.41503923,2.976618718,2.972498415,0.093582889,0.09360101,1,1,0,0
41:05.6,2.043320012,59,40.07993979,27.8192767,36.28445775,28.30243831,36.45661921,36.46209518,2.976659744,2.97254667,0.093494192,0.093512287,1,1,0,0
41:06.2,2.128965917,59,40.15644696,27.90071877,36.33144451,28.38522429,36.50358465,36.50905102,2.976700664,2.9725948,0.093405653,0.093423723,1,1,0,0
41:06.8,2.21440467,59,40.23277521,27.98196703,36.37833122,28.46781413,36.5504501,36.55590689,2.976741477,2.972642805,0.093317273,0.093335318,1,1,0,0
41:07.3,2.299636643,59,39.88032833,24.80695478,35.8950608,28.21504817,36.06739934,36.07295503,2.976319895,2.972146937,0.094226794,0.094245102,1,1,0,0
41:07.9,2.356096144,59,39.93132275,24.86087747,35.9264389,28.27017237,36.09876315,36.10431241,2.976347329,2.972179205,0.094167836,0.094186127,1,1,0,0
41:08.4,2.412417701,59,39.98219571,24.91467025,35.95774668,28.3251641,36.13005666,36.1355995,2.976374693,2.972211391,0.094108996,0.09412727,1,1,0,0
41:09.0,2.468601593,59,40.03294744,24.96833337,35.98898424,28.38002361,36.16128001,36.16681644,2.976401987,2.972243495,0.094050276,0.094068533,1,1,0,0
41:09.6,2.524648097,59,40.18470004,21.54132418,36.34377459,28.41723552,36.51590914,36.52137299,2.976711398,2.972607426,0.093382414,0.093400477,1,1,0,0
41:10.2,2.578708673,59,40.23350201,21.59280759,36.37368091,28.47006569,36.54580189,36.55125963,2.976737429,2.972638044,0.09332604,0.093344087,1,1,0,0
41:10.7,2.632637352,59,40.28218778,21.64416715,36.40352001,28.52276902,36.57562746,36.58107911,2.976763394,2.972668584,0.09326978,0.093287811,1,1,0,0
41:11.3,2.686434401,59,40.33075757,21.6954031,36.433292,28.57534576,36.60538596,36.61083153,2.976789293,2.972699047,0.093213635,0.09323165,1,1,0,0
41:11.9,2.740100089,59,40.25563381,21.64385068,36.23687379,28.56619372,36.40905685,36.41454255,2.976618285,2.972497906,0.093583825,0.093601946,1,1,0,0
41:12.4,2.786584481,59,40.29774356,21.68823812,36.26273914,28.61174316,36.43491046,36.44039087,2.976640824,2.972524416,0.093535106,0.093553214,1,1,0,0
41:13.0,2.832954887,59,40.33975228,21.7325181,36.28854545,28.65718252,36.46070505,36.46618019,2.976663305,2.972550858,0.09348649,0.093504583,1,1,0,0
41:13.6,2.879211547,59,40.38166019,21.77669087,36.31429281,28.70251203,36.48644073,36.4919106,2.976685729,2.972577233,0.093437976,0.093456055,1,1,0,0
41:14.1,2.925354699,59,40.71272535,22.36207028,36.84692111,28.90229252,37.01882801,37.02418936,2.977148313,2.973121329,0.092432342,0.092450132,1,1,0,0
41:14.7,2.987886779,59,40.76896466,22.42145299,36.88135033,28.96321517,37.05324169,37.05859605,2.97717813,2.9731564,0.092367203,0.092384974,1,1,0,0
41:15.2,3.050266456,59,40.82507056,22.48069315,36.91570317,29.02399192,37.08757903,37.09292641,2.97720787,2.97319138,0.092302193,0.092319945,1,1,0,0
