iteration,timestamp,T2,T3,T4
1,2020-09-18 18:24:25.522779,0.5,3.0,2.5
2,2020-09-18 18:24:26.235809,0.5,3.0,2.5
3,2020-09-18 18:24:26.980692,0.5,3.0,2.5
4,2020-09-18 18:24:27.678857,0.5,3.0,2.5
5,2020-09-18 18:24:28.333610,0.5,3.0,2.5
6,2020-09-18 18:24:29.044135,0.5,3.0,2.5
7,2020-09-18 18:24:29.770888,4.05762354477645,4.336458206176758,1.3929957151412964
8,2020-09-18 18:24:30.511497,4.05762354477645,4.336458206176758,1.3929957151412964
9,2020-09-18 18:24:31.245383,4.01286353360491,4.302767753601074,1.3942265510559082
10,2020-09-18 18:24:31.949721,4.01286353360491,4.302767753601074,1.3942265510559082
11,2020-09-18 18:24:32.646838,4.01286353360491,4.302767753601074,1.3942265510559082
12,2020-09-18 18:24:33.375288,3.96811846795951,4.269077301025391,1.3954097032546997
13,2020-09-18 18:24:34.089340,3.96811846795951,4.269077301025391,1.3954097032546997
14,2020-09-18 18:24:34.849153,3.96811846795951,4.269077301025391,1.3954097032546997
15,2020-09-18 18:24:35.784821,3.90339402663835,4.235386848449707,1.4602675437927246
16,2020-09-18 18:24:36.588780,3.90339402663835,4.235386848449707,1.4602675437927246
17,2020-09-18 18:24:37.299805,3.90339402663835,4.235386848449707,1.4602675437927246
18,2020-09-18 18:24:38.080613,3.83873327905133,4.201696395874023,1.524922490119934
19,2020-09-18 18:24:38.794944,3.83873327905133,4.201696395874023,1.524922490119934
20,2020-09-18 18:24:39.495707,3.83873327905133,4.201696395874023,1.524922490119934
21,2020-09-18 18:24:40.212530,3.77413617779465,4.16800594329834,1.5893745422363281
22,2020-09-18 18:24:40.968672,3.77413617779465,4.16800594329834,1.5893745422363281
23,2020-09-18 18:24:41.633294,3.77413617779465,4.16800594329834,1.5893745422363281
24,2020-09-18 18:24:42.300291,3.77413617779465,4.16800594329834,1.5893745422363281
25,2020-09-18 18:24:43.037213,3.7096026753681,4.134315490722656,1.6536239385604858
26,2020-09-18 18:24:43.776083,3.7096026753681,4.134315490722656,1.6536239385604858
27,2020-09-18 18:24:44.494337,3.7096026753681,4.134315490722656,1.6536239385604858
28,2020-09-18 18:24:45.230736,3.64513272417494,4.134315490722656,1.7176707983016968
29,2020-09-18 18:24:45.876842,3.64513272417494,4.100625038146973,1.7176707983016968
30,2020-09-18 18:24:46.565156,3.64513272417494,4.100625038146973,1.7176707983016968
31,2020-09-18 18:24:47.377138,3.58072627652176,4.100625038146973,1.7815152406692505
32,2020-09-18 18:24:48.105530,3.58072627652176,4.066934585571289,1.7815152406692505
33,2020-09-18 18:24:48.940495,3.58072627652176,4.066934585571289,1.7815152406692505
34,2020-09-18 18:24:49.716466,3.58072627652176,4.066934585571289,1.7815152406692505
35,2020-09-18 18:24:50.526953,3.51638328461834,4.0332441329956055,1.8451573848724365
36,2020-09-18 18:24:51.226767,3.51638328461834,4.0332441329956055,1.8451573848724365
37,2020-09-18 18:24:52.012954,3.51638328461834,4.0332441329956055,1.8451573848724365
38,2020-09-18 18:24:52.872235,3.51638328461834,4.0332441329956055,1.8451573848724365
39,2020-09-18 18:24:53.743505,3.4521037005776,3.999553918838501,1.9085975885391235
40,2020-09-18 18:24:54.624991,3.4521037005776,3.999553918838501,1.9085975885391235
41,2020-09-18 18:24:55.570264,3.4521037005776,3.999553918838501,1.971835732460022
42,2020-09-18 18:24:56.361665,3.38788747641541,3.9658634662628174,1.971835732460022
43,2020-09-18 18:24:57.206309,3.38788747641541,3.9658634662628174,1.971835732460022
44,2020-09-18 18:24:58.009126,3.38788747641541,3.9658634662628174,1.971835732460022
45,2020-09-18 18:24:58.841982,3.32413868860424,3.931558132171631,2.0402069091796875
46,2020-09-18 18:24:59.753575,3.32413868860424,3.931558132171631,2.0402069091796875
47,2020-09-18 18:25:00.600911,3.32413868860424,3.931558132171631,2.0402069091796875
48,2020-09-18 18:25:01.428952,3.26045542563666,3.8972527980804443,2.1083691120147705
49,2020-09-18 18:25:02.312217,3.26045542563666,3.8972527980804443,2.1083691120147705
50,2020-09-18 18:25:03.145259,3.26045542563666,3.8972527980804443,2.1083691120147705
51,2020-09-18 18:25:03.888427,3.19683764044451,3.862947702407837,2.1763226985931396
52,2020-09-18 18:25:04.690500,3.19683764044451,3.862947702407837,2.1763226985931396
53,2020-09-18 18:25:05.437830,3.19683764044451,3.862947702407837,2.1763226985931396
54,2020-09-18 18:25:06.228828,3.19683764044451,3.862947702407837,2.1763226985931396
55,2020-09-18 18:25:07.026805,3.1332852858574,3.8286423683166504,2.244067668914795
56,2020-09-18 18:25:07.708593,3.1332852858574,3.8286423683166504,2.244067668914795
57,2020-09-18 18:25:08.394415,3.1332852858574,3.8286423683166504,2.244067668914795
58,2020-09-18 18:25:09.245848,3.06979831460252,3.8286423683166504,2.3116044998168945
59,2020-09-18 18:25:10.032406,3.06979831460252,3.794337034225464,2.3116044998168945
60,2020-09-18 18:25:10.828780,3.06979831460252,3.794337034225464,2.3116044998168945
61,2020-09-18 18:25:11.597014,3.00637667930458,3.7600319385528564,2.3789329528808594
62,2020-09-18 18:25:12.399132,3.00637667930458,3.7600319385528564,2.3789329528808594
63,2020-09-18 18:25:13.147070,3.00637667930458,3.7600319385528564,2.3789329528808594
64,2020-09-18 18:25:13.950211,3.00637667930458,3.7600319385528564,2.4460532665252686
65,2020-09-18 18:25:14.670423,2.94302033248556,3.72572660446167,2.4460532665252686
66,2020-09-18 18:25:15.517989,2.94302033248556,3.72572660446167,2.4460532665252686
