,J_CT3,J_CT6,J_CT5,J2a_15,J1_70,J1_40,J1_50,J1_51,J1_60,J1_61,J2c_12,J2c_14,Jb_53,J2c_11,J2c_13,J2a_20,J2a_30,J2a_33,J2a_23,J2a_41,J_CT1,J_CT2,J1_11,J1_30,J2b_21,J2b_40,J2b_30,J2b_31,J2b_50,J2b_41,J2c_10,J_CT4,J2b_10,J1_10,J1_20,J2a_31,J2a_32,J2a_21,J2a_22,J1-CLin,J2a_40,J1-MPA,J1_33,J1_31,RWtank_Top,J1_34,J2a_10,J2a_12,J2a_13,J2a_14,ER2_Top,ER1_Top,J2b_11,J2b_12,J2b_14,J2b_Leak,J2b_15,J2b_20,J2b_51,J2b_52,J2a_11,J1_32,SWaT,PUB,T1,T2,T0
600,0.21572551,0.21572551,0.21533832,1.5447445,0.76474446,1.5929307,1.5929307,0.76474446,1.5929307,0.76474446,0.21572551,0.015725506,-0.0042744935,0.21574992,0.21572551,0.064744465,0.064744465,1.4978167,1.4976908,1.4973722,0.21539763,0.21533832,1.0629306,0.9029306,0.32603142,1.6260314,1.6260314,1.7157255,0.4157255,1.7157255,0.2157848,0.21539763,0.9173722,9.2,4.04,0.01799281,1.3178166,0.22128825,1.5212883,1.6429306,1.497517,1.6429306,1.6429306,1.6429306,-0.5070694,1.5929307,1.4647444,1.7647445,1.5447445,1.5447445,-0.6320072,-0.42871174,1.4964532,0.7963727,0.79609585,0.79627824,0.08599889,1.4060314,1.4957255,1.4957255,1.4647444,1.6429306,7.6293944e-08,3.8146972e-08,0.32128826,0.11799281,0.56293064
660,0.21300532,0.21300532,0.21262497,1.4269371,0.64693713,1.5929308,1.5929308,0.64693713,1.5929308,0.64693713,0.21300532,0.013005324,-0.0069946763,0.21302931,0.21300532,-0.053062882,-0.053062882,1.4950594,1.4949358,1.494623,0.21268325,0.21262497,1.0629308,0.90293074,0.32344508,1.623445,1.623445,1.7130053,0.41300532,1.7130053,0.2130636,0.21268325,0.91462296,9.2,4.04,0.015232514,1.3150594,0.22128825,1.5212883,1.6429307,1.494765,1.6429307,1.6429307,1.6429307,-0.50706923,1.5929308,1.3469371,1.6469371,1.4269371,1.4269371,-0.6347675,-0.42871174,1.4937203,0.79364103,0.79336894,0.7935483,0.08327377,1.4034451,1.4930053,1.4930053,1.3469371,1.6429307,7.6293944e-08,3.8146972e-08,0.32128826,0.11523251,0.56293076
720,0.21030767,0.21030767,0.20993342,1.5397468,0.7597468,1.5929309,1.5929309,0.7597468,1.5929309,0.7597468,0.21030767,0.010307669,-0.009692332,0.21033122,0.21030767,0.0597468,0.0597468,1.4923285,1.4922067,1.491899,0.20999068,0.20993342,1.062931,0.9029309,0.320881,1.620881,1.620881,1.7103077,0.41030768,1.7103077,0.21036494,0.20999068,0.911899,9.2,4.04,0.012498668,1.3123285,0.22128825,1.5212883,1.6429309,1.4920388,1.6429309,1.6429309,1.6429309,-0.5070691,1.5929309,1.4597468,1.7597468,1.5397468,1.5397468,-0.63750136,-0.42871174,1.491011,0.7909331,0.7906653,0.7908418,0.08057175,1.400881,1.4903077,1.4903077,1.4597468,1.6429309,7.6293944e-08,3.8146972e-08,0.32128826,0.11249867,0.5629309
780,0.20765899,0.20765899,0.20729536,1.7030317,0.9230316,1.592931,1.592931,0.9230316,1.592931,0.9230316,0.20765899,0.0076589934,-0.012341007,0.20768195,0.20765899,0.22303161,0.22303161,1.4896234,1.489505,1.4892058,0.20735101,0.20729536,1.0629311,0.90293103,0.3721491,1.6721491,1.6721491,1.707659,0.407659,1.707659,0.20771481,0.20735101,0.90920585,9.2,4.04,0.00978895,1.3096234,0.22128825,1.5212883,1.6429311,1.4893419,1.6429311,1.6429311,1.6429311,-0.50706893,1.592931,1.6230316,1.9230316,1.7030317,1.7030317,-0.64021105,-0.42871174,1.4883426,0.78826696,0.7880068,0.78817827,0.07791581,1.4521492,1.487659,1.487659,1.6230316,1.6429311,7.6293944e-08,3.8146972e-08,0.32128826,0.10978895,0.56293106
840,0.2049878,0.2049878,0.20462357,1.6728151,0.8928151,1.5929314,1.5929314,0.8928151,1.5929314,0.8928151,0.2049878,0.00498779,-0.01501221,0.20501076,0.2049878,0.19281514,0.19281514,1.4869546,1.4868361,1.4865365,0.20467938,0.20462357,1.0629313,0.90293133,0.20001715,1.5000172,1.5000172,1.7049878,0.40498778,1.7049878,0.2050436,0.20467938,0.9065365,9.2,4.04,0.007120218,1.3069545,0.22128825,1.5212883,1.6429313,1.4866728,1.6429313,1.6429313,1.6429313,-0.50706863,1.5929314,1.5928152,1.8928151,1.6728151,1.6728151,-0.6428798,-0.42871174,1.4856722,0.7855965,0.785336,0.7855077,0.075244896,1.2800171,1.4849877,1.4849877,1.5928152,1.6429313,7.6293944e-08,3.8146972e-08,0.32128826,0.107120216,0.56293136
900,0.202324,0.202324,0.20196094,1.6700044,0.8900044,1.5929315,1.5929315,0.8900044,1.5929315,0.8900044,0.202324,0.002323999,-0.017676001,0.20234682,0.202324,0.19000441,0.19000441,1.4842846,1.4841666,1.483868,0.20201646,0.20196094,1.0629315,0.9029315,0.20408973,1.5040897,1.5040897,1.702324,0.402324,1.702324,0.20237952,0.20201646,0.90386796,9.2,4.04,0.0044498867,1.3042847,0.22128825,1.5212883,1.6429315,1.4840037,1.6429315,1.6429315,1.6429315,-0.5070685,1.5929315,1.5900044,1.8900044,1.6700044,1.6700044,-0.64555013,-0.42871174,1.4830064,0.7829308,0.7826711,0.7828423,0.07258023,1.2840897,1.482324,1.482324,1.5900044,1.6429315,7.6293944e-08,3.8146972e-08,0.32128826,0.10444988,0.5629315
960,0.19965817,0.19965817,0.19929512,1.5036006,0.7236006,1.5929316,1.5929316,0.7236006,1.5929316,0.7236006,0.19965817,-0.00034182664,-0.020341827,0.199681,0.19965817,0.023600608,0.023600608,1.4816186,1.4815006,1.481202,0.19935064,0.19929512,1.0629317,0.90293163,0.27885115,1.5788511,1.5788511,1.6996582,0.39965817,1.6996582,0.19971369,0.19935064,0.90120196,9.2,4.04,0.0017839157,1.3016187,0.22128825,1.5212883,1.6429316,1.4813377,1.6429316,1.6429316,1.6429316,-0.50706834,1.5929316,1.4236006,1.7236006,1.5036006,1.5036006,-0.64821607,-0.42871174,1.4803404,0.780265,0.7800052,0.78017646,0.06991441,1.3588512,1.4796581,1.4796581,1.4236006,1.6429316,7.6293944e-08,3.8146972e-08,0.32128826,0.10178392,0.56293166
1020,0.19699264,0.19699264,0.19662958,1.4866661,0.70666605,1.592932,1.592932,0.70666605,1.592932,0.70666605,0.19699264,-0.0030073617,-0.023007361,0.19701545,0.19699264,0.0066660307,0.0066660307,1.4789529,1.4788349,1.4785362,0.1966851,0.19662958,1.0629319,0.9029319,0.25259724,1.5525973,1.5525973,1.6969926,0.39699262,1.6969926,0.19704816,0.1966851,0.89853626,9.2,4.04,-0.0008819099,1.2989528,0.2212881,1.5212882,1.6429319,1.4786719,1.6429319,1.6429319,1.6429319,-0.5070681,1.592932,1.406666,1.706666,1.4866661,1.4866661,-0.6508819,-0.4287119,1.4776748,0.7775993,0.7773397,0.77751076,0.067248724,1.3325973,1.4769926,1.4769926,1.406666,1.6429319,7.6293944e-08,3.8146972e-08,0.3212881,0.09911809,0.56293195
1080,0.1943505,0.1943505,0.19399151,1.4857585,0.7057585,1.5929321,1.5929321,0.7057585,1.5929321,0.7057585,0.1943505,-0.005649497,-0.025649497,0.19437303,0.1943505,0.0057585277,0.0057585277,1.4762889,1.4761722,1.475877,0.19404645,0.19399151,1.062932,0.90293205,0.30574238,1.6057423,1.6057423,1.6943505,0.3943505,1.6943505,0.19440544,0.19404645,0.895877,9.2,4.04,-0.0035475902,1.2962888,0.2212881,1.5212882,1.642932,1.4760112,1.642932,1.642932,1.642932,-0.5070679,1.5929321,1.4057585,1.7057586,1.4857585,1.4857585,-0.6535476,-0.4287119,1.475025,0.77495044,0.77469367,0.7748628,0.06460383,1.3857424,1.4743505,1.4743505,1.4057585,1.642932,7.6293944e-08,3.8146972e-08,0.3212881,0.09645241,0.5629321
1140,0.19174616,0.19174616,0.19139487,1.5285844,0.7485844,1.5929322,1.5929322,0.7485844,1.5929322,0.7485844,0.19174616,-0.0082538435,-0.028253844,0.19176824,0.19174616,0.0485844,0.0485844,1.4736428,1.4735286,1.4732397,0.19144864,0.19139487,1.0629323,0.9029322,0.38862717,1.6886271,1.6886271,1.6917461,0.39174616,1.6917461,0.19179994,0.19144864,0.8932397,9.2,4.04,-0.006197283,1.2936429,0.2212881,1.5212882,1.6429322,1.473371,1.6429322,1.6429322,1.6429322,-0.5070678,1.5929322,1.4485844,1.7485844,1.5285844,1.5285844,-0.6561973,-0.4287119,1.4724061,0.7723332,0.7720819,0.77224743,0.06199396,1.4686272,1.4717462,1.4717462,1.4485844,1.6429322,7.6293944e-08,3.8146972e-08,0.3212881,0.09380272,0.5629322
