,J_CT3,J_CT6,J_CT5,J2a_15,J1_70,J1_40,J1_50,J1_51,J1_60,J1_61,J2c_12,J2c_14,Jb_53,J2c_11,J2c_13,J2a_20,J2a_30,J2a_33,J2a_23,J2a_41,J_CT1,J_CT2,J1_11,J1_30,J2b_21,J2b_40,J2b_30,J2b_31,J2b_50,J2b_41,J2c_10,J_CT4,J2b_10,J1_10,J1_20,J2a_31,J2a_32,J2a_21,J2a_22,J1-CLin,J2a_40,J1-MPA,J1_33,J1_31,RWtank_Top,J1_34,J2a_10,J2a_12,J2a_13,J2a_14,ER2_Top,ER1_Top,J2b_11,J2b_12,J2b_14,J2b_Leak,J2b_15,J2b_20,J2b_51,J2b_52,J2a_11,J1_32,SWaT,PUB,T1,T2,T0
13440,0.34501094,0.34501094,0.34456357,1.6276307,0.8476307,1.6060346,1.6060346,0.8476307,1.6060346,0.8476307,0.34501094,0.14501093,0.12501092,0.34503913,0.34501094,0.14763068,0.14763068,1.6274271,1.6272815,1.6269135,0.34463203,0.34456357,1.0760347,0.91603464,0.44859982,1.7485998,1.7485998,1.8450109,0.5450109,1.8450109,0.34507954,0.34463203,1.0469136,9.2,4.04,0.14763068,1.447427,0.22128724,1.5212872,1.6560346,1.6270809,1.6560346,1.6560346,1.6560346,-0.4939654,1.6060346,1.5476307,1.8476307,1.6276307,1.6276307,-0.50236934,-0.42871276,1.6258519,0.9257587,0.9254388,0.9256497,0.21532676,1.5285999,1.625011,1.625011,1.5476307,1.6560346,7.6293944e-08,3.8146972e-08,0.32128724,0.24763069,0.5760346
13500,0.3420364,0.3420364,0.34159064,1.6246464,0.8446464,1.6060349,1.6060349,0.8446464,1.6060349,0.8446464,0.3420364,0.14203641,0.122036405,0.34206444,0.3420364,0.14464642,0.14464642,1.6244435,1.6242986,1.6239319,0.3416588,0.34159064,1.0760349,0.91603494,0.44577935,1.7457794,1.7457794,1.8420364,0.5420364,1.8420364,0.34210455,0.3416588,1.043932,9.2,4.04,0.14464642,1.4444435,0.22128724,1.5212872,1.656035,1.6240987,1.656035,1.656035,1.656035,-0.4939651,1.6060349,1.5446464,1.8446465,1.6246464,1.6246464,-0.50535357,-0.42871276,1.6228741,0.9227814,0.9224625,0.9226727,0.21235092,1.5257794,1.6220365,1.6220365,1.5446464,1.656035,7.6293944e-08,3.8146972e-08,0.32128724,0.24464642,0.5760349
13560,0.3390764,0.3390764,0.33863384,1.6216681,0.8416681,1.606035,1.606035,0.8416681,1.606035,0.8416681,0.3390764,0.13907641,0.11907641,0.33910432,0.3390764,0.14166811,0.14166811,1.6214666,1.6213228,1.6209587,0.33870158,0.33863384,1.076035,0.91603506,0.4389751,1.738975,1.738975,1.8390764,0.5390764,1.8390764,0.3391443,0.33870158,1.0409588,9.2,4.04,0.14166811,1.4414667,0.22128724,1.5212872,1.6560351,1.6211241,1.6560351,1.6560351,1.6560351,-0.49396494,1.606035,1.541668,1.8416681,1.6216681,1.6216681,-0.5083319,-0.42871276,1.6199083,0.9198162,0.91949964,0.9197082,0.20938888,1.5189751,1.6190764,1.6190764,1.541668,1.6560351,7.6293944e-08,3.8146972e-08,0.32128724,0.2416681,0.5760351
13620,0.33612514,0.33612514,0.3356852,1.6187011,0.8387011,1.6060352,1.6060352,0.8387011,1.6060352,0.8387011,0.33612514,0.13612513,0.11612514,0.33615288,0.33612514,0.13870114,0.13870114,1.6185008,1.6183579,1.6179961,0.33575264,0.3356852,1.0760351,0.9160352,0.672194,1.972194,1.972194,1.8361251,0.5361251,1.8361251,0.33619258,0.33575264,1.037996,9.2,4.04,0.13870114,1.4385009,0.22128724,1.5212872,1.6560352,1.6181605,1.6560352,1.6560352,1.6560352,-0.4939648,1.6060352,1.5387012,1.8387011,1.6187011,1.6187011,-0.51129884,-0.42871276,1.616952,0.9168604,0.91654575,0.9167532,0.20643573,1.752194,1.6161251,1.6161251,1.5387012,1.6560352,7.6293944e-08,3.8146972e-08,0.32128724,0.23870113,0.5760352
13680,0.33321673,0.33321673,0.33278507,1.6157439,0.8357439,1.6060355,1.6060355,0.8357439,1.6060355,0.8357439,0.33321673,0.13321674,0.113216735,0.3332439,0.33321673,0.1357439,0.1357439,1.6155474,1.6154071,1.6150521,0.3328512,0.33278507,1.0760355,0.9160355,0.43740442,1.7374045,1.7374045,1.8332168,0.5332167,1.8332168,0.33328286,0.3328512,1.0350521,9.2,4.04,0.1357439,1.4355474,0.22128724,1.5212872,1.6560355,1.6152134,1.6560355,1.6560355,1.6560355,-0.49396452,1.6060355,1.535744,1.8357439,1.6157439,1.6157439,-0.5142561,-0.42871276,1.6140279,0.91393805,0.91362935,0.91383284,0.20352137,1.5174044,1.6132168,1.6132168,1.535744,1.6560355,7.6293944e-08,3.8146972e-08,0.32128724,0.23574391,0.5760355
13740,0.33029714,0.33029714,0.3298668,1.612817,0.8328171,1.6060356,1.6060356,0.8328171,1.6060356,0.8328171,0.33029714,0.13029715,0.11029714,0.33032432,0.33029714,0.13281704,0.13281704,1.6126212,1.6124811,1.6121273,0.32993263,0.3298668,1.0760356,0.91603565,0.4346367,1.7346367,1.7346367,1.8302971,0.53029716,1.8302971,0.33036298,0.32993263,1.0321273,9.2,4.04,0.13281704,1.4326211,0.22128709,1.5212871,1.6560357,1.6122881,1.6560357,1.6560357,1.6560357,-0.49396437,1.6060356,1.532817,1.8328171,1.612817,1.612817,-0.51718295,-0.4287129,1.6111059,0.91101646,0.9107086,0.9109115,0.2006009,1.5146368,1.6102972,1.6102972,1.532817,1.6560357,7.6293944e-08,3.8146972e-08,0.3212871,0.23281705,0.5760356
13800,0.3273982,0.3273982,0.32697177,1.6098948,0.8298947,1.6060358,1.6060358,0.8298947,1.6060358,0.8298947,0.3273982,0.1273982,0.1073982,0.3274251,0.3273982,0.1298947,0.1298947,1.6097007,1.609562,1.6092113,0.32703704,0.32697177,1.0760357,0.9160358,0.41455027,1.7145503,1.7145503,1.8273982,0.52739817,1.8273982,0.32746345,0.32703704,1.0292113,9.2,4.04,0.1298947,1.4297006,0.22128709,1.5212871,1.6560358,1.6093707,1.6560358,1.6560358,1.6560358,-0.49396423,1.6060358,1.5298947,1.8298947,1.6098948,1.6098948,-0.5201053,-0.4287129,1.6081995,0.9081108,0.90780586,0.9080069,0.19769906,1.4945502,1.6073982,1.6073982,1.5298947,1.6560358,7.6293944e-08,3.8146972e-08,0.3212871,0.2298947,0.5760358
13860,0.32449475,0.32449475,0.32406905,1.606987,0.826987,1.606036,1.606036,0.826987,1.606036,0.826987,0.32449475,0.12449474,0.10449474,0.32452148,0.32449475,0.12698703,0.12698703,1.6067933,1.6066549,1.6063048,0.32413414,0.32406905,1.076036,0.91603595,0.42596033,1.7259604,1.7259604,1.8244947,0.52449477,1.8244947,0.32455984,0.32413414,1.0263048,9.2,4.04,0.12698703,1.4267933,0.22128709,1.5212871,1.6560359,1.6064639,1.6560359,1.6560359,1.6560359,-0.49396408,1.606036,1.5269871,1.826987,1.606987,1.606987,-0.523013,-0.4287129,1.6052947,0.905206,0.9049017,0.90510225,0.19479501,1.5059603,1.6044947,1.6044947,1.5269871,1.6560359,7.6293944e-08,3.8146972e-08,0.3212871,0.22698703,0.5760359
13920,0.32164404,0.32164404,0.3212278,1.604082,0.82408196,1.6060362,1.6060362,0.82408196,1.6060362,0.82408196,0.32164404,0.12164404,0.10164404,0.32167035,0.32164404,0.12408198,0.12408198,1.6038924,1.6037571,1.6034148,0.32129145,0.3212278,1.0760362,0.9160362,0.30268326,1.6026833,1.6026833,1.8216441,0.52164406,1.8216441,0.32170784,0.32129145,1.0234147,9.2,4.04,0.12408198,1.4238925,0.22128709,1.5212871,1.6560363,1.6035703,1.6560363,1.6560363,1.6560363,-0.49396378,1.6060362,1.524082,1.824082,1.604082,1.604082,-0.525918,-0.4287129,1.6024265,0.90233994,0.90204215,0.9022385,0.19193792,1.3826833,1.601644,1.601644,1.524082,1.6560363,7.6293944e-08,3.8146972e-08,0.3212871,0.22408198,0.5760362
13980,0.31879538,0.31879538,0.31838262,1.6012113,0.82121134,1.6060363,1.6060363,0.82121134,1.6060363,0.82121134,0.31879538,0.11879538,0.09879538,0.3188214,0.31879538,0.121211365,0.121211365,1.6010236,1.6008894,1.60055,0.31844583,0.31838262,1.0760363,0.91603637,0.6535447,1.9535447,1.9535447,1.8187953,0.5187954,1.8187953,0.31885844,0.31844583,1.02055,9.2,4.04,0.121211365,1.4210236,0.22128709,1.5212871,1.6560364,1.6007044,1.6560364,1.6560364,1.6560364,-0.49396363,1.6060363,1.5212114,1.8212113,1.6012113,1.6012113,-0.5287886,-0.4287129,1.5995708,0.899485,0.89918983,0.8993843,0.1890865,1.7335447,1.5987954,1.5987954,1.5212114,1.6560364,7.6293944e-08,3.8146972e-08,0.3212871,0.22121136,0.57603633
14040,0.31593886,0.31593886,0.3155261,1.5983547,0.8183547,1.6060365,1.6060365,0.8183547,1.6060365,0.8183547,0.31593886,0.115938865,0.09593887,0.31596488,0.31593886,0.11835471,0.11835471,1.598167,1.5980328,1.5976934,0.31558934,0.3155261,1.0760365,0.9160365,0.42100948,1.7210095,1.7210095,1.8159388,0.5159389,1.8159388,0.31600195,0.31558934,1.0176934,9.2,4.04,0.11835471,1.4181669,0.22128709,1.5212871,1.6560365,1.5978476,1.6560365,1.6560365,1.6560365,-0.49396348,1.6060365,1.5183547,1.8183547,1.5983547,1.5983547,-0.5316453,-0.4287129,1.5967143,0.8966284,0.89633334,0.89652777,0.18622999,1.5010095,1.5959389,1.5959389,1.5183547,1.6560365,7.6293944e-08,3.8146972e-08,0.3212871,0.2183547,0.5760365
14100,0.31308237,0.31308237,0.31266972,1.5954981,0.81549805,1.6060367,1.6060367,0.81549805,1.6060367,0.81549805,0.31308237,0.11308236,0.09308235,0.31310838,0.31308237,0.11549805,0.11549805,1.5953104,1.5951762,1.594837,0.31273296,0.31266972,1.0760367,0.91603667,0.41830325,1.7183032,1.7183032,1.8130823,0.5130823,1.8130823,0.31314558,0.31273296,1.0148369,9.2,4.04,0.11549805,1.4153104,0.22128709,1.5212871,1.6560366,1.5949911,1.6560366,1.6560366,1.6560366,-0.49396336,1.6060367,1.515498,1.815498,1.5954981,1.5954981,-0.53450197,-0.4287129,1.5938578,0.893772,0.8934768,0.8936713,0.18337362,1.4983033,1.5930823,1.5930823,1.515498,1.6560366,7.6293944e-08,3.8146972e-08,0.3212871,0.21549805,0.57603663
14160,0.31024444,0.31024444,0.30983502,1.5926417,0.8126417,1.6060369,1.6060369,0.8126417,1.6060369,0.8126417,0.31024444,0.110244446,0.09024445,0.3102703,0.31024444,0.112641685,0.112641685,1.5924554,1.5923222,1.5919855,0.30989766,0.30983502,1.0760369,0.91603696,0.39535335,1.6953534,1.6953534,1.8102444,0.5102444,1.8102444,0.3103071,0.30989766,1.0119854,9.2,4.04,0.112641685,1.4124553,0.22128709,1.5212871,1.656037,1.5921385,1.656037,1.656037,1.656037,-0.49396306,1.6060369,1.5126417,1.8126417,1.5926417,1.5926417,-0.53735834,-0.4287129,1.5910139,0.8909287,0.89063585,0.89082885,0.18053338,1.4753534,1.5902444,1.5902444,1.5126417,1.656037,7.6293944e-08,3.8146972e-08,0.3212871,0.21264169,0.57603693
14220,0.30746803,0.30746803,0.30707023,1.5897971,0.8097971,1.6060371,1.6060371,0.8097971,1.6060371,0.8097971,0.30746803,0.10746802,0.08746802,0.30749315,0.30746803,0.10979709,0.10979709,1.589616,1.5894866,1.5891595,0.3071311,0.30707023,1.076037,0.9160371,0.34783822,1.6478382,1.6478382,1.807468,0.50746804,1.807468,0.3075289,0.3071311,1.0091594,9.2,4.04,0.10979709,1.409616,0.22128709,1.5212871,1.6560371,1.5893083,1.6560371,1.6560371,1.6560371,-0.4939629,1.6060371,1.5097971,1.809797,1.5897971,1.5897971,-0.5402029,-0.4287129,1.5882155,0.8881328,0.8878484,0.88803583,0.17774881,1.4278382,1.587468,1.587468,1.5097971,1.6560371,7.6293944e-08,3.8146972e-08,0.3212871,0.20979708,0.5760371
14280,0.3046897,0.3046897,0.3042957,1.5869964,0.8069964,1.6060373,1.6060373,0.8069964,1.6060373,0.8069964,0.3046897,0.104689695,0.0846897,0.30471456,0.3046897,0.10699639,0.10699639,1.586817,1.586689,1.586365,0.304356,0.3042957,1.0760373,0.91603726,0.49964756,1.7996476,1.7996476,1.8046896,0.5046897,1.8046896,0.30475003,0.304356,1.0063651,9.2,4.04,0.10699639,1.4068171,0.22128709,1.5212871,1.6560372,1.5865122,1.6560372,1.6560372,1.6560372,-0.49396276,1.6060373,1.5069964,1.8069963,1.5869964,1.5869964,-0.5430036,-0.4287129,1.58543,0.8853481,0.8850663,0.885252,0.17496774,1.5796475,1.5846897,1.5846897,1.5069964,1.6560372,7.6293944e-08,3.8146972e-08,0.3212871,0.2069964,0.5760372
14340,0.30191138,0.30191138,0.30151883,1.5842103,0.80421025,1.6060374,1.6060374,0.80421025,1.6060374,0.80421025,0.30191138,0.10191138,0.08191138,0.30193624,0.30191138,0.10421022,0.10421022,1.5840316,1.583904,1.5835811,0.30157885,0.30151883,1.0760374,0.9160374,0.40769285,1.7076929,1.7076929,1.8019114,0.5019114,1.8019114,0.30197155,0.30157885,1.003581,9.2,4.04,0.10421022,1.4040316,0.22128709,1.5212871,1.6560373,1.5837278,1.6560373,1.6560373,1.6560373,-0.49396262,1.6060374,1.5042102,1.8042102,1.5842103,1.5842103,-0.5457898,-0.4287129,1.5826492,0.8825676,0.8822868,0.8824718,0.17218855,1.4876928,1.5819113,1.5819113,1.5042102,1.6560373,7.6293944e-08,3.8146972e-08,0.3212871,0.20421022,0.5760374
14400,0.29917768,0.29917768,0.2987931,1.5814292,0.8014293,1.6060376,1.6060376,0.8014293,1.6060376,0.8014293,0.29917768,0.09917768,0.07917768,0.29920197,0.29917768,0.10142928,0.10142928,1.5812542,1.5811293,1.5808129,0.29885197,0.2987931,1.0760376,0.9160377,0.4941393,1.7941393,1.7941393,1.7991776,0.4991777,1.7991776,0.29923654,0.29885197,1.0008129,9.2,4.04,0.10142928,1.4012543,0.22128709,1.5212871,1.6560377,1.5809568,1.6560377,1.6560377,1.6560377,-0.49396232,1.6060376,1.5014293,1.8014293,1.5814292,1.5814292,-0.5485707,-0.4287129,1.5799003,0.87982035,0.8795453,0.87972665,0.16944903,1.5741394,1.5791777,1.5791777,1.5014293,1.6560377,7.6293944e-08,3.8146972e-08,0.3212871,0.2014293,0.57603765
14460,0.296478,0.296478,0.296102,1.5786793,0.7986793,1.6060379,1.6060379,0.7986793,1.6060379,0.7986793,0.296478,0.09647799,0.07647799,0.29650167,0.296478,0.09867931,0.09867931,1.5785081,1.5783858,1.5780767,0.29615954,0.296102,1.0760378,0.9160378,0.4135473,1.7135473,1.7135473,1.796478,0.496478,1.796478,0.29653555,0.29615954,0.99807674,9.2,4.04,0.09867931,1.3985081,0.22128709,1.5212871,1.6560378,1.5782173,1.6560378,1.6560378,1.6560378,-0.4939622,1.6060379,1.4986793,1.7986794,1.5786793,1.5786793,-0.5513207,-0.4287129,1.5771844,0.8771063,0.87683743,0.8770146,0.16674323,1.4935473,1.576478,1.576478,1.4986793,1.6560378,7.6293944e-08,3.8146972e-08,0.3212871,0.19867931,0.5760378
14520,0.29380578,0.29380578,0.29343733,1.5759627,0.79596263,1.606038,1.606038,0.79596263,1.606038,0.79596263,0.29380578,0.09380577,0.07380577,0.29382887,0.29380578,0.095962614,0.095962614,1.575795,1.5756752,1.5753722,0.29349372,0.29343733,1.076038,0.916038,0.6266449,1.9266449,1.9266449,1.7938057,0.49380577,1.7938057,0.29386216,0.29349372,0.99537224,9.2,4.04,0.095962614,1.395795,0.22128709,1.5212871,1.6560379,1.5755099,1.6560379,1.6560379,1.6560379,-0.49396205,1.606038,1.4959626,1.7959626,1.5759627,1.5759627,-0.5540374,-0.4287129,1.574498,0.8744214,0.8741579,0.8743316,0.16406564,1.7066449,1.5738058,1.5738058,1.4959626,1.6560379,7.6293944e-08,3.8146972e-08,0.3212871,0.19596261,0.57603794
14580,0.29115027,0.29115027,0.2907872,1.5732757,0.7932757,1.6060381,1.6060381,0.7932757,1.6060381,0.7932757,0.29115027,0.09115026,0.071150266,0.29117307,0.29115027,0.09327572,0.09327572,1.5731105,1.5729924,1.572694,0.2908427,0.2907872,1.0760381,0.9160381,0.31225145,1.6122514,1.6122514,1.7911502,0.49115026,1.7911502,0.2912058,0.2908427,0.9926939,9.2,4.04,0.09327572,1.3931105,0.22128709,1.5212871,1.656038,1.5728297,1.656038,1.656038,1.656038,-0.4939619,1.6060381,1.4932758,1.7932757,1.5732757,1.5732757,-0.5567243,-0.4287129,1.5718325,0.8717569,0.87149733,0.8716684,0.16140635,1.3922515,1.5711503,1.5711503,1.4932758,1.656038,7.6293944e-08,3.8146972e-08,0.3212871,0.19327572,0.5760381
14640,0.28848457,0.28848457,0.28812167,1.57061,0.79061,1.6060385,1.6060385,0.79061,1.6060385,0.79061,0.28848457,0.088484585,0.06848458,0.28850755,0.28848457,0.090610035,0.090610035,1.5704448,1.5703268,1.5700282,0.2881772,0.28812167,1.0760384,0.9160384,0.28972957,1.5897295,1.5897295,1.7884846,0.4884846,1.7884846,0.28854024,0.2881772,0.99002826,9.2,4.04,0.090610035,1.3904448,0.22128709,1.5212871,1.6560384,1.570164,1.6560384,1.6560384,1.6560384,-0.4939616,1.6060385,1.49061,1.7906101,1.57061,1.57061,-0.55938995,-0.4287129,1.5691668,0.8690912,0.86883163,0.8690027,0.15874082,1.3697295,1.5684845,1.5684845,1.49061,1.6560384,7.6293944e-08,3.8146972e-08,0.3212871,0.19061004,0.5760384
14700,0.28583416,0.28583416,0.28547385,1.5679444,0.7879444,1.6060386,1.6060386,0.7879444,1.6060386,0.7879444,0.28583416,0.08583416,0.065834165,0.285857,0.28583416,0.08794435,0.08794435,1.5677804,1.5676631,1.5673667,0.28552896,0.28547385,1.0760386,0.9160385,0.36037016,1.6603701,1.6603701,1.7858342,0.48583415,1.7858342,0.2858894,0.28552896,0.9873668,9.2,4.04,0.08794435,1.3877804,0.22128709,1.5212871,1.6560385,1.5675015,1.6560385,1.6560385,1.6560385,-0.49396145,1.6060386,1.4879444,1.7879443,1.5679444,1.5679444,-0.56205565,-0.4287129,1.5665114,0.8664366,0.86617875,0.8663487,0.1560885,1.4403702,1.5658342,1.5658342,1.4879444,1.6560385,7.6293944e-08,3.8146972e-08,0.3212871,0.18794435,0.57603854
14760,0.2831961,0.2831961,0.28283855,1.5652891,0.7852891,1.6060387,1.6060387,0.7852891,1.6060387,0.7852891,0.2831961,0.083196096,0.0631961,0.28321862,0.2831961,0.085289136,0.085289136,1.5651263,1.5650102,1.5647162,0.28289336,0.28283855,1.0760387,0.9160387,0.38991442,1.6899145,1.6899145,1.7831961,0.4831961,1.7831961,0.2832509,0.28289336,0.98471624,9.2,4.04,0.085289136,1.3851264,0.22128709,1.5212871,1.6560386,1.5648497,1.6560386,1.6560386,1.6560386,-0.4939613,1.6060387,1.4852891,1.7852892,1.5652891,1.5652891,-0.56471086,-0.4287129,1.5638678,0.86379343,0.8635378,0.8637064,0.1534484,1.4699144,1.5631961,1.5631961,1.4852891,1.6560386,7.6293944e-08,3.8146972e-08,0.3212871,0.18528914,0.57603866
14820,0.2805842,0.2805842,0.2802322,1.5626454,0.7826454,1.6060388,1.6060388,0.7826454,1.6060388,0.7826454,0.2805842,0.08058419,0.06058419,0.28060642,0.2805842,0.0826454,0.0826454,1.5624852,1.5623709,1.5620812,0.2802861,0.2802322,1.0760388,0.9160388,0.3874326,1.6874326,1.6874326,1.7805842,0.4805842,1.7805842,0.28063813,0.2802861,0.9820812,9.2,4.04,0.0826454,1.3824853,0.22128709,1.5212871,1.6560389,1.5622128,1.6560389,1.6560389,1.6560389,-0.49396116,1.6060388,1.4826454,1.7826455,1.5626454,1.5626454,-0.5673546,-0.4287129,1.5612458,0.86117256,0.8609208,0.8610868,0.15083273,1.4674326,1.5605842,1.5605842,1.4826454,1.6560389,7.6293944e-08,3.8146972e-08,0.3212871,0.18264541,0.57603884
14880,0.27799,0.27799,0.27764267,1.5600237,0.78002363,1.6060392,1.6060392,0.78002363,1.6060392,0.78002363,0.27799,0.07799002,0.05799002,0.27801198,0.27799,0.08002362,0.08002362,1.5598655,1.5597526,1.559467,0.27769586,0.27764267,1.0760391,0.9160391,0.6096308,1.9096308,1.9096308,1.77799,0.47799003,1.77799,0.2780432,0.27769586,0.979467,9.2,4.04,0.08002362,1.3798655,0.22128709,1.5212871,1.6560391,1.5595968,1.6560391,1.6560391,1.6560391,-0.4939609,1.6060392,1.4800236,1.7800236,1.5600237,1.5600237,-0.5699764,-0.4287129,1.5586427,0.8585705,0.85832214,0.85848576,0.1482352,1.6896309,1.5579901,1.5579901,1.4800236,1.6560391,7.6293944e-08,3.8146972e-08,0.3212871,0.18002361,0.57603914
14940,0.27542216,0.27542216,0.27508074,1.5574207,0.7774207,1.6060393,1.6060393,0.7774207,1.6060393,0.7774207,0.27542216,0.07542215,0.055422153,0.27544367,0.27542216,0.07742073,0.07742073,1.5572654,1.5571544,1.5568737,0.27513307,0.27508074,1.0760393,0.9160393,0.30578062,1.6057806,1.6057806,1.7754221,0.47542214,1.7754221,0.2754745,0.27513307,0.97687364,9.2,4.04,0.07742073,1.3772653,0.22128709,1.5212871,1.6560392,1.5570012,1.6560392,1.6560392,1.6560392,-0.49396074,1.6060393,1.4774207,1.7774208,1.5574207,1.5574207,-0.57257926,-0.4287129,1.5560637,0.8559926,0.8557484,0.85590935,0.14566313,1.3857806,1.5554222,1.5554222,1.4774207,1.6560392,7.6293944e-08,3.8146972e-08,0.3212871,0.17742072,0.57603925
15000,0.27327535,0.27327535,0.27300778,1.5548422,0.77484226,1.6060394,1.6060394,0.77484226,1.6060394,0.77484226,0.27327535,0.073275335,0.053275336,0.27329218,0.27327535,0.074842244,0.074842244,1.5547204,1.5546334,1.5544133,0.27304876,0.27300778,1.0760394,0.9160394,0.46133843,1.7613385,1.7613385,1.7732754,0.47327533,1.7732754,0.27331632,0.27304876,0.97441334,9.2,4.04,0.074842244,1.3747205,0.22128709,1.5212871,1.6560394,1.5545133,1.6560394,1.6560394,1.6560394,-0.4939606,1.6060394,1.4748422,1.7748423,1.5548422,1.5548422,-0.57515776,-0.4287129,1.5537782,0.8537226,0.8535311,0.8536573,0.14346428,1.5413384,1.5532753,1.5532753,1.4748422,1.6560394,7.6293944e-08,3.8146972e-08,0.3212871,0.17484225,0.57603943
15060,0.2725812,0.2725812,0.2725812,1.5525812,0.7725812,1.6060395,1.6060395,0.7725812,1.6060395,0.7725812,0.2725812,0.072581194,0.052581195,0.2725812,0.2725812,0.072581194,0.072581194,1.5525812,1.5525812,1.5525812,0.2725812,0.2725812,1.0760396,0.9160396,0.37937757,1.6793776,1.6793776,1.7725812,0.4725812,1.7725812,0.2725812,0.2725812,0.9725812,9.2,4.04,0.072581194,1.3725812,0.22128709,1.5212871,1.6560396,1.5525812,1.6560396,1.6560396,1.6560396,-0.49396044,1.6060395,1.4725811,1.7725812,1.5525812,1.5525812,-0.5774188,-0.4287129,1.5525812,0.8525812,0.8525812,0.8525812,0.1425812,1.4593775,1.5525812,1.5525812,1.4725811,1.6560396,7.6293944e-08,3.8146972e-08,0.3212871,0.1725812,0.57603955
15120,0.2725812,0.2725812,0.2725812,1.5525812,0.7725812,1.6060399,1.6060399,0.7725812,1.6060399,0.7725812,0.2725812,0.072581194,0.052581195,0.2725812,0.2725812,0.072581194,0.072581194,1.5525812,1.5525812,1.5525812,0.2725812,0.2725812,1.0760398,0.9160398,0.33139533,1.6313953,1.6313953,1.7725812,0.4725812,1.7725812,0.2725812,0.2725812,0.9725812,9.2,4.04,0.072581194,1.3725812,0.22128709,1.5212871,1.6560398,1.5525812,1.6560398,1.6560398,1.6560398,-0.49396014,1.6060399,1.4725811,1.7725812,1.5525812,1.5525812,-0.5774188,-0.4287129,1.5525812,0.8525812,0.8525812,0.8525812,0.1425812,1.4113953,1.5525812,1.5525812,1.4725811,1.6560398,7.6293944e-08,3.8146972e-08,0.3212871,0.1725812,0.57603985
15180,0.27258104,0.27258104,0.27258104,1.5525811,0.77258104,1.60604,1.60604,0.77258104,1.60604,0.77258104,0.27258104,0.072581045,0.05258105,0.27258104,0.27258104,0.072581045,0.072581045,1.5525811,1.5525811,1.5525811,0.27258104,0.27258104,1.07604,0.91604,0.46879247,1.7687925,1.7687925,1.7725811,0.47258106,1.7725811,0.27258104,0.27258104,0.972581,9.2,4.04,0.072581045,1.372581,0.22128709,1.5212871,1.65604,1.5525811,1.65604,1.65604,1.65604,-0.49396,1.60604,1.472581,1.7725811,1.5525811,1.5525811,-0.5774189,-0.4287129,1.5525811,0.852581,0.852581,0.852581,0.14258105,1.5487925,1.5525811,1.5525811,1.472581,1.65604,7.6293944e-08,3.8146972e-08,0.3212871,0.17258105,0.57603997
15240,0.27258104,0.27258104,0.27258104,1.5525811,0.77258104,1.6060401,1.6060401,0.77258104,1.6060401,0.77258104,0.27258104,0.072581045,0.05258105,0.27258104,0.27258104,0.072581045,0.072581045,1.5525811,1.5525811,1.5525811,0.27258104,0.27258104,1.0760401,0.9160401,0.37937742,1.6793774,1.6793774,1.7725811,0.47258106,1.7725811,0.27258104,0.27258104,0.972581,9.2,4.04,0.072581045,1.372581,0.22128709,1.5212871,1.6560402,1.5525811,1.6560402,1.6560402,1.6560402,-0.49395987,1.6060401,1.472581,1.7725811,1.5525811,1.5525811,-0.5774189,-0.4287129,1.5525811,0.852581,0.852581,0.852581,0.14258105,1.4593774,1.5525811,1.5525811,1.472581,1.6560402,7.6293944e-08,3.8146972e-08,0.3212871,0.17258105,0.57604015
15300,0.27258104,0.27258104,0.27258104,1.5525811,0.77258104,1.6060405,1.6060405,0.77258104,1.6060405,0.77258104,0.27258104,0.072581045,0.05258105,0.27258104,0.27258104,0.072581045,0.072581045,1.5525811,1.5525811,1.5525811,0.27258104,0.27258104,1.0760404,0.9160404,0.39968622,1.6996862,1.6996862,1.7725811,0.47258106,1.7725811,0.27258104,0.27258104,0.972581,9.2,4.04,0.072581045,1.372581,0.22128709,1.5212871,1.6560404,1.5525811,1.6560404,1.6560404,1.6560404,-0.49395958,1.6060405,1.472581,1.7725811,1.5525811,1.5525811,-0.5774189,-0.4287129,1.5525811,0.852581,0.852581,0.852581,0.14258105,1.4796863,1.5525811,1.5525811,1.472581,1.6560404,7.6293944e-08,3.8146972e-08,0.3212871,0.17258105,0.57604045
15360,0.27258104,0.27258104,0.27258104,1.5525811,0.77258104,1.6060406,1.6060406,0.77258104,1.6060406,0.77258104,0.27258104,0.072581045,0.05258105,0.27258104,0.27258104,0.072581045,0.072581045,1.5525811,1.5525811,1.5525811,0.27258104,0.27258104,1.0760406,0.9160406,0.37937742,1.6793774,1.6793774,1.7725811,0.47258106,1.7725811,0.27258104,0.27258104,0.972581,9.2,4.04,0.072581045,1.372581,0.22128709,1.5212871,1.6560405,1.5525811,1.6560405,1.6560405,1.6560405,-0.49395943,1.6060406,1.472581,1.7725811,1.5525811,1.5525811,-0.5774189,-0.4287129,1.5525811,0.852581,0.852581,0.852581,0.14258105,1.4593774,1.5525811,1.5525811,1.472581,1.6560405,7.6293944e-08,3.8146972e-08,0.3212871,0.17258105,0.57604057
