timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2
2020-03-17 12:58:40.555663,1.6479250971135002,59.0,37.381860634735034,29.094918259198472,34.881714349734764,27.473382681935583,35.05451688457704,35.06028149014921,2.975429384028523,2.971099511250756,0.09612382266535417,0.09614268449268405,1,1
2020-03-17 12:58:40.572618,1.694331971139306,59.0,37.42512352543817,29.140206622926478,34.90803002953248,27.51884874014116,35.08082045714778,35.08657961153716,2.9754526204426597,2.971126842089504,0.09607472873267496,0.09609357616018205,1,1
2020-03-17 12:58:40.592585,1.7406239807624218,59.0,38.80559931968868,27.538585673027548,35.92447887427669,27.834483910853287,36.09680401087621,36.102353671406746,2.976345615481769,2.97217718956329,0.09417151907987016,0.09418981108964194,1,1
2020-03-17 12:58:40.608522,1.8134940182290364,59.0,38.87170220877242,27.608233375583488,35.964697241217536,27.905226320173163,36.13700406234885,36.142545476463425,2.9763807668600464,2.9722185348879933,0.09409593183874121,0.09411420190354415,1,1
2020-03-17 12:58:40.625476,1.8861872055255446,59.0,38.93764990068286,27.67771465673892,36.004828130859536,27.97580029055431,36.177116683608645,36.18264987250656,2.9764158278697366,2.972259773921188,0.09402048734654551,0.09403873551652321,1,1
2020-03-17 12:58:40.641434,1.958703876649352,59.0,39.003442670173,27.74702982261058,36.044871670163644,28.046206129099353,36.21714200151645,36.22266698635194,2.9764507987029702,2.9723009068888473,0.0939451854763009,0.09396341180151441,1,1
2020-03-17 12:58:40.658389,2.0310443653007155,59.0,40.06897450900526,27.8076038525001,36.27772424296177,28.290572917483708,36.449888760400114,36.45536610320819,2.9766538786749877,2.9725397711551267,0.09350687725616887,0.09352497660217328,1,1
2020-03-17 12:58:40.674346,2.116719951143949,59.0,40.14550730483178,27.889073690837428,36.32472533802708,28.37338699863087,36.49686852671046,36.50233626638173,2.9766948132048228,2.972587918675238,0.09341831601183813,0.09343638973708407,1,1
2020-03-17 12:58:40.692317,2.2021883318709,59.0,40.221861145580064,27.970349666381246,36.37162635957603,28.456004888369925,36.543748274879704,36.549206436345415,2.976735641457047,2.9726359411917684,0.09332991338021282,0.09334796154257512,1,1
2020-03-17 12:58:40.708256,2.287449878598821,59.0,40.298036331155245,28.05143211714492,36.41842743775899,28.538426924962017,36.59052813494367,36.59597674308341,2.9767763636515454,2.9726838389633485,0.09324166925891589,0.09325969191618096,1,1
2020-03-17 12:58:40.725210,2.372504962205383,59.0,39.9461438410239,24.87654935764167,35.93555951024966,28.28619352363328,36.107879599985125,36.11342698819925,2.976355301514694,2.972188582350526,0.09415069609824026,0.09416898206167254,1,1
2020-03-17 12:58:40.742163,2.4287864177142637,59.0,39.99698148879433,24.930304366893317,35.966846835917124,28.34114673738042,36.13915267831614,36.14469365176306,2.97638264526082,2.972220744277621,0.09409189126477535,0.09411016015673014,1,1
