timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2
2020-03-20 13:41:20.735210,3.0177191362447076,59.0,38.25803922181154,23.149895970468016,36.682446894416856,28.672100083962384,36.854428079618756,36.85982287821089,2.977005733184704,2.9729536252652977,0.09274329583553242,0.09276117467310359,1,Open
2020-03-20 13:41:20.767496,3.0353938943721346,59.0,38.274816493172665,23.16701037162145,36.69246260314499,28.689615666787553,36.86443926107374,36.86983202128776,2.9770144220079686,2.9729638451302165,0.09272437024110826,0.09274224362495732,1,Open
2020-03-20 13:41:20.785061,3.0530243726590527,59.0,38.29155199201075,23.184082040758007,36.702453577498716,28.707087525932145,36.87442571956096,36.8798164465326,2.97702308893944,2.972974039245848,0.09270549069985533,0.09272335864352624,1,Open
2020-03-20 13:41:20.803603,3.0706106788554735,59.0,38.204423244710895,23.550392930081877,36.68544151102789,28.71435742662299,36.85742134272438,36.86281553190864,2.977008330856414,2.9729566806679983,0.09273763689294857,0.09275551409993833,1,Open
2020-03-20 13:41:20.821171,3.085084131149401,59.0,38.21821440467838,23.56443365358124,36.69366989971128,28.728720463881096,36.86564601192437,36.87103852643311,2.977015469355223,2.9729650770286185,0.09272208893453499,0.09273996166099178,1,Open
2020-03-20 13:41:20.839722,3.0995212061911133,59.0,38.23197126855962,23.57843929210781,36.70187810081532,28.74304762411024,36.87385050297759,36.87924134705774,2.9770225897508524,2.9729734520961486,0.09270657819226195,0.09272444644928113,1,Open
2020-03-20 13:41:20.858277,3.1139219910549087,59.0,38.24569391679013,23.59240992875541,36.71006616034988,28.757338992208297,36.88203486187088,36.88742403975901,2.977029692087463,2.972981805922551,0.09269110458576164,0.09270896838441274,1,Open
2020-03-20 13:41:20.875827,3.1282865726270614,59.0,38.294386098659416,23.811699642975746,36.7492022758707,28.78045254750851,36.921153293814854,36.92653450977572,2.9770636307228884,2.9730217248235036,0.09261713328578669,0.09263497577637941,1,Open
2020-03-20 13:41:20.893396,3.1453370234462454,59.0,38.31060396865007,23.828224077382977,36.75888022404838,28.7973536048628,36.93082687010717,36.936206117652034,2.9770720213230817,2.973031593916275,0.09259883770496169,0.09261667492665675,1,Open
2020-03-20 13:41:20.910963,3.16234466845917,59.0,38.326781617833475,23.844707299197303,36.768534551241245,28.814212529382793,36.94047683651054,36.94585412063523,2.977080390627812,2.9730414379612,0.09258058548964898,0.0925984174554486,1,Open
2020-03-20 13:41:20.931482,3.1793096091278414,59.0,38.342919139331215,23.861149404938352,36.77816531030042,28.831029419640025,36.95010324584922,36.95547857153743,2.9770887386887352,2.9730512570190157,0.0925623765489319,0.09258020327180849,1,Open
2020-03-20 13:41:20.953907,3.1962319467015874,59.0,38.83630673855457,28.990659255176162,37.20521374090656,29.132083383702742,37.37695922682339,37.382247903128956,2.977458091427323,2.9734856927860918,0.09175365856872733,0.09177125295202655,1,Open
2020-03-20 13:41:20.972446,3.2547683110972514,59.0,38.890848358730736,29.04692271309775,37.237820124209364,29.18917513483357,37.409550950394404,37.41483302623281,2.977486226642526,2.9735187856639413,0.09169180598469362,0.09170938263971841,1,Open
2020-03-20 13:41:20.990993,3.313159960332115,59.0,38.945259597935646,29.10304908365233,37.270352896421926,29.24612812259354,37.44206910084222,37.44734459330739,2.977514288990548,2.9735517928352735,0.09163007815758593,0.09164763712599534,1,Open
2020-03-20 13:41:21.009539,3.3714071863041966,59.0,38.999540698356284,29.159038665121052,37.30281217635,29.30294261829514,37.474513796889,37.479782723037175,2.9775422786317947,2.973584714488773,0.09156847494567791,0.09158601626905657,1,Open
2020-03-20 13:41:21.027108,3.429510280579848,59.0,39.48968537886421,29.383611642189997,37.600505937651306,29.518693987192954,37.772074031621884,37.777282838098415,2.9777985451588904,2.9738861373746133,0.09100279959886164,0.09102017917057165,1,Open
2020-03-20 13:41:21.044678,3.5019911364987593,59.0,39.55650488393022,29.45292575965008,37.64052084527745,29.58904167298349,37.812071022315166,37.817271761778386,2.9778329316487913,2.973926583061889,0.09092666776254983,0.09094402560269926,1,Open
2020-03-20 13:41:21.062243,3.574293868502025,59.0,39.62316629079899,29.522072242450783,37.68044766538257,29.659219753835337,37.85197997232011,37.85717266585539,2.977867228256244,2.973966923029387,0.09085068078513883,0.09086801694405669,1,Open
2020-03-20 13:41:21.112996,3.6464188155232193,59.0,39.68966987900937,29.591051401061854,37.720286526609144,29.7292285412746,37.89180101017811,37.89698567882529,2.977901435175255,2.974007157505291,0.09077483853953824,0.09079215306746981,1,Open
2020-03-20 13:41:21.130563,3.7183663161984697,59.0,39.75004763025662,31.514495801516695,37.799774381190105,29.968324507635977,37.97125332496677,37.976421991986584,2.9779696437620657,2.974087385041024,0.09062344771682064,0.09064071909328729,1,Open
2020-03-20 13:41:21.149131,3.803347209836531,59.0,39.82835686051595,31.596171977186366,37.84672560179841,30.050434744801855,38.018183567011505,38.02334278852838,2.9780099061851573,2.9741347420562008,0.09053398294121406,0.0905512288339832,1,Open
2020-03-20 13:41:21.167271,3.888118784848743,59.0,39.90648152475744,31.677650350792256,37.893575267026264,30.132346877322668,38.065012309266464,38.07016211030869,2.978050061917237,2.9741819735814943,0.0904446801423785,0.09046190061001756,1,Open
2020-03-20 13:41:21.185461,3.9726814202228837,59.0,39.9844219298605,31.758931270410564,37.94032350950192,30.21406125043375,38.111739684243034,38.116880089786235,2.978090111182617,2.9742290798807147,0.0903555392190567,0.09037273432004295,1,Open
