timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2
2020-03-17 12:59:57.378815,3.0340492441719533,59.0,36.08345649980515,20.027698858693263,22.69901075794199,27.298753668304705,22.864200046401336,22.872636165021333,2.9900408328051427,2.983704367993724,0.11806727146426174,0.0,1,0
2020-03-17 12:59:57.410813,2.905527182868113,59.0,36.28610972954483,20.78726648204111,23.22041939581821,27.497336703094156,23.385535192699535,23.39385183618579,2.9901818783407137,2.9839351520754107,0.1171614048901157,0.0,1,0
2020-03-17 12:59:57.439838,2.7948128127420944,59.0,36.178698231871905,20.680896274367733,23.13033758993511,27.389772143084066,23.29546606365821,23.30380331586386,2.9901575488610987,2.983895343252968,0.11731808644989507,0.0,1,0
2020-03-17 12:59:57.468845,2.6842817085903334,59.0,36.071449156283634,20.574695577980684,23.0404041558928,27.282379730081253,23.205545293932175,23.2139031344949,2.990133243419969,2.983855573763428,0.11747443539330035,0.0,1,0
2020-03-17 12:59:57.498886,2.5739334813608963,59.0,35.96436211851959,20.46866405342029,22.95061869799143,27.175159126762033,23.11577248782652,23.124150896391924,2.9901089620079233,2.983815843591401,0.11763045294588745,0.0,1,0
2020-03-17 12:59:57.527808,2.4637677434353407,59.0,36.22466723034589,23.890755731888042,23.28586176200004,27.430340709317186,23.45096835470416,23.459270034975916,2.990199543058928,2.9839640557611844,0.11704753236499928,0.0,1,0
2020-03-17 12:59:57.665820,2.3770917658772106,59.0,36.14022332891258,23.806951739124166,23.215107077442,27.345673837405435,23.380223621671462,23.38854148012028,2.990180444025164,2.9839328051935965,0.11717064681635062,0.0,1,0
2020-03-17 12:59:57.695822,2.290559791799126,59.0,36.05592091335217,23.723283602691247,23.144478041944538,27.261143811667388,23.30960452518562,23.317938541468166,2.9901613690075095,2.983901593922212,0.11729349655387102,0.0,1,0
2020-03-17 12:59:57.725723,2.204171511572838,59.0,35.97175965429972,23.639751042256826,23.073974334699045,27.1767503545068,23.239110744451068,23.24746089824518,2.990142317980961,2.9838704219061185,0.11741608246337883,0.0,1,0
2020-03-17 12:59:57.756841,2.117926616606212,59.0,36.31175684996616,27.61727439859815,23.70785490153365,27.50879808764325,23.872902249302854,23.8811076151935,2.9903132463264654,2.9841501013874705,0.11631229235758876,0.0,1,0
2020-03-17 12:59:57.785764,2.068705298154825,59.0,36.26345240331297,27.569116534384698,23.66750442287467,27.460285910932434,23.83255742758361,23.840771989950397,2.99030238949112,2.9841323370188917,0.11638266680911175,0.0,1,0
2020-03-17 12:59:57.814865,2.019566294702315,59.0,36.215228987173475,27.521038033937664,23.627223862664408,27.411853659227184,23.79228251619847,23.800506261849577,2.9902915482292656,2.9841145981322867,0.11645290415479119,0.0,1,0
2020-03-17 12:59:57.845785,1.9705094458798555,59.0,36.16708644059818,27.473038746742283,23.587013073654532,27.3635011813357,23.75207736791012,23.760310283671615,2.9902807225197776,2.984096884693109,0.11652300474580742,0.0,1,0
2020-03-17 12:59:57.874827,1.9215345917294115,59.0,36.233915082037484,27.916584992574165,23.7875524006553,27.415121822644984,23.952588580199816,23.960775789929045,2.990334680455277,2.9841851727276776,0.11617324883871263,0.0,1,0
2020-03-17 12:59:57.904790,1.8858330031996076,59.0,36.198821651001126,27.881512297032153,23.758285134394427,27.379811652544994,23.923325414471847,23.931519290429506,2.990326810686142,2.984172295910831,0.1162243166145675,0.0,1,0
2020-03-17 12:59:57.933831,1.8501911471980321,59.0,36.16378700008602,27.846497650355253,23.72906805016376,27.344559925632062,23.894112424632183,23.90231295683344,2.990318952704527,2.984159438381191,0.11627528883314088,0.0,1,0
2020-03-17 12:59:57.963754,1.814608911954025,59.0,36.12881101848855,27.811540946086716,23.699901049131554,27.309366534803964,23.86494951185803,23.87315669033258,2.990311106493273,2.984146600110691,0.11632616571396555,0.0,1,0
2020-03-17 12:59:57.994813,1.7790861859537443,59.0,36.264918283840856,27.03757537863826,23.8186850395154,27.340101056406645,23.983716858154864,23.991896978369226,2.9903430499322283,2.9841988671855617,0.11611891741148728,0.0,1,0
2020-03-17 12:59:58.026785,1.7554306081332385,59.0,36.241735707286196,27.014300743179568,23.799354797145583,27.31662756823004,23.964389323350403,23.97257384524852,2.990337853555431,2.9841903646753565,0.11615265284055427,0.0,1,0
2020-03-17 12:59:58.057852,1.7318144896867693,59.0,36.21859176755696,26.99106464868006,23.780057279378184,27.293192953984153,23.945094508952664,23.953283425713565,2.990332665231037,2.984181875340795,0.11618632766637797,0.0,1,0
2020-03-17 12:59:58.087756,1.7082377597284335,59.0,36.195486395257944,26.967867026841198,23.76079242563408,27.26979714478619,23.925832354388902,23.934025659202092,2.990327484946725,2.9841733991617545,0.11621994201413222,0.0,1,0
2020-03-17 12:59:58.117838,1.6847003475187563,59.0,36.270268492048345,28.458695326269343,23.637707086957462,27.293331047991764,23.80276427019328,23.810985625583314,2.990294370035201,2.984119215278909,0.11643462597943786,0.0,1,0
2020-03-17 12:59:58.148774,1.674976201218925,59.0,36.26071813886702,28.44905839634624,23.629718764279147,27.283642151794957,23.794777067886713,23.803000244662968,2.9902922198104775,2.9841156969991047,0.11644855422642536,0.0,1,0
2020-03-17 12:59:58.178856,1.6652683463943418,59.0,36.251183773365554,28.439437557512342,23.62174390243861,27.273969435939527,23.786803324596136,23.795028319796955,2.9902900730821145,2.9841121844401997,0.11646245840968349,0.0,1,0
2020-03-17 12:59:58.209093,1.6555767548983482,59.0,36.2416653679511,28.42983278214131,23.613782477901353,27.264312872638335,23.778843016790006,23.787069827458538,2.990287929844449,2.9841086775929,0.11647633857336717,0.0,1,0
2020-03-17 12:59:58.240002,1.645901398635914,59.0,36.09134739728259,28.942261736845275,23.395657754790832,27.23993248759337,23.560748915128244,23.56902550702928,2.990229160959366,2.984012517699931,0.11685639364253025,0.0,1,0
2020-03-17 12:59:58.269930,1.6307116816296343,59.0,36.07636775576981,28.92716055720748,23.383112461216626,27.22482361388429,23.54820538422534,23.556484841697923,2.9902257780289503,2.984006982420091,0.11687823880922703,0.0,1,0
2020-03-17 12:59:58.300846,1.6155475162949102,59.0,36.061413303803604,28.91208466906017,23.370588482160514,27.20974003344117,23.535683165008294,23.543965483448048,2.9902224005341864,2.984001456034285,0.11690004540577087,0.0,1,0
2020-03-17 12:59:58.330817,1.600408857517337,59.0,36.04648399689394,28.897034028109225,23.358085779211805,27.194681702009795,23.523182219070947,23.531467393880888,2.9902190284663632,2.9839959385282455,0.11692181350692193,0.0,1,0
2020-03-17 12:59:58.361803,1.5852956602699493,59.0,35.82283894906905,26.200942402090142,22.97102588194025,26.953147158415838,23.13617679544093,23.144550527954394,2.990114482288419,2.9838248760847748,0.11759499847779632,0.0,1,0
