timestamps,PRESSURE_TANK,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
22:10.2,4.071572882,0.092700341,0.092718208,1,Open,,
22:10.2,4.09825542,0.092671621,0.092689479,1,Open,,
22:10.2,4.124870762,0.093168826,0.093186828,1,Open,,
22:10.3,4.11979222,0.093174351,0.093192354,1,Open,,
22:10.3,4.114726603,0.093179861,0.093197866,1,Open,,
22:10.3,4.109673879,0.093185357,0.093203364,1,Open,,
22:10.3,4.104634014,0.093189569,0.093207577,1,Open,,
22:10.3,4.126247794,0.093166143,0.093184143,1,Open,,
22:10.3,4.147806764,0.093142771,0.093160765,1,Open,,
22:10.3,4.169311053,0.093119455,0.093137442,1,Open,,
22:10.3,4.190760789,0.093606813,0.093624941,1,Open,,
22:10.4,4.205214767,0.093591077,0.0936092,1,Open,,
22:10.4,4.219631928,0.093575379,0.093593498,1,Open,,
22:10.4,4.234012361,0.093559719,0.093577834,1,Open,,
22:10.4,4.248356156,0.092906915,0.092924841,1,Open,,
22:10.4,4.292365436,0.092859602,0.092877514,1,Open,,
22:10.4,4.336264018,0.092812391,0.092830289,1,Open,,
22:10.4,4.380052141,0.092765282,0.092783167,1,Open,,
22:10.4,4.423730044,0.093306319,0.09332436,1,Open,,
22:10.4,4.451150671,0.093276523,0.093294556,1,Open,,
22:10.5,4.478501587,0.093246797,0.093264821,1,Open,,
22:10.5,4.500023554,0.113768967,0,1,0,,
22:10.5,4.487820561,0.113786668,0,1,0,,
22:10.5,4.430037616,0.115344699,0,1,0,,
22:10.5,4.32420095,0.115495889,0,1,0,,
22:10.5,4.218541126,0.115646735,0,1,0,,
22:10.5,4.113057743,0.115797239,0,1,0,,
22:10.5,4.007750399,0.116825433,0,1,0,,
22:10.6,3.883283674,0.117002233,0,1,0,,
22:10.6,3.759023747,0.117178616,0,1,0,,
22:10.6,3.63497013,0.117354581,0,1,0,,
22:10.6,3.511122334,0.116909813,0,1,0,,
22:10.6,3.397189999,0.117071361,0,1,0,,
22:10.6,3.283446622,0.117232538,0,1,0,,
22:10.6,3.169891769,0.117393345,0,1,0,,
22:10.7,3.056525008,0.117507112,0,1,0,,
22:10.7,2.943988354,0.117666304,0,1,0,,
22:10.7,2.831637902,0.117825132,0,1,0,,
22:10.7,2.719473227,0.117983598,0,1,0,,
22:10.7,2.607493905,0.117881301,0,1,0,,
22:10.7,2.500103612,0.118032936,0,1,0,,
22:10.7,2.392890681,0.11818423,0,1,0,,
22:10.7,2.285854715,0.118335185,0,1,0,,
22:10.8,2.178995316,0.11828211,0,1,0,,
22:10.8,2.075712918,0.118427671,0,1,0,,
22:10.8,1.972600779,0.11857291,0,1,0,,
22:10.8,1.869658521,0.118717827,0,1,0,,
22:10.8,1.766885768,0.118902643,0,1,0,,
22:10.8,1.666183316,0.119044208,0,1,0,,
22:10.9,1.565646448,0.119185462,0,1,0,,
22:10.9,1.465274801,0.119326408,0,1,0,,
22:10.9,1.365068014,0.118670115,0,1,0,,
22:10.9,1.283798875,0.1187845,0,1,0,,
22:10.9,1.202663528,0.118898647,0,1,0,,
22:10.9,1.121661695,0.119012556,0,1,0,,
22:10.9,1.040793098,0.118488778,0,1,0,,
22:10.9,0.999978585,0.096540013,0.096558997,1,1,,
22:11.0,1.008223325,0.096531319,0.0965503,1,1,,
22:11.0,1.040891381,0.096496863,0.096515834,1,1,,
22:11.0,1.073478821,0.096462483,0.096481445,1,1,,
22:11.0,1.105985823,0.095792169,0.095810933,1,1,,
22:11.0,1.173578812,0.095721651,0.095740395,1,1,,
22:11.0,1.241006811,0.09565127,0.095669993,1,1,,
22:11.0,1.308270141,0.095581025,0.095599728,1,1,,
22:11.1,1.375369119,0.094122249,0.094140526,1,1,,
22:11.1,1.479297812,0.094015398,0.094033645,1,1,,
22:11.1,1.582976509,0.093908725,0.09392694,1,1,,
22:11.1,1.686405624,0.093802228,0.093820413,1,1,,
22:11.1,1.78958557,0.093471495,0.093489584,1,1,,
22:11.1,1.880580911,0.093377767,0.093395829,1,1,,
22:11.2,1.971356959,0.093284203,0.093302238,1,1,,
22:11.2,2.061914097,0.093190803,0.093208811,1,1,,
22:11.2,2.152252709,0.093488932,0.093507026,1,1,,
22:11.2,2.217520937,0.093421249,0.093439323,1,1,,
22:11.2,2.282630808,0.093353697,0.093371752,1,1,,
22:11.3,2.34758263,0.093286277,0.093304313,1,1,,
22:11.3,2.412376711,0.093913203,0.09393142,1,1,,
22:11.3,2.459415736,0.093864029,0.093882231,1,1,,
22:11.3,2.506339706,0.093814956,0.093833145,1,1,,
22:11.3,2.553148864,0.093765987,0.093784161,1,1,,
22:11.3,2.599843448,0.093397827,0.093415895,1,1,,
22:11.4,2.651919225,0.09334345,0.093361502,1,1,,
22:11.4,2.703867777,0.093289184,0.093307221,1,1,,
22:11.4,2.755689365,0.09323503,0.093253051,1,1,,
22:11.4,2.80738425,0.093402335,0.093420404,1,1,,
22:11.4,2.85525558,0.09335218,0.093370235,1,1,,
22:11.5,2.903009564,0.09330213,0.09332017,1,1,,
22:11.5,2.950646446,0.093252185,0.09327021,1,1,,
22:11.5,2.998166473,0.093680714,0.093698863,1,1,,
22:11.5,3.029727579,0.093647334,0.093665474,1,1,,
22:11.5,3.061210588,0.093614029,0.093632159,1,1,,
22:11.6,3.092615672,0.093580798,0.093598919,1,1,,
22:11.6,3.123943007,0.094915688,0.094934196,1,1,,
22:11.6,3.089809582,0.094952383,0.094970902,1,1,,
22:11.6,3.055762011,0.094988977,0.095007507,1,1,,
22:11.6,3.02180006,0.095025472,0.095044013,1,1,,
22:11.6,2.987923496,0.094510497,0.094528888,1,1,,
22:11.7,2.981222926,0.094517749,0.094536141,1,1,,
22:11.7,2.974539322,0.094524981,0.094543376,1,1,,
22:11.7,2.96787264,0.094532195,0.094550592,1,1,,
22:11.7,2.961222836,0.092777213,0.092795101,1,1,,
22:11.7,3.040575505,0.092693618,0.092711482,1,1,,
22:11.7,3.119732588,0.092610178,0.092628018,1,1,,
22:11.8,3.198694448,0.092526893,0.092544709,1,1,,
22:11.8,3.277461448,0.09235247,0.092370236,1,1,,
22:11.8,3.356603807,0.092268899,0.092286641,1,1,,
22:11.8,3.435550637,0.092185484,0.092203202,1,1,,
22:11.8,3.514302303,0.092102224,0.092119918,1,1,,
22:11.8,3.592859167,0.093369703,0.093387763,1,1,,
22:11.9,3.629353836,0.093330402,0.09334845,1,1,,
22:11.9,3.665756553,0.093291188,0.093309225,1,1,,
22:11.9,3.702067521,0.093252062,0.093270087,1,1,,
22:11.9,3.738286946,0.092976877,0.092994823,1,1,,
22:11.9,3.770498233,0.09294226,0.092960196,1,1,,
22:11.9,3.802628528,0.092907721,0.092925647,1,1,,
22:12.0,3.834678012,0.09287326,0.092891176,1,1,,
22:12.0,3.866646869,0.093355953,0.093374008,1,1,,
22:12.0,3.893496238,0.093326999,0.093345046,1,1,,
22:12.0,3.920277864,0.093298112,0.093316151,1,1,,
22:12.0,3.946991903,0.093269291,0.093287322,1,1,,
22:12.0,3.973638512,0.094110988,0.094129263,1,1,,
22:12.0,3.998518936,0.09408391,0.094102176,1,1,,
22:12.1,4.023336005,0.094056895,0.094075153,1,1,,
22:12.1,4.048089867,0.094029942,0.094048193,1,1,,
22:12.1,4.072780669,0.093432079,0.093450157,1,1,,
22:12.1,4.092801874,0.093410519,0.09342859,1,1,,
22:12.1,4.112772634,0.093389009,0.093407075,1,1,,
22:12.1,4.132693068,0.09336755,0.093385609,1,1,,
22:12.2,4.152563295,0.091436906,0.09145441,1,1,,
22:12.2,4.206919904,0.091379623,0.09139711,1,1,,
22:12.2,4.261142487,0.091322456,0.091339927,1,1,,
22:12.2,4.315231318,0.091265406,0.091282861,1,1,,
22:12.2,4.369186671,0.091441498,0.091459002,1,1,,
22:12.2,4.419325896,0.091388472,0.091405962,1,1,,
22:12.2,4.469341057,0.091335557,0.091353032,1,1,,
22:12.2,4.50005196,0.11267617,0,1,0,,
22:12.3,4.487749668,0.112693811,0,1,0,,
22:12.3,4.45577012,0.112778691,0,1,0,,
22:12.3,4.423459609,0.112825013,0,1,0,,
22:12.3,4.39120328,0.112871249,0,1,0,,
22:12.4,4.359001032,0.112917399,0,1,0,,
22:12.4,4.326852764,0.112883068,0,1,0,,
22:12.4,4.296634095,0.112926371,0,1,0,,
22:12.4,4.266466077,0.112969594,0,1,0,,
22:12.4,4.236348616,0.113012738,0,1,0,,
22:12.4,4.206281618,0.112758742,0,1,0,,
22:12.4,4.183535297,0.112791351,0,1,0,,
22:12.5,4.160827117,0.112823901,0,1,0,,
22:12.5,4.13815701,0.112856393,0,1,0,,
22:12.5,4.115524908,0.114512186,0,1,0,,
22:12.5,4.043650958,0.114614666,0,1,0,,
22:12.5,3.971896875,0.114716933,0,1,0,,
22:12.5,3.900262412,0.11481899,0,1,0,,
22:12.5,3.82874732,0.116747297,0,1,0,,
22:12.6,3.705041582,0.116923072,0,1,0,,
22:12.6,3.581541441,0.117098462,0,1,0,,
22:12.6,3.458246451,0.117273471,0,1,0,,
22:12.6,3.335156164,0.115742693,0,1,0,,
22:12.6,3.266992315,0.115840366,0,1,0,,
22:12.6,3.198942712,0.115937838,0,1,0,,
22:12.7,3.131007119,0.116035109,0,1,0,,
22:12.7,3.063185301,0.117027148,0,1,0,,
22:12.7,2.97138478,0.117158419,0,1,0,,
22:12.7,2.879737802,0.1172894,0,1,0,,
22:12.7,2.78824403,0.117420094,0,1,0,,
22:12.7,2.696903127,0.117296623,0,1,0,,
22:12.8,2.612314183,0.117417334,0,1,0,,
22:12.8,2.527866431,0.117537787,0,1,0,,
22:12.8,2.44355957,0.117657981,0,1,0,,
22:12.8,2.359393296,0.118339638,0,1,0,,
22:12.8,2.260390509,0.118479746,0,1,0,,
22:12.8,2.161551604,0.118619546,0,1,0,,
22:12.9,2.062876218,0.118759039,0,1,0,,
22:12.9,1.964363994,0.119506522,0,1,0,,
22:12.9,1.84960323,0.119667698,0,1,0,,
22:12.9,1.73503099,0.119828509,0,1,0,,
22:12.9,1.620646846,0.119988957,0,1,0,,
22:12.9,1.506450372,0.120329436,0,1,0,,
22:13.0,1.390749347,0.120491502,0,1,0,,
22:13.0,1.275237886,0.120653202,0,1,0,,
22:13.0,1.159915559,0.120814536,0,1,0,,
22:13.0,1.044781942,0.120119331,0,1,0,,
22:13.0,0.999962975,0.097518255,0.097537528,1,1,,
22:13.1,0.985110429,0.097534007,0.097553284,1,1,,
22:13.1,0.960438795,0.097560168,0.097579453,1,1,,
22:13.1,0.935828371,0.097586261,0.097605553,1,1,,
22:13.1,0.911278995,0.096686573,0.0967056,1,1,,
22:13.2,0.912157827,0.096685633,0.09670466,1,1,,
22:13.2,0.91303446,0.096684696,0.096703722,1,1,,
22:13.2,0.913908899,0.09668376,0.096702787,1,1,,
22:13.2,0.914781151,0.09677638,0.096795434,1,1,,
22:13.3,0.932296834,0.09675776,0.096776809,1,1,,
22:13.3,0.949768953,0.096739185,0.096758227,1,1,,
22:13.3,0.96719761,0.096720652,0.09673969,1,1,,
22:13.3,0.984582908,0.095864379,0.095883165,1,1,,
22:13.4,1.01565062,0.095831647,0.095850423,1,1,,
22:13.4,1.046641749,0.095798988,0.095817754,1,1,,
22:13.4,1.077556466,0.095766401,0.095785158,1,1,,
22:13.4,1.10839494,0.09491531,0.094933819,1,1,,
22:13.4,1.167448423,0.094853796,0.094872287,1,1,,
22:13.4,1.226357982,0.094792405,0.094810878,1,1,,
22:13.5,1.285123906,0.094731136,0.094749591,1,1,,
22:13.5,1.343746481,0.09514955,0.095168126,1,1,,
22:13.5,1.404010748,0.095086603,0.095105161,1,1,,
22:13.5,1.464127738,0.095023781,0.095042321,1,1,,
22:13.6,1.524097746,0.094961084,0.094979606,1,1,,
22:13.6,1.583921063,0.094756722,0.094775185,1,1,,
22:13.6,1.657877292,0.094679326,0.094697766,1,1,,
22:13.6,1.731652437,0.094602076,0.094620493,1,1,,
22:13.6,1.805246841,0.094524972,0.094543366,1,1,,
22:13.7,1.878660847,0.095917307,0.095936108,1,1,,
22:13.7,1.913712382,0.095880019,0.095898809,1,1,,
22:13.7,1.948676673,0.095842812,0.095861592,1,1,,
22:13.7,1.983553913,0.095805689,0.095824457,1,1,,
22:13.7,2.018344296,0.096050875,0.096069716,1,1,,
22:13.7,2.033923121,0.096034181,0.096053016,1,1,,
22:13.8,2.049462885,0.096017525,0.096036356,1,1,,
22:13.8,2.064963682,0.09600091,0.096019736,1,1,,
22:13.8,2.080425603,0.096217108,0.096235997,1,1,,
22:13.8,2.069002055,0.096229353,0.096248245,1,1,,
22:13.8,2.057607155,0.096241566,0.096260462,1,1,,
22:13.8,2.04624083,0.096253747,0.096272647,1,1,,
22:13.9,2.034903006,0.097009656,0.097028778,1,1,,
22:13.9,2.00378675,0.097042755,0.097061887,1,1,,
22:13.9,1.972747936,0.097075765,0.097094907,1,1,,
22:13.9,1.941786355,0.097108687,0.097127839,1,1,,
22:13.9,1.910901802,0.09658822,0.096607218,1,1,,
22:13.9,1.889152624,0.0966114,0.096630405,1,1,,
22:14.0,1.867457678,0.096634518,0.09665353,1,1,,
22:14.0,1.845816822,0.096657576,0.096676595,1,1,,
22:14.0,1.824229915,0.096886671,0.096905757,1,1,,
22:14.0,1.802467444,0.096909835,0.096928928,1,1,,
22:14.0,1.78075917,0.096932938,0.096952038,1,1,,
22:14.1,1.759104949,0.096955981,0.096975087,1,1,,
22:14.1,1.737504642,0.097430537,0.097449784,1,1,,
22:14.1,1.704695947,0.097465357,0.097484614,1,1,,
22:14.1,1.67196872,0.097500084,0.097519351,1,1,,
22:14.1,1.639322742,0.097534718,0.097553995,1,1,,
22:14.1,1.606757797,0.097079142,0.097098285,1,1,,
22:14.2,1.583590482,0.097103776,0.097122926,1,1,,
22:14.2,1.560480804,0.097128345,0.097147503,1,1,,
22:14.2,1.537428609,0.09715285,0.097172015,1,1,,
22:14.2,1.514433749,0.09699063,0.097009747,1,1,,
22:14.2,1.496085601,0.097010154,0.097029276,1,1,,
22:14.3,1.477783131,0.097029626,0.097048754,1,1,,
22:14.3,1.459526221,0.097049048,0.097068182,1,1,,
22:14.3,1.441314753,0.096963954,0.096983063,1,1,,
22:14.3,1.42681745,0.096979386,0.096998499,1,1,,
22:14.3,1.412356252,0.096994778,0.097013896,1,1,,
22:14.3,1.397931066,0.09701013,0.097029253,1,1,,
22:14.4,1.3835418,0.095862865,0.095881651,1,1,,
22:14.4,1.426506442,0.095817596,0.095836368,1,1,,
22:14.4,1.469365169,0.095772424,0.095791183,1,1,,
22:14.4,1.512118207,0.095727348,0.095746094,1,1,,
22:14.4,1.554765782,0.096222323,0.096241213,1,1,,
22:14.5,1.601403115,0.096173021,0.096191897,1,1,,
22:14.5,1.647925097,0.096123823,0.096142684,1,1,,
22:14.5,1.694331971,0.096074729,0.096093576,1,1,,
22:14.5,1.740623981,0.094171519,0.094189811,1,1,,
22:14.5,1.813494018,0.094095932,0.094114202,1,1,,
22:14.5,1.886187206,0.094020487,0.094038736,1,1,,
22:14.6,1.958703877,0.093945185,0.093963412,1,1,,
22:14.6,2.031044365,0.093506877,0.093524977,1,1,,
22:14.6,2.116719951,0.093418316,0.09343639,1,1,,
22:14.6,2.202188332,0.093329913,0.093347962,1,1,,
22:14.7,2.287449879,0.093241669,0.093259692,1,1,,
22:14.7,2.372504962,0.094150696,0.094168982,1,1,,
22:14.7,2.428786418,0.094091891,0.09411016,1,1,,
22:14.7,2.484930289,0.094033205,0.094051457,1,1,,
22:14.7,2.540936853,0.093974638,0.093992873,1,1,,
22:14.7,2.596806388,0.093307163,0.093325204,1,1,,
22:14.8,2.650690899,0.093250941,0.093268967,1,1,,
22:14.8,2.704443872,0.093194835,0.093212844,1,1,,
22:14.8,2.758065573,0.093138842,0.093156835,1,1,,
22:14.9,2.811556269,0.093508927,0.093527027,1,1,,
22:14.9,2.857865424,0.093460366,0.093478452,1,1,,
22:14.9,2.904060962,0.093411906,0.093429978,1,1,,
22:14.9,2.95014312,0.093363549,0.093381607,1,1,,
22:14.9,2.996112136,0.092358633,0.092376401,1,1,,
22:15.0,3.058471761,0.092293639,0.092311388,1,1,,
22:15.0,3.120679321,0.092228773,0.092246504,1,1,,
22:15.0,3.182735115,0.092164035,0.092181747,1,1,,
22:15.0,3.244639444,0.091407765,0.09142526,1,1,,
22:15.0,3.318337102,0.091331187,0.09134866,1,1,,
22:15.1,3.391855594,0.091254753,0.091272205,1,1,,
22:15.1,3.465195256,0.091178464,0.091195894,1,1,,
22:15.1,3.538356425,0.09340688,0.093424951,1,1,,
22:15.1,3.554700098,0.093389361,0.093407426,1,1,,
22:15.1,3.571002782,0.093371883,0.093389944,1,1,,
22:15.2,3.587264574,0.093354447,0.093372502,1,1,,
22:15.2,3.603485571,0.093389584,0.093407649,1,1,,
22:15.2,3.618044849,0.093373763,0.093391824,1,1,,
22:15.2,3.632567112,0.093357981,0.093376038,1,1,,
22:15.2,3.64705245,0.093342237,0.093360289,1,1,,
22:15.3,3.661500951,0.092215564,0.092233291,1,1,,
22:15.3,3.733041909,0.092139535,0.09215724,1,1,,
22:15.3,3.804404982,0.092063652,0.092081335,1,1,,
22:15.3,3.875590513,0.091987915,0.092005577,1,1,,
22:15.3,3.946598845,0.092737925,0.092755802,1,1,,
22:15.4,3.993057405,0.092688097,0.09270596,1,1,,
22:15.4,4.039399383,0.092638376,0.092656224,1,1,,
22:15.4,4.08562503,0.09258876,0.092606595,1,1,,
22:15.4,4.131734593,0.092995759,0.09301371,1,1,,
22:15.4,4.146869972,0.092979269,0.092997216,1,1,,
22:15.4,4.16196677,0.092962819,0.092980761,1,1,,
22:15.5,4.17702508,0.092946408,0.092964346,1,1,,
22:15.5,4.192044994,0.093429565,0.093447642,1,1,,
22:15.5,4.19844561,0.093422548,0.093440623,1,1,,
22:15.5,4.20482981,0.09341555,0.093433623,1,1,,
22:15.5,4.211197636,0.093408569,0.09342664,1,1,,
22:15.5,4.217549128,0.095126197,0.095144767,1,1,,
22:15.5,4.188958613,0.095157417,0.095175996,1,1,,
22:15.6,4.160441142,0.095188551,0.095207139,1,1,,
22:15.6,4.131996515,0.0952196,0.095238198,1,1,,
22:15.6,4.103624534,0.095610933,0.095629645,1,1,,
22:15.6,4.051232403,0.095667351,0.095686079,1,1,,
22:15.6,3.998972273,0.095723609,0.095742353,1,1,,
22:15.6,3.946843767,0.095779706,0.095798467,1,1,,
22:15.7,3.894846511,0.094920893,0.094939403,1,1,,
22:15.7,3.851402833,0.094967628,0.094986151,1,1,,
22:15.7,3.8080685,0.095014232,0.095032769,1,1,,
22:15.7,3.764843206,0.095060707,0.095079258,1,1,,
22:15.7,3.721726649,0.094534277,0.094552674,1,1,,
22:15.8,3.689704869,0.094568785,0.094587193,1,1,,
22:15.8,3.657763827,0.094603199,0.094621617,1,1,,
22:15.8,3.625903303,0.09463752,0.094655948,1,1,,
22:15.8,3.59412308,0.093502857,0.093520955,1,1,,
22:15.8,3.607465611,0.093488414,0.093506508,1,1,,
22:15.9,3.62077435,0.093474005,0.093492095,1,1,,
22:15.9,3.634049377,0.093459632,0.093477717,1,1,,
22:15.9,3.647290776,0.093133542,0.093151534,1,1,,
22:15.9,3.676342185,0.093102329,0.093120312,1,1,,
22:15.9,3.705320566,0.093071187,0.09308916,1,1,,
22:16.0,3.734226084,0.093040116,0.09305808,1,1,,
22:16.0,3.763058906,0.093832813,0.093851007,1,1,,
22:16.0,3.76785261,0.093827617,0.09384581,1,1,,
22:16.0,3.772634158,0.093822435,0.093840626,1,1,,
22:16.1,3.777403582,0.093817266,0.093835455,1,1,,
22:16.1,3.78216091,0.09150581,0.091523334,1,1,,
22:16.1,3.86108949,0.091423216,0.091440716,1,1,,
22:16.2,3.939824826,0.091340775,0.091358251,1,1,,
22:16.2,4.018367275,0.091258486,0.091275939,1,1,,
22:16.2,4.096717196,0.090816014,0.090833341,1,1,,
22:16.2,4.186770889,0.09072181,0.09073911,1,1,,
22:16.2,4.276604175,0.090627773,0.090645045,1,1,,
22:16.2,4.366217445,0.090533902,0.090551148,1,1,,
22:16.3,4.455611086,0.090065142,0.090082255,1,1,,
22:16.3,4.500013073,0.111793434,0,1,0,,
22:16.3,4.5081173,0.111781765,0,1,0,,
22:16.3,4.523299075,0.111759903,0,1,0,,
22:16.3,4.53845528,0.111738076,0,1,0,,
22:16.4,4.553585955,0.112031743,0,1,0,,
22:16.4,4.560913566,0.112021149,0,1,0,,
22:16.4,4.568228786,0.112010573,0,1,0,,
22:16.4,4.575531635,0.112000014,0,1,0,,
22:16.4,4.582822135,0.112986749,0,1,0,,
22:16.5,4.552639481,0.113030209,0,1,0,,
22:16.5,4.522507661,0.113073589,0,1,0,,
22:16.5,4.492426582,0.113116888,0,1,0,,
22:16.5,4.462396148,0.113974138,0,1,0,,
22:16.5,4.405433254,0.114055588,0,1,0,,
