timestamps,PRESSURE_TANK,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
22:09.0,2.959572446,0.095572892,0.095591593,1,Open,,
22:09.0,2.919246263,0.0956161,0.095634813,1,Open,,
22:09.0,2.879021171,0.095659188,0.095677914,1,Open,,
22:09.0,2.838896892,0.095212423,0.095231018,1,Open,,
22:09.0,2.806402105,0.095247311,0.095265916,1,Open,,
22:09.0,2.773988946,0.095282104,0.09530072,1,Open,,
22:09.1,2.741657192,0.095316804,0.095335429,1,Open,,
22:09.1,2.709406623,0.095157494,0.095176073,1,Open,,
22:09.1,2.68260797,0.095186281,0.095204868,1,Open,,
22:09.1,2.65587667,0.095214991,0.095233587,1,Open,,
22:09.1,2.629212543,0.095243625,0.095262229,1,Open,,
22:09.1,2.60261541,0.094306009,0.09432434,1,Open,,
22:09.1,2.626201839,0.094280727,0.094299051,1,Open,,
22:09.1,2.649729117,0.094255504,0.094273821,1,Open,,
22:09.1,2.67319738,0.09423034,0.094248649,1,Open,,
22:09.1,2.696606767,0.093530634,0.09354874,1,Open,,
22:09.2,2.739829644,0.093484822,0.093502915,1,Open,,
22:09.2,2.782945335,0.093439108,0.093457188,1,Open,,
22:09.2,2.825954071,0.093393492,0.093411558,1,Open,,
22:09.2,2.868856079,0.093447013,0.093465095,1,Open,,
22:09.2,2.922461285,0.093390086,0.093408151,1,Open,,
22:09.2,2.9759333,0.093333276,0.093351326,1,Open,,
22:09.2,3.029272399,0.093276584,0.093294617,1,Open,,
22:09.2,3.082478857,0.093757311,0.093775483,1,Open,,
22:09.2,3.111291278,0.093726403,0.093744565,1,Open,,
22:09.2,3.140031384,0.093695564,0.093713718,1,Open,,
22:09.3,3.168699337,0.093664796,0.093682941,1,Open,,
22:09.3,3.197295303,0.093543396,0.093561506,1,Open,,
22:09.3,3.237960652,0.09350007,0.093518168,1,Open,,
22:09.3,3.278524632,0.093456838,0.093474923,1,Open,,
22:09.3,3.318987463,0.0934137,0.093431773,1,Open,,
22:09.3,3.359349365,0.093653083,0.093671225,1,Open,,
22:09.3,3.417814775,0.093590753,0.093608877,1,Open,,
22:09.3,3.476134353,0.09352855,0.093546655,1,Open,,
22:09.3,3.534308395,0.093466473,0.093484561,1,Open,,
22:09.3,3.592337197,0.094488799,0.094507183,1,Open,,
22:09.4,3.604978067,0.094475044,0.094493424,1,Open,,
22:09.4,3.617586754,0.094461322,0.094479698,1,Open,,
22:09.4,3.630163336,0.094447633,0.094466006,1,Open,,
22:09.4,3.642707891,0.09475722,0.094775683,1,Open,,
22:09.4,3.626485305,0.094774819,0.094793287,1,Open,,
22:09.4,3.610303896,0.094792372,0.094810845,1,Open,,
22:09.4,3.594163554,0.094809878,0.094828356,1,Open,,
22:09.4,3.578064171,0.093085883,0.09310386,1,Open,,
22:09.4,3.609480246,0.093052538,0.093070506,1,Open,,
22:09.4,3.640818305,0.093019267,0.093037226,1,Open,,
22:09.5,3.672078522,0.092986072,0.09300402,1,Open,,
22:09.5,3.703261071,0.092913979,0.092931908,1,Open,,
22:09.5,3.740393025,0.092874647,0.092892563,1,Open,,
22:09.5,3.777432952,0.0928354,0.092853305,1,Open,,
22:09.5,3.814381055,0.092796238,0.092814133,1,Open,,
22:09.5,3.851237533,0.09227031,0.092288052,1,Open,,
22:09.6,3.896780471,0.092222219,0.092239948,1,Open,,
22:09.6,3.942210893,0.092174231,0.092191946,1,Open,,
22:09.6,3.987529037,0.092126344,0.092144045,1,Open,,
22:09.6,4.032735141,0.092391584,0.092409361,1,Open,,
22:09.6,4.072483652,0.092349438,0.092367204,1,Open,,
22:09.6,4.112133558,0.092307385,0.092325138,1,Open,,
22:09.6,4.15168507,0.092265422,0.092283163,1,Open,,
22:09.6,4.191138404,0.092022494,0.092040166,1,Open,,
22:09.6,4.234070146,0.091976998,0.091994657,1,Open,,
22:09.6,4.276895442,0.0919316,0.091949245,1,Open,,
22:09.7,4.319614519,0.091886298,0.091903931,1,Open,,
22:09.7,4.362227606,0.092323465,0.092341223,1,Open,,
22:09.7,4.395743781,0.09228774,0.092305487,1,Open,,
22:09.7,4.429176369,0.092252094,0.092269831,1,Open,,
22:09.7,4.462525557,0.092216527,0.092234254,1,Open,,
22:09.7,4.49579153,0.093861804,0.093880006,1,Open,,
22:09.7,4.470611923,0.093889072,0.093907283,1,Open,,
22:09.7,4.445496114,0.093916267,0.093934485,1,Open,,
22:09.7,4.420443933,0.093943389,0.093961615,1,Open,,
22:09.7,4.395455209,0.094869469,0.094887964,1,Open,,
22:09.8,4.346536402,0.094922198,0.094940709,1,Open,,
22:09.8,4.297740965,0.094974779,0.094993305,1,Open,,
22:09.8,4.249068551,0.095027211,0.095045752,1,Open,,
22:09.8,4.200518811,0.094831171,0.094849655,1,Open,,
22:09.8,4.158250888,0.094876728,0.094895225,1,Open,,
22:09.8,4.116089554,0.094922158,0.094940668,1,Open,,
22:09.8,4.074034512,0.094967461,0.094985985,1,Open,,
22:09.8,4.032085466,0.094985182,0.095003711,1,Open,,
22:09.8,4.015670645,0.095003126,0.09502166,1,Open,,
22:09.9,3.999297809,0.095021023,0.095039562,1,Open,,
22:09.9,3.982966844,0.095038872,0.095057416,1,Open,,
22:09.9,3.96667764,0.094405017,0.094423377,1,Open,,
22:09.9,3.965379547,0.094406443,0.094424803,1,Open,,
22:09.9,3.964084789,0.094407865,0.094426225,1,Open,,
22:09.9,3.962793357,0.094409283,0.094427644,1,Open,,
22:09.9,3.961505242,0.094045134,0.09406339,1,Open,,
22:09.9,3.968695319,0.09403728,0.094055533,1,Open,,
22:09.9,3.975867019,0.094029444,0.094047695,1,Open,,
22:10.0,3.983020387,0.094021629,0.094039877,1,Open,,
22:10.0,3.990155468,0.093904646,0.093922861,1,Open,,
22:10.0,3.99236715,0.093902226,0.09392044,1,Open,,
22:10.0,3.994573168,0.093899812,0.093918025,1,Open,,
22:10.0,3.996773538,0.093897403,0.093915616,1,Open,,
22:10.0,3.998968274,0.093521612,0.093539715,1,Open,,
22:10.0,3.990554987,0.093530747,0.093548853,1,Open,,
22:10.0,3.982163075,0.093539858,0.093557967,1,Open,,
22:10.1,3.97379248,0.093548947,0.093567058,1,Open,,
22:10.1,3.965443149,0.093482666,0.093500759,1,Open,,
22:10.1,3.962723071,0.093485632,0.093503725,1,Open,,
22:10.1,3.960009931,0.093488589,0.093506683,1,Open,,
22:10.1,3.957303711,0.09349154,0.093509634,1,Open,,
22:10.1,3.954604394,0.093185742,0.093203748,1,Open,,
22:10.1,3.970515246,0.093168461,0.093186462,1,Open,,
22:10.1,3.986385666,0.093151221,0.093169218,1,Open,,
22:10.2,4.002215752,0.093134024,0.093152015,1,Open,,
22:10.2,4.0180056,0.09275798,0.092775863,1,Open,,
22:10.2,4.044822994,0.092729127,0.092747002,1,Open,,
