timestamp,T1,T2,T3,T4,T5,T7,PU1,PU2,V2,PU4,PU5,PU6,PU7,PU8,PU10,PU11
2020-11-05 11:49:44.369675,3.0,0.0,3.0,2.5,1.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-11-05 11:49:47.861657,3.0,0.0,3.0,2.5,1.0,1.3222038745880127,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:49:51.403587,2.844505548477173,0.0,4.307034969329834,1.3983575105667114,1.7016557455062866,1.1573748588562012,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:49:55.056852,2.8709490299224854,0.0,4.275478363037109,1.401603102684021,1.7400411367416382,0.9929467439651489,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:49:58.697229,2.913119077682495,0.0,4.243921279907227,1.46820867061615,1.7721916437149048,0.9948632717132568,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:02.551194,2.928853988647461,0.0,4.212364673614502,1.6008039712905884,1.8317837715148926,1.0928622484207153,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:06.586326,2.9385175704956055,0.0,4.1492509841918945,1.6667940616607666,1.8592318296432495,1.1886413097381592,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:10.987223,2.9481842517852783,0.0,4.117693901062012,1.7325791120529175,1.8866713047027588,1.2841745615005493,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:15.238355,2.967526912689209,0.0,4.086137294769287,1.7981595993041992,1.9141018390655518,1.379462718963623,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:19.379671,2.977202892303467,0.0,4.054580211639404,1.8635354042053223,1.941523790359497,1.5693080425262451,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:23.563431,2.986881732940674,0.0,4.02302360534668,1.9287067651748657,1.9963412284851074,1.6638668775558472,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:27.603641,2.99656343460083,0.0,3.991466760635376,2.064255714416504,2.025137186050415,1.7754465341567993,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:31.887234,3.019010066986084,0.0,3.927093744277954,2.1346259117126465,2.0539257526397705,1.886744737625122,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:36.168495,3.030237913131714,0.0,3.894907236099243,2.2047841548919678,2.0827066898345947,1.9977625608444214,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:40.420075,3.041468858718872,0.0,3.8627207279205322,2.274731159210205,2.1114799976348877,2.2189605236053467,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:44.594983,3.0527029037475586,0.0,3.8305344581604004,2.4139907360076904,2.16900372505188,2.3291425704956055,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:48.860987,3.0639398097991943,0.0,3.7661614418029785,2.4833037853240967,2.197754383087158,2.4390480518341064,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:53.072153,3.0864226818084717,0.0,3.7339749336242676,2.552406072616577,2.2264974117279053,2.548677444458008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:50:57.400340,3.0976686477661133,0.0,3.7017884254455566,2.6212973594665527,2.255232810974121,2.658031702041626,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:01.626474,3.108917713165283,0.0,3.6696019172668457,2.6899781227111816,2.312680721282959,2.8759191036224365,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:06.081168,3.1201694011688232,0.0,3.605228900909424,2.8267083168029785,2.341393232345581,2.9844536781311035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:10.057543,3.1314241886138916,0.0,3.570925235748291,2.9003918170928955,2.3717329502105713,3.0956759452819824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:14.132294,3.1554718017578125,0.0,3.536621570587158,2.9738574028015137,2.402064323425293,3.2066216468811035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:18.266743,3.167499542236328,0.0,3.5023179054260254,3.047105550765991,2.432387351989746,3.317291736602783,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:22.588918,3.185291290283203,0.0,3.4680142402648926,3.120136260986328,2.4671270847320557,3.3551368713378906,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:26.834434,3.203071117401123,0.0,3.4337105751037598,3.2655458450317383,2.536560535430908,3.37406587600708,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-11-05 11:51:31.221061,3.220839023590088,0.0,3.365103006362915,3.3379249572753906,2.571254253387451,3.392998695373535,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
