timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
25:30.0,1.955585208,59,37.40992734,22.413916,34.7599457,27.56103283,34.9328043,34.93859415,2.975321788,2.970972955,0.096350875,0.096369803,1,1,0,0
25:31.7,1.944474631,59,37.29907595,20.16700268,34.35432429,27.46778279,34.5273701,34.53324424,2.974962472,2.970550326,0.097105829,0.09712498,1,1,0,0
25:33.5,1.913583391,59,37.27008252,20.13730301,34.33665337,27.4373365,34.50970736,34.51558518,2.974946787,2.970531877,0.097138671,0.097157831,1,1,0,0
25:35.3,1.882768991,59,37.24116083,20.10767616,34.31902752,27.40696492,34.49208967,34.49797116,2.974931139,2.970513472,0.097171425,0.097190595,1,1,0,0
25:37.0,1.852031225,59,37.2123107,20.07812195,34.30144663,27.37666786,34.4745169,34.48040206,2.974915529,2.970495111,0.097204092,0.097223271,1,1,0,0
25:38.7,1.821369888,59,37.20508265,20.44765259,34.5813077,27.39184019,34.75424867,34.7600756,2.975163714,2.970787028,0.096683621,0.096702647,1,1,0,0
25:40.4,1.799843917,59,37.18479079,20.42687116,34.5689897,27.37054258,34.74193634,34.74776584,2.975152804,2.970774196,0.09670655,0.096725583,1,1,0,0
25:42.1,1.778371594,59,37.16454931,20.40614099,34.55670292,27.34929754,34.72965524,34.73548728,2.97514192,2.970761394,0.09672942,0.096748459,1,1,0,0
25:43.9,1.756952778,59,37.14435807,20.38546196,34.54444728,27.32810493,34.71740526,34.72323985,2.975131063,2.970748624,0.096752229,0.096771276,1,1,0,0
25:45.6,1.735587329,59,37.25827048,20.10508306,34.4214696,27.3059903,34.59448437,34.60034454,2.975022047,2.970620399,0.096981002,0.097000115,1,1,0,0
25:47.3,1.714045562,59,37.23802291,20.08429312,34.40914473,27.28467692,34.5821652,34.58802793,2.975011115,2.97060754,0.097003919,0.097023039,1,1,0,0
25:49.0,1.692557415,59,37.21782553,20.06355439,34.39685107,27.26341607,34.56987722,34.57574251,2.975000209,2.970594712,0.097026776,0.097045903,1,1,0,0
25:50.8,1.671122745,59,37.19767822,20.04286676,34.38458852,27.24220763,34.55762035,34.56348819,2.974989329,2.970581915,0.097049573,0.097068707,1,1,0,0
25:52.5,1.649741415,59,36.98280436,19.89222693,34.13099559,27.16403347,34.3041448,34.31006549,2.974764048,2.970316938,0.097520599,0.097539872,1,1,0,0
25:54.2,1.617326755,59,36.95275751,19.87304017,34.1129544,27.13241908,34.28611197,34.29203643,2.974748,2.970298063,0.097554078,0.097573361,1,1,0,0
25:56.0,1.585044832,59,36.92283504,19.85403074,34.09499165,27.10093417,34.26815754,34.27408575,2.97473202,2.970279267,0.097587407,0.0976067,1,1,0,0
25:57.6,1.55289557,59,36.89302753,19.83489451,34.07709486,27.06957071,34.25026905,34.25620099,2.974716095,2.970260536,0.09762061,0.097639912,1,1,0,0
25:59.3,1.520877561,59,36.92040423,20.21181979,34.31955639,27.0850926,34.49261829,34.49849967,2.974931609,2.970514024,0.097170442,0.097189612,1,1,0,0
26:01.1,1.49792386,59,36.89878757,20.18967143,34.30642778,27.06239552,34.47949575,34.48537987,2.974919952,2.970500313,0.097194837,0.097214013,1,1,0,0
26:02.9,1.475027234,59,36.87722445,20.16757754,34.29333241,27.03975429,34.46640644,34.47229329,2.974908323,2.970486636,0.097219167,0.097238351,1,1,0,0
26:04.5,1.452187534,59,36.85571473,20.145538,34.2802702,27.01716879,34.45335027,34.45923984,2.974896722,2.970472991,0.097243434,0.097262625,1,1,0,0
26:06.2,1.42940461,59,36.88731841,20.33006951,34.3676353,27.01334158,34.54067496,34.54654633,2.974974285,2.970564221,0.097081088,0.097100231,1,1,0,0
26:08.3,1.411268104,59,36.87021629,20.31253139,34.35725813,26.99537108,34.53030259,34.53617612,2.974965076,2.970553388,0.097100376,0.097119525,1,1,0,0
26:10.0,1.393176727,59,36.85315658,20.29503654,34.34690714,26.97744493,34.51995639,34.52583208,2.974955888,2.970542582,0.097119614,0.097138769,1,1,0,0
26:11.7,1.375130362,59,36.83613917,20.27758483,34.33658228,26.95956302,34.5096363,34.51551414,2.974946724,2.970531803,0.097138803,0.097157963,1,1,0,0
26:13.5,1.357128891,59,36.89552398,20.31676859,34.38245108,26.95394352,34.55548389,34.56135218,2.974987432,2.970579684,0.097053546,0.097072682,1,1,0,0
26:15.2,1.342841206,59,36.88204656,20.30292922,34.37427379,26.9397626,34.54731039,34.55318037,2.974980176,2.97057115,0.097068748,0.097087887,1,1,0,0
26:16.9,1.328589086,59,36.86860259,20.28912405,34.36611709,26.92561675,34.53915745,34.54502914,2.974972938,2.970562636,0.09708391,0.097103054,1,1,0,0
26:18.6,1.314372441,59,36.85519199,20.275353,34.3579809,26.91150588,34.53102503,34.53689841,2.974965717,2.970554143,0.097099033,0.097118181,1,1,0,0
26:20.4,1.300191178,59,37.0744829,27.80022883,34.97452178,27.0999001,35.14728163,35.15302702,2.975511306,2.971195868,0.095950643,0.095969454,1,1,0,0
26:22.0,1.343361193,59,37.11472886,27.84209211,34.99887192,27.14225105,35.17162057,35.17736092,2.975532788,2.971221135,0.095905187,0.095923985,1,1,0,0
26:23.8,1.386424855,59,37.15487812,27.8838535,35.02316602,27.18449911,35.19590351,35.20163883,2.975554215,2.971246338,0.095859828,0.095878612,1,1,0,0
26:25.6,1.429382391,59,37.19493087,27.9255132,35.0474042,27.22664449,35.22013055,35.22586086,2.975575588,2.971271478,0.095814566,0.095833337,1,1,0,0
26:27.3,1.472234026,59,37.21809802,28.9234745,34.78212851,27.30126832,34.95497689,34.96076214,2.975341398,2.970996021,0.096309527,0.096328443,1,1,0,0
26:29.0,1.519075389,59,37.26175514,28.96918151,34.80867277,27.34715379,34.98150892,34.98728867,2.975364858,2.971023616,0.09626004,0.096278942,1,1,0,0
26:30.7,1.56580097,59,37.30530723,29.01477696,34.83515614,27.39292751,35.0079801,35.01375436,2.975388259,2.97105114,0.096210659,0.096229546,1,1,0,0
26:32.5,1.612411013,59,37.34875449,29.0602611,34.86157874,27.43858969,35.03439054,35.04015932,2.975411601,2.971078594,0.096161381,0.096180254,1,1,0,0
26:34.2,1.658905762,59,38.73147627,27.46048423,35.87938929,27.75515559,36.05173497,36.05729388,2.97630619,2.972130817,0.094256235,0.094274552,1,1,0,0
