iteration,timestamp,T2,T3,T4
1,2020-09-09 12:14:37.469970,0.5,3.0,2.5
2,2020-09-09 12:14:38.149945,0.5,3.0,2.5
3,2020-09-09 12:14:38.860576,0.5,3.0,2.5
4,2020-09-09 12:14:39.611837,0.5,3.0,2.5
5,2020-09-09 12:14:40.332401,0.5,3.0,2.5
6,2020-09-09 12:14:41.146639,0.5,3.0,2.5
7,2020-09-09 12:14:41.809938,1.35662097698018,2.095404863357544,3.6835386753082275
8,2020-09-09 12:14:42.570059,1.35662097698018,2.095404863357544,3.6835386753082275
9,2020-09-09 12:14:43.310938,1.35662097698018,2.095404863357544,3.6835386753082275
10,2020-09-09 12:14:43.992266,1.33946345693955,2.0809383392333984,3.6864633560180664
11,2020-09-09 12:14:44.664741,1.33946345693955,2.0809383392333984,3.6864633560180664
12,2020-09-09 12:14:45.363688,1.33946345693955,2.0809383392333984,3.6864633560180664
13,2020-09-09 12:14:46.091650,1.32230868206213,2.066472053527832,3.6893794536590576
14,2020-09-09 12:14:46.745070,1.32230868206213,2.066472053527832,3.6893794536590576
15,2020-09-09 12:14:47.439785,1.32230868206213,2.066472053527832,3.6893794536590576
16,2020-09-09 12:14:48.132567,1.29346112876721,2.066472053527832,3.69089674949646
17,2020-09-09 12:14:48.871836,1.29346112876721,2.079794406890869,3.69089674949646
18,2020-09-09 12:14:49.476421,1.29346112876721,2.079794406890869,3.69089674949646
19,2020-09-09 12:14:50.213255,1.29346112876721,2.079794406890869,3.69089674949646
20,2020-09-09 12:14:50.936923,1.26462297898765,2.093104600906372,3.69240140914917
21,2020-09-09 12:14:51.585121,1.26462297898765,2.093104600906372,3.69240140914917
22,2020-09-09 12:14:52.278770,1.26462297898765,2.093104600906372,3.69240140914917
23,2020-09-09 12:14:53.131346,1.23579423145738,2.1064021587371826,3.6938929557800293
24,2020-09-09 12:14:53.871647,1.23579423145738,2.1064021587371826,3.6938929557800293
25,2020-09-09 12:14:54.660549,1.23579423145738,2.1064021587371826,3.6938929557800293
26,2020-09-09 12:14:55.332738,1.20697488490993,2.119687557220459,3.6953721046447754
27,2020-09-09 12:14:56.038438,1.20697488490993,2.119687557220459,3.6953721046447754
28,2020-09-09 12:14:56.832698,1.20697488490993,2.119687557220459,3.6953721046447754
29,2020-09-09 12:14:57.728709,1.17816493807844,2.119687557220459,3.696838140487671
30,2020-09-09 12:14:58.551564,1.17816493807844,2.132960557937622,3.696838140487671
31,2020-09-09 12:14:59.317032,1.17816493807844,2.132960557937622,3.696838140487671
32,2020-09-09 12:15:00.129246,1.14936438969563,2.132960557937622,3.698291540145874
33,2020-09-09 12:15:00.853727,1.14936438969563,2.146221399307251,3.698291540145874
34,2020-09-09 12:15:01.685565,1.14936438969563,2.146221399307251,3.698291540145874
35,2020-09-09 12:15:02.449811,1.14936438969563,2.146221399307251,3.698291540145874
36,2020-09-09 12:15:03.268115,1.12057323849382,2.1594696044921875,3.6997320652008057
37,2020-09-09 12:15:03.969316,1.12057323849382,2.1594696044921875,3.6997320652008057
38,2020-09-09 12:15:04.764840,1.12057323849382,2.1594696044921875,3.6997320652008057
39,2020-09-09 12:15:05.569433,1.09179148320491,2.17270565032959,3.701159954071045
40,2020-09-09 12:15:06.412307,1.09179148320491,2.17270565032959,3.701159954071045
41,2020-09-09 12:15:07.281924,1.09179148320491,2.17270565032959,3.701159954071045
42,2020-09-09 12:15:08.100439,1.06301912256045,2.185929298400879,3.7025749683380127
43,2020-09-09 12:15:08.887945,1.06301912256045,2.185929298400879,3.7025749683380127
44,2020-09-09 12:15:09.712373,1.06301912256045,2.185929298400879,3.7025749683380127
45,2020-09-09 12:15:10.476356,1.03425615529153,2.199140787124634,3.703977346420288
46,2020-09-09 12:15:11.269489,1.03425615529153,2.199140787124634,3.703977346420288
47,2020-09-09 12:15:12.156091,1.00550258012889,2.2123396396636963,3.705366849899292
48,2020-09-09 12:15:12.996920,1.00550258012889,2.2123396396636963,3.705366849899292
49,2020-09-09 12:15:13.722812,1.00550258012889,2.2123396396636963,3.705366849899292
50,2020-09-09 12:15:14.467096,1.00550258012889,2.2123396396636963,3.705366849899292
51,2020-09-09 12:15:15.269147,0.976758395802833,2.2255263328552246,3.7067437171936035
52,2020-09-09 12:15:16.028958,0.976758395802833,2.2255263328552246,3.7067437171936035
53,2020-09-09 12:15:16.784060,0.976758395802833,2.2255263328552246,3.7067437171936035
54,2020-09-09 12:15:17.552500,0.948023601043303,2.2387006282806396,3.7081077098846436
55,2020-09-09 12:15:18.358448,0.948023601043303,2.2387006282806396,3.7081077098846436
56,2020-09-09 12:15:19.189188,0.948023601043303,2.2387006282806396,3.7081077098846436
57,2020-09-09 12:15:20.006286,0.919298194579838,2.2518625259399414,3.709459066390991
58,2020-09-09 12:15:20.771087,0.919298194579838,2.2518625259399414,3.709459066390991
59,2020-09-09 12:15:21.552279,0.919298194579838,2.2518625259399414,3.709459066390991
60,2020-09-09 12:15:22.366654,0.919298194579838,2.2518625259399414,3.709459066390991
61,2020-09-09 12:15:23.082865,0.890582175141574,2.26501202583313,3.7107977867126465
62,2020-09-09 12:15:23.773029,0.890582175141574,2.26501202583313,3.7107977867126465
63,2020-09-09 12:15:24.585357,0.890582175141574,2.26501202583313,3.7107977867126465
64,2020-09-09 12:15:25.354962,0.861875541457266,2.278149366378784,3.7121236324310303
65,2020-09-09 12:15:26.090999,0.861875541457266,2.278149366378784,3.7121236324310303
66,2020-09-09 12:15:26.914556,0.861875541457266,2.278149366378784,3.7121236324310303
